,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,1994-95,22.0,DAL,NBA,SG,58.0,0.0,10.6,1.7,4.3,0.384,0.4,1.3,0.301,1.3,3.1,0.418,0.428,0.9,1.3,0.649,0.6,0.5,1.1,1.0,0.2,0.1,0.9,1.3,4.6
1,1995-96,23.0,DAL,NBA,SG,67.0,12.0,19.2,4.1,9.8,0.418,1.1,3.1,0.35700000000000004,3.0,6.7,0.446,0.475,2.3,3.8,0.599,0.9,0.9,1.7,1.5,0.6,0.2,1.1,1.9,11.6
2,1996-97,24.0,TOT,NBA,SG,24.0,1.0,11.6,1.4,4.0,0.344,0.2,1.2,0.14300000000000002,1.2,2.8,0.426,0.365,0.7,1.0,0.64,0.1,0.5,0.7,1.0,0.4,0.1,0.7,1.9,3.6
3,1996-97,24.0,DAL,NBA,SG,18.0,0.0,12.6,1.5,4.3,0.35100000000000003,0.2,1.3,0.125,1.3,2.9,0.45299999999999996,0.37,0.8,1.3,0.652,0.2,0.6,0.8,1.2,0.6,0.1,0.8,2.0,4.0
4,1996-97,24.0,PHO,NBA,SG,6.0,1.0,8.5,1.0,3.2,0.316,0.2,0.7,0.25,0.8,2.5,0.33299999999999996,0.342,0.2,0.3,0.5,0.0,0.3,0.3,0.5,0.0,0.2,0.2,1.5,2.3
5,1997-98,25.0,CLE,NBA,SG,7.0,0.0,6.7,0.9,1.7,0.5,0.3,0.6,0.5,0.6,1.1,0.5,0.583,0.0,0.4,0.0,0.1,0.6,0.7,0.7,0.0,0.0,0.7,0.7,2.0
6,Career,,,NBA,,156.0,13.0,14.2,2.6,6.5,0.40399999999999997,0.7,2.0,0.327,2.0,4.5,0.43799999999999994,0.45399999999999996,1.4,2.3,0.608,0.6,0.7,1.3,1.2,0.4,0.1,0.9,1.6,7.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,DAL,NBA,,143.0,12.0,14.9,2.8,6.9,0.40399999999999997,0.7,2.1,0.326,2.1,4.7,0.44,0.455,1.5,2.5,0.613,0.7,0.7,1.3,1.2,0.5,0.1,1.0,1.7,7.8
9,1 season,,CLE,NBA,,7.0,0.0,6.7,0.9,1.7,0.5,0.3,0.6,0.5,0.6,1.1,0.5,0.583,0.0,0.4,0.0,0.1,0.6,0.7,0.7,0.0,0.0,0.7,0.7,2.0
10,1 season,,PHO,NBA,,6.0,1.0,8.5,1.0,3.2,0.316,0.2,0.7,0.25,0.8,2.5,0.33299999999999996,0.342,0.2,0.3,0.5,0.0,0.3,0.3,0.5,0.0,0.2,0.2,1.5,2.3
