,Season,Lg,Player,TOV,Tm
0,2022-23,NBA,Trae Young,300,ATL
1,2021-22,NBA,Trae Young,303,ATL
2,2020-21,NBA,Russell Westbrook,312,WAS
3,2019-20,NBA,James Harden,308,HOU
4,2018-19,NBA,James Harden,387,HOU
5,2017-18,NBA,Russell Westbrook,381,OKC
6,2016-17,NBA,James Harden,464,HOU
7,2015-16,NBA,James Harden,374,HOU
8,2014-15,NBA,James Harden,321,HOU
9,2013-14,NBA,John Wall,295,WAS
10,2012-13,NBA,James Harden,295,HOU
11,2011-12,NBA,John Wall,255,WAS
12,2010-11,NBA,Russell Westbrook,316,OKC
13,2009-10,NBA,Steve Nash*,295,PHO
14,2008-09,NBA,Russell Westbrook,274,OKC
15,2007-08,NBA,Steve Nash*,295,PHO
16,2006-07,NBA,Dwight Howard,317,ORL
17,2005-06,NBA,Gilbert Arenas,297,WAS
18,2004-05,NBA,Allen Iverson*,344,PHI
19,2003-04,NBA,Paul Pierce*,303,BOS
20,2002-03,NBA,Steve Francis,299,HOU
21,2001-02,NBA,Jason Kidd*,286,NJN
22,2000-01,NBA,Jerry Stackhouse,326,DET
23,1999-00,NBA,Jerry Stackhouse,311,DET
24,1998-99,NBA,Shareef Abdur-Rahim,186,VAN
25,1997-98,NBA,Antoine Walker,292,BOS
26,1996-97,NBA,Allen Iverson*,337,PHI
27,1995-96,NBA,Jason Kidd*,328,DAL
28,1994-95,NBA,Glenn Robinson,313,MIL
29,1993-94,NBA,Jim Jackson,334,DAL
30,1992-93,NBA,Shaquille O'Neal*,307,ORL
31,1991-92,NBA,John Stockton*,286,UTA
32,1990-91,NBA,Magic Johnson*,314,LAL
33,1989-90,NBA,Isiah Thomas*,322,DET
34,1988-89,NBA,Kevin Johnson,322,PHO
35,1987-88,NBA,Karl Malone*,325,UTA
36,1986-87,NBA,Ron Harper,345,CLE
37,1985-86,NBA,Charles Barkley*,350,PHI
38,1984-85,NBA,Ralph Sampson*,326,HOU
39,1983-84,NBA,Jeff Ruland,342,WSB
40,1982-83,NBA,Ray Williams,335,KCK
41,1981-82,NBA,Isiah Thomas*,299,DET
42,,,Adrian Dantley*,299,UTA
43,1980-81,NBA,Moses Malone*,308,HOU
44,1979-80,NBA,Micheal Ray Richardson,359,NYK
45,1978-79,NBA,George McGinnis*,346,DEN
46,1977-78,NBA,Artis Gilmore*,366,CHI
47,1975-76,ABA,Ralph Simpson,360,DNA
48,1974-75,ABA,George McGinnis*,422,INA
49,1973-74,ABA,George McGinnis*,393,INA
50,1972-73,ABA,George McGinnis*,401,INA
51,1971-72,ABA,Julius Erving*,342,VIR
52,1970-71,ABA,Mack Calvin,356,FLO
53,1969-70,ABA,Larry Brown*,356,WSA
54,1968-69,ABA,Ron Boone,355,DLC
55,1967-68,ABA,Larry Brown*,355,NOB
