,Season,Lg,Player,TRB,Tm
0,2022-23,NBA,Domantas Sabonis,973,SAC
1,2021-22,NBA,Nikola Jokić,1019,DEN
2,2020-21,NBA,Rudy Gobert,960,UTA
3,2019-20,NBA,Rudy Gobert,916,UTA
4,2018-19,NBA,Andre Drummond,1232,DET
5,2017-18,NBA,Andre Drummond,1247,DET
6,2016-17,NBA,Andre Drummond,1115,DET
7,2015-16,NBA,Andre Drummond,1198,DET
8,2014-15,NBA,DeAndre Jordan,1226,LAC
9,2013-14,NBA,DeAndre Jordan,1114,LAC
10,2012-13,NBA,Ömer Aşık,956,HOU
11,2011-12,NBA,Dwight Howard,785,ORL
12,2010-11,NBA,Kevin Love,1112,MIN
13,2009-10,NBA,Dwight Howard,1082,ORL
14,2008-09,NBA,Dwight Howard,1093,ORL
15,2007-08,NBA,Dwight Howard,1161,ORL
16,2006-07,NBA,Dwight Howard,1008,ORL
17,2005-06,NBA,Dwight Howard,1022,ORL
18,2004-05,NBA,Kevin Garnett*,1108,MIN
19,2003-04,NBA,Kevin Garnett*,1139,MIN
20,2002-03,NBA,Ben Wallace*,1126,DET
21,2001-02,NBA,Tim Duncan*,1042,SAS
22,2000-01,NBA,Ben Wallace*,1052,DET
23,1999-00,NBA,Dikembe Mutombo*,1157,ATL
24,1998-99,NBA,Dikembe Mutombo*,610,ATL
25,1997-98,NBA,Dennis Rodman*,1201,CHI
26,1996-97,NBA,Dikembe Mutombo*,929,ATL
27,1995-96,NBA,David Robinson*,1000,SAS
28,1994-95,NBA,Dikembe Mutombo*,1029,DEN
29,1993-94,NBA,Dennis Rodman*,1367,SAS
30,1992-93,NBA,Dennis Rodman*,1132,DET
31,1991-92,NBA,Dennis Rodman*,1530,DET
32,1990-91,NBA,David Robinson*,1063,SAS
33,1989-90,NBA,Hakeem Olajuwon*,1149,HOU
34,1988-89,NBA,Hakeem Olajuwon*,1105,HOU
35,1987-88,NBA,Charles Oakley,1066,CHI
36,1986-87,NBA,Charles Oakley,1074,CHI
37,1985-86,NBA,Bill Laimbeer,1075,DET
38,1984-85,NBA,Moses Malone*,1031,PHI
39,1983-84,NBA,Bill Laimbeer,1003,DET
40,1982-83,NBA,Moses Malone*,1194,PHI
41,1981-82,NBA,Moses Malone*,1188,HOU
42,1980-81,NBA,Moses Malone*,1180,HOU
43,1979-80,NBA,Swen Nater,1216,SDC
44,1978-79,NBA,Moses Malone*,1444,HOU
45,1977-78,NBA,Truck Robinson,1288,NOJ
46,1976-77,NBA,Kareem Abdul-Jabbar*,1090,LAL
47,1975-76,NBA,Kareem Abdul-Jabbar*,1383,LAL
48,,ABA,Artis Gilmore*,1303,KEN
49,1974-75,NBA,Bob McAdoo*,1155,BUF
50,,ABA,Artis Gilmore*,1361,KEN
51,1973-74,NBA,Elvin Hayes*,1463,CAP
52,,ABA,Artis Gilmore*,1538,KEN
53,1972-73,NBA,Wilt Chamberlain*,1526,LAL
54,,ABA,Artis Gilmore*,1476,KEN
55,1971-72,NBA,Wilt Chamberlain*,1572,LAL
56,,ABA,Artis Gilmore*,1491,KEN
57,1970-71,NBA,Wilt Chamberlain*,1493,LAL
58,,ABA,Mel Daniels*,1475,INA
59,1969-70,NBA,Elvin Hayes*,1386,SDR
60,,ABA,Spencer Haywood*,1637,DNR
61,1968-69,NBA,Wilt Chamberlain*,1712,LAL
62,,ABA,Mel Daniels*,1256,INA
63,1967-68,NBA,Wilt Chamberlain*,1952,PHI
64,,ABA,Mel Daniels*,1213,MNM
65,1966-67,NBA,Wilt Chamberlain*,1957,PHI
66,1965-66,NBA,Wilt Chamberlain*,1943,PHI
67,1964-65,NBA,Bill Russell*,1878,BOS
68,1963-64,NBA,Bill Russell*,1930,BOS
69,1962-63,NBA,Wilt Chamberlain*,1946,SFW
70,1961-62,NBA,Wilt Chamberlain*,2052,PHW
71,1960-61,NBA,Wilt Chamberlain*,2149,PHW
72,1959-60,NBA,Wilt Chamberlain*,1941,PHW
73,1958-59,NBA,Bill Russell*,1612,BOS
74,1957-58,NBA,Bill Russell*,1564,BOS
75,1956-57,NBA,Maurice Stokes*,1256,ROC
76,1955-56,NBA,Bob Pettit*,1164,STL
77,1954-55,NBA,Neil Johnston*,1085,PHW
78,1953-54,NBA,Harry Gallatin*,1098,NYK
79,1952-53,NBA,George Mikan*,1007,MNL
80,1951-52,NBA,Larry Foust,880,FTW
81,,,Mel Hutchins,880,MLH
82,1950-51,NBA,Dolph Schayes*,1080,SYR
