,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
0,1967-68,22.0,DLC,ABA,SG,78.0,,38.1,4.8,9.7,0.493,0.0,0.2,0.231,4.8,9.6,0.498,0.495,3.7,4.2,0.872,,,3.8,3.7,2.4,2.6,13.3
1,1968-69,23.0,DLC,ABA,SG,75.0,,22.9,2.9,6.7,0.435,0.0,0.2,0.067,2.9,6.5,0.446,0.436,2.1,2.6,0.8390000000000001,0.3,1.8,2.1,2.8,1.7,2.1,8.0
2,1969-70,24.0,DLC,ABA,SG,80.0,,26.9,3.7,8.3,0.43799999999999994,0.2,0.9,0.264,3.4,7.4,0.45899999999999996,0.452,2.9,3.3,0.882,0.4,2.2,2.6,3.5,2.2,2.8,10.4
3,1970-71,25.0,TOT,ABA,SG,48.0,,10.6,1.2,2.8,0.419,0.1,0.5,0.26899999999999996,1.0,2.3,0.455,0.445,0.8,1.0,0.816,0.3,0.7,1.0,1.7,0.9,1.4,3.4
4,1970-71,25.0,TEX,ABA,SG,43.0,,11.3,1.2,2.9,0.41600000000000004,0.2,0.6,0.292,1.0,2.3,0.446,0.444,0.9,1.1,0.83,0.3,0.7,1.0,1.9,1.0,1.6,3.5
5,1970-71,25.0,FLO,ABA,SG,5.0,,4.6,1.0,2.2,0.455,0.0,0.4,0.0,1.0,1.8,0.556,0.455,0.2,0.4,0.5,0.0,0.2,0.2,0.4,0.2,0.4,2.2
6,Career,,,ABA,,281.0,,26.1,3.4,7.4,0.456,0.1,0.4,0.23800000000000002,3.2,6.9,0.47,0.46299999999999997,2.6,3.0,0.8640000000000001,0.3,1.7,2.5,3.1,1.9,2.3,9.4
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,"DLC,TEX",ABA,,276.0,,26.5,3.4,7.4,0.456,0.1,0.4,0.242,3.3,7.0,0.47,0.46399999999999997,2.6,3.0,0.865,0.3,1.7,2.5,3.1,2.0,2.4,9.5
9,1 season,,FLO,ABA,,5.0,,4.6,1.0,2.2,0.455,0.0,0.4,0.0,1.0,1.8,0.556,0.455,0.2,0.4,0.5,0.0,0.2,0.2,0.4,0.2,0.4,2.2
