,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,21.0,SAS,NBA,PF,23.0,0.0,4.9,0.7,1.1,0.577,0.0,0.0,,0.7,1.1,0.577,0.577,0.5,0.6,0.846,0.3,1.2,1.5,0.3,0.1,0.2,0.3,0.5,1.8
1,2019-20,22.0,SAS,NBA,C,22.0,3.0,12.4,2.0,3.0,0.642,0.0,0.0,1.0,1.9,3.0,0.636,0.649,0.9,1.2,0.769,1.3,2.6,3.9,0.7,0.2,0.8,1.0,1.7,4.9
2,2020-21,23.0,SAS,NBA,C,54.0,3.0,14.0,2.1,3.8,0.566,0.0,0.0,1.0,2.1,3.8,0.562,0.571,1.4,2.0,0.726,1.4,3.1,4.5,0.8,0.3,0.9,0.8,1.6,5.8
3,2021-22,24.0,TOT,NBA,C,71.0,31.0,17.5,3.1,5.2,0.596,0.1,0.3,0.217,3.0,4.9,0.621,0.602,1.4,1.8,0.762,1.8,3.5,5.4,1.2,0.4,0.6,1.1,1.7,7.7
4,2021-22,24.0,SAS,NBA,C,49.0,9.0,12.1,1.7,3.2,0.528,0.0,0.2,0.125,1.7,3.1,0.55,0.531,1.2,1.6,0.747,1.3,2.7,4.0,1.0,0.3,0.6,0.9,1.2,4.7
5,2021-22,24.0,POR,NBA,C,22.0,22.0,29.5,6.2,9.6,0.646,0.2,0.7,0.267,6.0,9.0,0.675,0.656,1.8,2.3,0.784,3.0,5.5,8.5,1.6,0.8,0.5,1.6,2.8,14.5
6,2022-23,25.0,POR,NBA,C,78.0,28.0,20.3,2.7,4.3,0.641,0.1,0.2,0.389,2.7,4.1,0.655,0.651,1.1,1.6,0.664,1.7,3.7,5.4,1.3,0.5,1.3,0.9,2.2,6.6
7,2023-24,26.0,PHO,NBA,C,2.0,0.0,18.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.0,2.0,0.5,1.5,4.0,5.5,2.0,0.0,1.5,2.5,3.0,3.0
8,Career,,,NBA,,250.0,65.0,16.0,2.4,4.0,0.606,0.1,0.2,0.341,2.4,3.9,0.618,0.614,1.2,1.6,0.723,1.5,3.2,4.7,1.0,0.4,0.9,0.9,1.7,6.1
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,SAS,NBA,,148.0,15.0,11.7,1.7,3.1,0.565,0.0,0.1,0.364,1.7,3.0,0.57,0.569,1.1,1.5,0.746,1.2,2.6,3.8,0.8,0.3,0.7,0.8,1.3,4.6
11,2 seasons,,POR,NBA,,100.0,50.0,22.3,3.5,5.5,0.643,0.1,0.3,0.333,3.4,5.1,0.663,0.653,1.2,1.8,0.699,2.0,4.1,6.0,1.4,0.6,1.1,1.0,2.3,8.4
12,1 season,,PHO,NBA,,2.0,0.0,18.0,1.0,2.5,0.4,0.0,0.0,,1.0,2.5,0.4,0.4,1.0,2.0,0.5,1.5,4.0,5.5,2.0,0.0,1.5,2.5,3.0,3.0
