,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,TOV,PF,PTS
0,1966-67,22.0,NYK,NBA,PF,50.0,,9.1,1.7,4.6,0.361,,,,1.7,4.6,0.361,0.361,0.5,0.7,0.703,,,2.4,0.5,,1.6,3.8
1,1967-68,23.0,SEA,NBA,C,36.0,,7.2,1.3,3.8,0.336,,,,1.3,3.8,0.336,0.336,0.6,0.9,0.645,,,1.6,0.4,,1.3,3.1
2,1968-69,24.0,KEN,ABA,PF,2.0,,12.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,1.0,1.5,0.667,0.0,2.0,2.0,0.5,2.0,0.0,2.0
3,Career,,,TOT,,88.0,,8.4,1.5,4.2,0.35,0.0,1.0,,1.5,4.2,0.35200000000000004,0.35,0.5,0.8,0.6759999999999999,0.0,2.0,2.1,0.5,2.0,1.5,3.5
4,,,,NBA,,86.0,,8.3,1.5,4.3,0.35100000000000003,,,,1.5,4.3,0.35100000000000003,0.35100000000000003,0.5,0.8,0.6759999999999999,,,2.1,0.5,,1.5,3.5
5,,,,ABA,,2.0,,12.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,1.0,1.5,0.667,0.0,2.0,2.0,0.5,2.0,0.0,2.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,NYK,NBA,,50.0,,9.1,1.7,4.6,0.361,,,,1.7,4.6,0.361,0.361,0.5,0.7,0.703,,,2.4,0.5,,1.6,3.8
8,1 season,,SEA,NBA,,36.0,,7.2,1.3,3.8,0.336,,,,1.3,3.8,0.336,0.336,0.6,0.9,0.645,,,1.6,0.4,,1.3,3.1
9,1 season,,KEN,ABA,,2.0,,12.5,0.5,2.0,0.25,0.0,1.0,0.0,0.5,1.0,0.5,0.25,1.0,1.5,0.667,0.0,2.0,2.0,0.5,2.0,0.0,2.0
