,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2001-02,20.0,BOS,NBA,SF,29.0,5.0,8.4,0.8,2.4,0.32899999999999996,0.2,0.9,0.185,0.6,1.5,0.419,0.364,0.4,0.7,0.6,0.4,1.3,1.7,0.5,0.6,0.2,0.2,0.6,2.2
1,2002-03,21.0,BOS,NBA,SF,51.0,5.0,13.1,1.2,3.4,0.35700000000000004,0.1,0.8,0.077,1.1,2.6,0.439,0.365,0.4,0.6,0.625,0.9,1.9,2.7,0.4,0.7,0.3,0.5,1.3,2.8
2,2003-04,22.0,TOT,NBA,SF,55.0,26.0,17.6,2.1,4.6,0.461,0.7,1.8,0.384,1.4,2.8,0.51,0.535,0.3,0.5,0.63,0.7,1.9,2.7,1.2,0.5,0.1,0.5,1.5,5.3
3,2003-04,22.0,BOS,NBA,SF,21.0,10.0,19.4,2.1,4.7,0.455,0.6,1.5,0.375,1.6,3.2,0.493,0.515,0.4,0.6,0.615,0.9,2.4,3.2,1.2,0.8,0.1,0.6,1.8,5.2
4,2003-04,22.0,CLE,NBA,SF,34.0,16.0,16.5,2.1,4.6,0.465,0.8,2.0,0.38799999999999996,1.4,2.6,0.523,0.5479999999999999,0.3,0.4,0.643,0.7,1.6,2.3,1.1,0.4,0.1,0.5,1.2,5.3
5,2004-05,23.0,PHI,NBA,SF,8.0,0.0,6.9,0.3,0.8,0.33299999999999996,0.0,0.4,0.0,0.3,0.4,0.667,0.33299999999999996,1.0,1.3,0.8,0.1,1.3,1.4,0.5,0.4,0.1,0.6,0.5,1.5
6,Career,,,NBA,,143.0,36.0,13.5,1.4,3.5,0.405,0.3,1.2,0.27399999999999997,1.1,2.3,0.47100000000000003,0.451,0.4,0.6,0.64,0.7,1.7,2.4,0.7,0.6,0.2,0.4,1.2,3.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,BOS,NBA,,101.0,20.0,13.1,1.3,3.4,0.379,0.2,1.0,0.204,1.1,2.4,0.45,0.409,0.4,0.6,0.615,0.7,1.8,2.6,0.6,0.7,0.2,0.4,1.2,3.1
9,1 season,,CLE,NBA,,34.0,16.0,16.5,2.1,4.6,0.465,0.8,2.0,0.38799999999999996,1.4,2.6,0.523,0.5479999999999999,0.3,0.4,0.643,0.7,1.6,2.3,1.1,0.4,0.1,0.5,1.2,5.3
10,1 season,,PHI,NBA,,8.0,0.0,6.9,0.3,0.8,0.33299999999999996,0.0,0.4,0.0,0.3,0.4,0.667,0.33299999999999996,1.0,1.3,0.8,0.1,1.3,1.4,0.5,0.4,0.1,0.6,0.5,1.5
