,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
0,1973-74,23.0,NYK,NBA,PF,30.0,,5.6,1.1,3.2,0.34700000000000003,0.4,0.5,0.75,0.6,1.2,1.8,0.3,0.1,0.1,1.2,2.6
1,1974-75,24.0,NYK,NBA,PF,62.0,,14.6,2.5,6.4,0.39,0.8,1.1,0.6859999999999999,1.1,4.0,5.2,0.9,0.3,0.1,1.7,5.7
2,1975-76,25.0,NYK,NBA,PF,42.0,,9.7,1.8,4.6,0.39399999999999996,0.5,0.7,0.759,1.0,2.5,3.5,0.7,0.4,0.1,1.3,4.1
3,1976-77,26.0,TOT,NBA,PF,56.0,,19.5,3.0,8.3,0.36200000000000004,1.1,1.6,0.703,1.8,3.5,5.2,1.3,0.6,0.1,2.3,7.1
4,1976-77,26.0,NYK,NBA,PF,22.0,,15.5,1.9,5.0,0.373,1.0,1.4,0.71,1.4,3.2,4.5,1.1,0.4,0.0,2.0,4.7
5,1976-77,26.0,NYN,NBA,PF,34.0,,22.1,3.7,10.4,0.359,1.2,1.8,0.7,2.0,3.7,5.7,1.4,0.6,0.1,2.5,8.7
6,Career,,,NBA,,190.0,,13.5,2.3,6.0,0.376,0.8,1.1,0.7090000000000001,1.2,3.1,4.3,0.9,0.3,0.1,1.7,5.3
7,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,NYK,NBA,,156.0,,11.7,1.9,5.1,0.38299999999999995,0.7,0.9,0.7120000000000001,1.0,3.0,4.0,0.8,0.3,0.1,1.6,4.6
9,1 season,,NYN,NBA,,34.0,,22.1,3.7,10.4,0.359,1.2,1.8,0.7,2.0,3.7,5.7,1.4,0.6,0.1,2.5,8.7
