,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2019-20,22.0,LAC,NBA,C,12,0,5.3,1.2,2.7,.438,0.8,1.7,.450,0.4,1.0,.417,.578,0.4,0.4,1.000,0.1,0.8,0.9,0.2,0.2,0.2,0.2,0.8,3.5
1,2020-21,23.0,TOT,NBA,PF,39,0,7.2,0.8,2.3,.371,0.3,1.3,.260,0.5,1.0,.513,.444,0.4,0.5,.800,0.3,1.2,1.5,0.4,0.2,0.3,0.4,0.9,2.4
2,2020-21,23.0,LAC,NBA,PF,23,0,4.1,0.4,1.4,.281,0.2,0.8,.222,0.2,0.6,.357,.344,0.2,0.3,.833,0.0,0.6,0.6,0.2,0.1,0.1,0.3,0.8,1.2
3,2020-21,23.0,CLE,NBA,PF,16,0,11.6,1.5,3.6,.421,0.6,2.0,.281,0.9,1.6,.600,.500,0.7,0.9,.786,0.7,2.2,2.9,0.8,0.4,0.6,0.6,1.1,4.3
4,2021-22,24.0,Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League),Did Not Play (other pro league—G-League)
5,2022-23,25.0,BOS,NBA,PF,4,0,9.0,0.5,1.8,.286,0.0,0.8,.000,0.5,1.0,.500,.286,0.5,0.5,1.000,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,1.5
6,Career,,,NBA,,55,0,6.9,0.9,2.3,.383,0.4,1.3,.301,0.5,1.0,.491,.469,0.4,0.5,.852,0.3,1.1,1.5,0.3,0.2,0.3,0.3,0.9,2.6
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,LAC,NBA,,35,0,4.5,0.7,1.8,.359,0.4,1.1,.342,0.3,0.7,.385,.461,0.3,0.3,.909,0.1,0.7,0.7,0.2,0.1,0.1,0.2,0.8,2.0
9,1 season,,CLE,NBA,,16,0,11.6,1.5,3.6,.421,0.6,2.0,.281,0.9,1.6,.600,.500,0.7,0.9,.786,0.7,2.2,2.9,0.8,0.4,0.6,0.6,1.1,4.3
10,1 season,,BOS,NBA,,4,0,9.0,0.5,1.8,.286,0.0,0.8,.000,0.5,1.0,.500,.286,0.5,0.5,1.000,1.3,1.3,2.5,0.0,0.5,0.0,0.3,0.8,1.5
