,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,PF,PTS
0,1972-73,22.0,CHI,NBA,SF,35.0,,6.0,1.5,3.4,0.441,0.6,0.9,0.677,,,1.7,0.2,,,0.8,3.6
1,1973-74,23.0,CHI,NBA,SF,41.0,,9.1,1.7,4.5,0.37,0.5,0.8,0.656,0.8,1.0,1.7,0.3,0.1,0.2,1.0,3.8
2,1974-75,24.0,CHI,NBA,SF,70.0,,16.9,3.3,6.8,0.481,1.1,1.4,0.794,1.1,2.4,3.5,0.6,0.3,0.2,1.8,7.6
3,1975-76,25.0,TOT,NBA,SF,55.0,,9.8,2.0,4.7,0.419,1.0,1.2,0.815,0.8,1.3,2.1,0.3,0.5,0.1,1.2,4.9
4,1975-76,25.0,CHI,NBA,SF,14.0,,23.1,4.1,9.4,0.435,2.7,3.1,0.864,1.9,3.4,5.4,0.5,0.6,0.3,2.3,10.9
5,1975-76,25.0,CLE,NBA,SF,41.0,,5.3,1.2,3.1,0.402,0.4,0.5,0.714,0.4,0.6,1.0,0.2,0.4,0.1,0.9,2.9
6,1976-77,26.0,TOT,NBA,SF,62.0,,9.6,1.7,3.9,0.444,0.7,0.8,0.804,0.6,1.2,1.8,0.4,0.3,0.2,1.3,4.1
7,1976-77,26.0,CLE,NBA,SF,29.0,,7.4,1.4,3.2,0.43,0.6,0.8,0.818,0.3,1.0,1.4,0.2,0.2,0.1,1.0,3.4
8,1976-77,26.0,MIL,NBA,SF,33.0,,11.6,2.0,4.4,0.452,0.7,0.9,0.793,0.8,1.4,2.2,0.6,0.4,0.2,1.5,4.7
9,Career,,,NBA,,263.0,,11.0,2.1,4.8,0.441,0.8,1.0,0.772,0.8,1.5,2.3,0.4,0.3,0.2,1.3,5.1
10,,,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,CHI,NBA,,160.0,,13.1,2.5,5.7,0.447,1.0,1.3,0.77,1.1,2.0,2.8,0.4,0.3,0.2,1.4,6.0
12,2 seasons,,CLE,NBA,,70.0,,6.2,1.3,3.1,0.414,0.5,0.6,0.767,0.4,0.8,1.2,0.2,0.3,0.1,0.9,3.1
13,1 season,,MIL,NBA,,33.0,,11.6,2.0,4.4,0.452,0.7,0.9,0.793,0.8,1.4,2.2,0.6,0.4,0.2,1.5,4.7
