,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2018-19,22.0,PHI,NBA,SG,20.0,0.0,13.4,1.7,4.4,0.391,0.7,2.2,0.318,1.0,2.2,0.465,0.471,0.3,0.4,0.714,0.5,1.3,1.8,0.9,0.4,0.4,0.3,1.5,4.4
1,2019-20,23.0,PHI,NBA,SG,40.0,24.0,20.1,3.4,6.9,0.484,1.5,3.4,0.43,1.9,3.6,0.535,0.588,1.3,1.6,0.785,0.4,1.8,2.2,2.6,0.5,0.2,1.2,2.3,9.4
2,2020-21,24.0,PHI,NBA,SG,63.0,4.0,23.2,4.8,10.6,0.45,1.1,3.2,0.35,3.6,7.4,0.494,0.503,2.3,2.8,0.83,0.5,1.8,2.3,3.1,0.6,0.3,1.6,2.1,13.0
3,2021-22,25.0,PHI,NBA,SG,55.0,6.0,21.4,3.1,7.3,0.429,0.8,2.4,0.323,2.4,4.9,0.481,0.483,1.1,1.3,0.836,0.5,2.0,2.6,2.5,0.5,0.3,0.8,1.8,8.2
4,2022-23,26.0,PHI,NBA,SG,76.0,11.0,20.6,3.2,6.6,0.479,0.7,1.9,0.378,2.4,4.7,0.521,0.535,1.3,1.5,0.853,0.5,2.0,2.5,3.2,0.3,0.2,1.2,1.6,8.4
5,2023-24,27.0,MIN,NBA,SG,1.0,0.0,21.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,4.0
6,Career,,,NBA,,255.0,45.0,20.8,3.5,7.6,0.455,1.0,2.6,0.364,2.5,5.0,0.502,0.517,1.4,1.7,0.827,0.5,1.9,2.4,2.7,0.5,0.2,1.2,1.9,9.3
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 seasons,,PHI,NBA,,254.0,45.0,20.8,3.5,7.6,0.455,1.0,2.6,0.365,2.5,5.0,0.502,0.518,1.4,1.7,0.828,0.5,1.9,2.4,2.7,0.5,0.2,1.2,1.9,9.3
9,1 season,,MIN,NBA,,1.0,0.0,21.0,1.0,5.0,0.2,1.0,4.0,0.25,0.0,1.0,0.0,0.3,1.0,2.0,0.5,0.0,3.0,3.0,4.0,2.0,0.0,2.0,4.0,4.0
