,Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
0,2017-18,27.0,DEN,NBA,SF,39.0,5.0,16.1,1.6,3.5,0.453,0.4,1.5,0.293,1.2,2.0,0.57,0.515,0.6,0.9,0.629,1.0,2.2,3.3,0.6,0.3,0.4,0.5,1.6,4.2
1,2018-19,28.0,DEN,NBA,SF,75.0,37.0,20.0,2.1,4.8,0.442,0.8,2.5,0.324,1.3,2.3,0.569,0.526,0.7,0.9,0.7,1.2,2.3,3.5,1.0,0.5,0.6,0.6,2.3,5.7
2,2019-20,29.0,DEN,NBA,SF,58.0,27.0,18.5,2.1,4.6,0.461,0.8,2.4,0.326,1.4,2.3,0.603,0.545,0.4,0.6,0.611,1.1,2.2,3.3,0.8,0.4,0.6,0.4,2.3,5.4
3,2020-21,30.0,TOT,NBA,SF,50.0,8.0,16.1,2.2,4.5,0.48,0.8,2.1,0.368,1.4,2.4,0.579,0.566,0.3,0.4,0.773,1.1,2.8,3.9,1.0,0.6,0.5,0.5,1.7,5.5
4,2020-21,30.0,MIL,NBA,SF,18.0,0.0,11.2,1.0,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
5,2020-21,30.0,PHO,NBA,SF,32.0,8.0,18.8,2.8,5.7,0.503,1.0,2.6,0.369,1.9,3.0,0.619,0.588,0.5,0.6,0.8,1.4,3.4,4.8,1.0,0.6,0.6,0.6,1.8,7.2
6,2021-22,31.0,TOT,NBA,SF,78.0,16.0,20.5,2.6,5.7,0.454,1.0,3.0,0.329,1.6,2.7,0.594,0.541,0.5,0.7,0.75,1.1,2.9,4.0,1.2,0.6,0.5,0.9,1.9,6.6
7,2021-22,31.0,IND,NBA,SF,51.0,14.0,20.3,2.5,5.5,0.456,0.9,2.7,0.333,1.6,2.8,0.573,0.537,0.5,0.7,0.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5
8,2021-22,31.0,PHO,NBA,SF,27.0,2.0,20.8,2.7,5.9,0.45,1.1,3.6,0.323,1.5,2.4,0.641,0.547,0.4,0.6,0.706,1.0,3.3,4.3,1.2,0.8,0.6,1.0,2.1,6.9
9,2022-23,32.0,PHO,NBA,PF,79.0,60.0,24.7,2.9,6.3,0.456,1.3,3.2,0.395,1.6,3.1,0.518,0.556,0.4,0.6,0.711,1.8,3.6,5.4,1.5,0.6,0.8,0.9,2.3,7.4
10,2023-24,33.0,CHI,NBA,SF,1.0,0.0,22.0,4.0,6.0,0.667,3.0,4.0,0.75,1.0,2.0,0.5,0.917,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,0.0,1.0,2.0,11.0
11,Career,,,NBA,,380.0,153.0,19.9,2.3,5.1,0.457,0.9,2.6,0.349,1.4,2.5,0.567,0.545,0.5,0.7,0.696,1.3,2.7,4.0,1.1,0.5,0.6,0.7,2.1,6.0
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,3 seasons,,DEN,NBA,,172.0,69.0,18.6,2.0,4.5,0.451,0.7,2.2,0.32,1.3,2.2,0.581,0.531,0.5,0.8,0.66,1.1,2.3,3.4,0.8,0.4,0.6,0.5,2.2,5.3
14,3 seasons,,PHO,NBA,,138.0,70.0,22.6,2.8,6.1,0.465,1.2,3.1,0.374,1.7,3.0,0.561,0.561,0.4,0.6,0.732,1.6,3.5,5.0,1.3,0.7,0.7,0.9,2.1,7.3
15,1 season,,IND,NBA,,51.0,14.0,20.3,2.5,5.5,0.456,0.9,2.7,0.333,1.6,2.8,0.573,0.537,0.5,0.7,0.771,1.2,2.7,3.8,1.1,0.5,0.4,0.8,1.9,6.5
16,1 season,,MIL,NBA,,18.0,0.0,11.2,1.0,2.6,0.391,0.4,1.2,0.364,0.6,1.3,0.417,0.478,0.1,0.1,0.5,0.7,1.7,2.4,0.9,0.5,0.4,0.3,1.3,2.5
17,1 season,,CHI,NBA,,1.0,0.0,22.0,4.0,6.0,0.667,3.0,4.0,0.75,1.0,2.0,0.5,0.917,0.0,0.0,,4.0,3.0,7.0,1.0,0.0,0.0,1.0,2.0,11.0
