,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1955-56,22.0,STL,NBA,SF,68.0,1611.0,9.9,0.428,0.442,,,,,,0.4,1.6,1.9,0.057,
1,1958-59,25.0,STL,NBA,SG,72.0,1189.0,9.7,0.437,0.517,,,,,,0.6,0.9,1.4,0.058,
2,1959-60,26.0,STL,NBA,SG,71.0,1567.0,11.2,0.489,0.43,,,,,,2.3,1.0,3.3,0.1,
3,1960-61,27.0,STL,NBA,SG,63.0,1031.0,8.5,0.434,0.354,,,,,,0.2,1.2,1.4,0.066,
4,1961-62,28.0,STL,NBA,SG,79.0,2046.0,8.3,0.436,0.376,,,,,,0.1,0.7,0.9,0.02,
5,1962-63,29.0,CHZ,NBA,,18.0,138.0,6.5,0.427,0.459,,,,,,-0.1,0.0,0.0,-0.01,
6,Career,,,NBA,,371.0,7582.0,9.5,0.445,0.424,,,,,,3.5,5.4,8.9,0.056,
7,,,,,,,,,,,,,,,,,,,,
8,5 seasons,,STL,NBA,,353.0,7444.0,9.5,0.446,0.423,,,,,,3.5,5.4,8.9,0.057,
9,1 season,,CHZ,NBA,,18.0,138.0,6.5,0.427,0.459,,,,,,-0.1,0.0,0.0,-0.01,
