,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2005-06,22.0,MEM,NBA,PG,16.0,88.0,11.7,0.549,0.323,0.065,0.0,8.2,4.1,10.7,0.6,0.0,8.6,19.3,,0.1,0.1,0.2,0.088,,-1.7,-0.7,-2.3,0.0
1,2006-07,23.0,GSW,NBA,PG,20.0,227.0,11.4,0.527,0.529,0.029,0.9,9.4,5.1,7.0,2.6,0.0,11.0,22.2,,0.0,0.2,0.1,0.031,,-1.8,-0.5,-2.3,0.0
2,2008-09,25.0,TOT,NBA,PG,29.0,276.0,11.4,0.487,0.675,0.042,2.4,6.6,4.4,11.3,1.8,0.3,6.1,20.6,,0.1,0.1,0.2,0.041,,-0.8,-0.6,-1.4,0.0
3,2008-09,25.0,NYK,NBA,PG,23.0,253.0,11.8,0.509,0.689,0.049,1.7,4.9,3.2,11.7,2.0,0.3,6.2,19.3,,0.2,0.1,0.3,0.057,,-0.6,-0.2,-0.8,0.1
4,2008-09,25.0,CHI,NBA,PG,6.0,23.0,8.0,0.353,0.588,0.0,10.0,24.8,17.4,7.7,0.0,0.0,5.6,34.9,,-0.1,0.0,-0.1,-0.136,,-2.8,-5.2,-8.0,0.0
5,Career,,,NBA,,65.0,591.0,11.5,0.511,0.573,0.039,1.5,7.9,4.6,9.6,1.9,0.1,8.5,21.0,,0.1,0.4,0.5,0.044,,-1.3,-0.6,-1.9,0.0
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,NYK,NBA,,23.0,253.0,11.8,0.509,0.689,0.049,1.7,4.9,3.2,11.7,2.0,0.3,6.2,19.3,,0.2,0.1,0.3,0.057,,-0.6,-0.2,-0.8,0.1
8,1 season,,GSW,NBA,,20.0,227.0,11.4,0.527,0.529,0.029,0.9,9.4,5.1,7.0,2.6,0.0,11.0,22.2,,0.0,0.2,0.1,0.031,,-1.8,-0.5,-2.3,0.0
9,1 season,,MEM,NBA,,16.0,88.0,11.7,0.549,0.323,0.065,0.0,8.2,4.1,10.7,0.6,0.0,8.6,19.3,,0.1,0.1,0.2,0.088,,-1.7,-0.7,-2.3,0.0
10,1 season,,CHI,NBA,,6.0,23.0,8.0,0.353,0.588,0.0,10.0,24.8,17.4,7.7,0.0,0.0,5.6,34.9,,-0.1,0.0,-0.1,-0.136,,-2.8,-5.2,-8.0,0.0
