,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1964-65,22.0,TOT,NBA,SF,52.0,507.0,10.0,0.417,,0.452,,,,11.0,,,,-0.3,0.5,0.2,0.017,
1,1964-65,22.0,SFW,NBA,SF,33.0,276.0,11.1,0.427,,0.44,,,,12.9,,,,-0.1,0.3,0.3,0.044,
2,1964-65,22.0,NYK,NBA,SF,19.0,231.0,8.7,0.405,,0.465,,,,8.8,,,,-0.2,0.1,-0.1,-0.017,
3,1969-70,27.0,NYA,ABA,SF,7.0,56.0,2.9,0.391,0.032,0.258,,,11.1,7.7,24.2,30.6,,-0.1,0.1,-0.1,-0.077,
4,Career,,,TOT,,59.0,563.0,9.3,0.414,0.005,0.424,,,11.1,10.7,24.2,30.6,,-0.4,0.5,0.1,0.007,
5,,,,NBA,,52.0,507.0,10.0,0.417,,0.452,,,,11.0,,,,-0.3,0.5,0.2,0.017,
6,,,,ABA,,7.0,56.0,2.9,0.391,0.032,0.258,,,11.1,7.7,24.2,30.6,,-0.1,0.1,-0.1,-0.077,
7,,,,,,,,,,,,,,,,,,,,,,,
8,1 season,,SFW,NBA,,33.0,276.0,11.1,0.427,,0.44,,,,12.9,,,,-0.1,0.3,0.3,0.044,
9,1 season,,NYK,NBA,,19.0,231.0,8.7,0.405,,0.465,,,,8.8,,,,-0.2,0.1,-0.1,-0.017,
10,1 season,,NYA,ABA,,7.0,56.0,2.9,0.391,0.032,0.258,,,11.1,7.7,24.2,30.6,,-0.1,0.1,-0.1,-0.077,
