,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1978-79,23.0,KCK,NBA,PG,78.0,1242.0,15.6,0.555,,0.34,1.7,5.8,3.7,27.0,2.1,0.1,18.4,20.8,,1.7,1.2,3.0,0.114,,0.7,-0.3,0.4,0.7
1,1979-80,24.0,KCK,NBA,PG,76.0,1333.0,13.4,0.502,0.022,0.29,1.6,5.5,3.5,24.8,2.0,0.2,14.7,18.2,,1.1,1.6,2.7,0.096,,-0.6,0.2,-0.5,0.5
2,1980-81,25.0,TOT,NBA,PG,84.0,2166.0,13.3,0.562,0.019,0.291,1.7,7.4,4.6,22.2,2.1,0.3,17.8,16.1,,2.6,0.8,3.4,0.075,,-1.0,-0.4,-1.4,0.3
3,1980-81,25.0,UTA,NBA,PG,35.0,1032.0,11.0,0.576,0.009,0.206,1.3,6.8,4.1,21.0,1.8,0.2,21.6,13.5,,0.8,0.3,1.1,0.051,,-2.0,-0.7,-2.7,-0.2
4,1980-81,25.0,DEN,NBA,PG,49.0,1134.0,15.5,0.554,0.024,0.34,2.1,7.9,4.9,23.3,2.4,0.3,15.7,18.4,,1.8,0.5,2.3,0.098,,0.0,-0.2,-0.2,0.5
5,1981-82,26.0,DEN,NBA,PG,81.0,1963.0,14.4,0.565,0.024,0.243,1.6,6.0,3.9,21.1,1.5,0.4,12.9,17.2,,3.4,-0.1,3.3,0.081,,0.5,-1.6,-1.1,0.4
6,1982-83,27.0,DEN,NBA,PG,68.0,1559.0,13.2,0.539,0.013,0.306,1.4,6.5,3.9,22.2,1.1,0.2,14.0,17.1,,2.3,0.0,2.3,0.072,,-0.4,-2.0,-2.3,-0.1
7,1983-84,28.0,SDC,NBA,PG,80.0,843.0,11.7,0.478,0.007,0.151,0.9,6.3,3.6,25.1,1.5,0.0,12.9,17.6,,0.7,0.1,0.9,0.049,,-1.5,-1.3,-2.8,-0.2
8,1985-86,30.0,CHI,NBA,PG,9.0,83.0,9.9,0.461,0.0,0.087,1.3,5.7,3.4,20.7,1.7,0.0,7.7,12.7,,0.1,0.0,0.1,0.053,,-1.4,-0.6,-2.1,0.0
9,Career,,,NBA,,476.0,9189.0,13.7,0.541,0.015,0.275,1.5,6.3,3.9,23.3,1.7,0.2,15.3,17.5,,11.9,3.7,15.6,0.082,,-0.3,-0.9,-1.2,1.7
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,DEN,NBA,,198.0,4656.0,14.3,0.554,0.021,0.288,1.7,6.6,4.2,22.0,1.6,0.3,14.0,17.5,,7.5,0.4,8.0,0.082,,0.1,-1.4,-1.3,0.8
12,2 seasons,,KCK,NBA,,154.0,2575.0,14.5,0.53,0.011,0.315,1.6,5.7,3.6,25.9,2.1,0.2,16.7,19.4,,2.8,2.8,5.6,0.105,,0.0,-0.1,0.0,1.3
13,1 season,,SDC,NBA,,80.0,843.0,11.7,0.478,0.007,0.151,0.9,6.3,3.6,25.1,1.5,0.0,12.9,17.6,,0.7,0.1,0.9,0.049,,-1.5,-1.3,-2.8,-0.2
14,1 season,,UTA,NBA,,35.0,1032.0,11.0,0.576,0.009,0.206,1.3,6.8,4.1,21.0,1.8,0.2,21.6,13.5,,0.8,0.3,1.1,0.051,,-2.0,-0.7,-2.7,-0.2
15,1 season,,CHI,NBA,,9.0,83.0,9.9,0.461,0.0,0.087,1.3,5.7,3.4,20.7,1.7,0.0,7.7,12.7,,0.1,0.0,0.1,0.053,,-1.4,-0.6,-2.1,0.0
