,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1969-70,23.0,SDR,NBA,SF,75.0,1198.0,12.4,0.451,,0.169,,,,8.1,,,,,,-0.6,1.7,1.1,0.043,,,,,
1,1970-71,24.0,CLE,NBA,SG,77.0,2332.0,15.5,0.483,,0.212,,,8.9,17.7,,,,,,1.6,0.8,2.4,0.049,,,,,
2,1971-72,25.0,CLE,NBA,SF,82.0,2734.0,13.5,0.478,,0.188,,,8.9,13.2,,,,,,1.0,2.3,3.3,0.057,,,,,
3,1972-73,26.0,CLE,NBA,SG,73.0,1068.0,16.3,0.47,,0.134,,,9.0,16.5,,,,,,0.4,1.3,1.6,0.074,,,,,
4,1973-74,27.0,CLE,NBA,SF,82.0,2612.0,13.9,0.483,,0.143,5.0,12.5,8.5,11.5,1.6,0.6,,,,2.4,1.8,4.2,0.077,,-0.2,-0.5,-0.7,0.9
5,1974-75,28.0,CLE,NBA,SF,82.0,2636.0,15.9,0.508,,0.132,4.3,12.1,8.2,13.7,1.5,0.5,,,,3.8,2.3,6.1,0.112,,1.1,-0.3,0.8,1.8
6,1975-76,29.0,CLE,NBA,SG,81.0,2338.0,13.1,0.466,,0.121,3.5,11.7,7.5,9.9,1.2,0.8,,,,1.5,2.3,3.7,0.077,,-0.7,-0.5,-1.2,0.5
7,1976-77,30.0,CLE,NBA,SF,81.0,2135.0,15.0,0.478,,0.158,4.2,11.1,7.5,11.3,1.4,0.8,,,,2.2,2.0,4.2,0.095,,0.2,-0.6,-0.3,0.9
8,1977-78,31.0,CLE,NBA,SG,82.0,1581.0,14.3,0.47,,0.161,4.1,9.2,6.6,8.9,1.1,0.7,8.3,24.6,,1.2,1.3,2.5,0.076,,-0.5,-1.0,-1.4,0.2
9,1978-79,32.0,CLE,NBA,SG,72.0,1650.0,13.4,0.485,,0.135,4.8,9.1,6.8,10.7,1.2,0.2,8.3,21.8,,1.6,0.5,2.1,0.061,,-0.7,-1.6,-2.3,-0.1
10,1979-80,33.0,TOT,NBA,"SF,SG",78.0,2123.0,11.3,0.474,0.091,0.129,4.6,8.7,6.6,6.6,1.4,0.4,7.9,19.2,,1.5,0.5,2.1,0.047,,-1.7,-1.5,-3.2,-0.7
11,1979-80,33.0,CLE,NBA,SG,8.0,135.0,10.8,0.49,0.069,0.111,1.5,9.8,5.5,7.3,1.0,0.8,10.6,24.0,,0.0,0.1,0.1,0.028,,-3.0,-0.7,-3.7,-0.1
12,1979-80,33.0,SDC,NBA,SF,70.0,1988.0,11.4,0.473,0.093,0.131,4.8,8.6,6.7,6.5,1.4,0.4,7.7,18.9,,1.5,0.5,2.0,0.048,,-1.6,-1.6,-3.2,-0.6
13,Career,,,NBA,,865.0,22407.0,14.1,0.479,0.008,0.154,4.4,10.9,7.9,11.8,1.3,0.6,8.1,21.6,,16.6,16.7,33.3,0.071,,-0.3,-0.8,-1.1,3.5
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,10 seasons,,CLE,NBA,,720.0,19221.0,14.4,0.481,0.001,0.155,4.3,11.2,8.1,12.5,1.3,0.6,8.4,23.2,,15.7,14.6,30.2,0.076,,-0.1,-0.7,-0.8,4.1
16,1 season,,SDR,NBA,,75.0,1198.0,12.4,0.451,,0.169,,,,8.1,,,,,,-0.6,1.7,1.1,0.043,,,,,
17,1 season,,SDC,NBA,,70.0,1988.0,11.4,0.473,0.093,0.131,4.8,8.6,6.7,6.5,1.4,0.4,7.7,18.9,,1.5,0.5,2.0,0.048,,-1.6,-1.6,-3.2,-0.6
