,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1991-92,22.0,ORL,NBA,PF,48.0,905.0,17.1,0.565,0.0,0.438,13.8,19.9,16.8,5.8,2.2,3.6,18.2,21.7,,0.6,1.2,1.8,0.097,,-1.4,0.5,-0.9,0.3
1,1992-93,23.0,ORL,NBA,PF,21.0,240.0,12.9,0.553,0.013,0.256,12.0,14.2,13.2,3.2,2.9,4.3,22.4,20.1,,-0.1,0.4,0.3,0.069,,-4.2,2.3,-1.8,0.0
2,1993-94,24.0,DEN,NBA,C,80.0,1507.0,16.5,0.574,0.006,0.455,10.5,22.0,16.4,5.2,1.6,3.6,15.7,18.7,,1.8,2.9,4.7,0.151,,-0.9,1.3,0.4,0.9
3,1994-95,25.0,DEN,NBA,C,63.0,1261.0,13.9,0.616,0.0,0.486,9.6,18.5,14.2,6.8,1.6,2.5,22.0,18.5,,0.8,1.5,2.3,0.089,,-2.5,0.4,-2.1,0.0
4,1995-96,26.0,LAC,NBA,C,65.0,2157.0,17.0,0.582,0.008,0.349,8.2,19.5,13.7,9.4,1.7,1.9,17.7,22.2,,2.1,1.9,4.0,0.09,,-0.2,-0.4,-0.6,0.8
5,1996-97,27.0,CHI,NBA,C,9.0,138.0,13.7,0.453,0.0,0.238,11.6,15.3,13.5,13.5,1.2,2.7,13.6,26.1,,0.0,0.2,0.2,0.073,,-3.6,-1.3,-4.9,-0.1
6,1997-98,28.0,DET,NBA,C,78.0,2619.0,18.1,0.542,0.003,0.269,10.1,21.6,15.8,7.0,1.4,1.6,13.5,23.9,,3.2,3.7,6.9,0.126,,0.6,-0.6,0.0,1.3
7,1998-99,29.0,DET,NBA,C,49.0,1177.0,15.8,0.531,0.002,0.274,9.5,18.8,14.1,11.9,1.8,2.8,18.7,24.0,,0.6,1.8,2.4,0.097,,-1.5,0.5,-1.0,0.3
8,Career,,,NBA,,413.0,10004.0,16.5,0.562,0.004,0.347,10.0,20.1,15.0,7.7,1.7,2.5,16.9,21.8,,9.0,13.8,22.8,0.109,,-0.8,0.2,-0.6,3.4
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,2 seasons,,DEN,NBA,,143.0,2768.0,15.3,0.591,0.004,0.468,10.1,20.4,15.4,5.9,1.6,3.1,18.5,18.6,,2.6,4.5,7.1,0.123,,-1.7,0.9,-0.8,0.9
11,2 seasons,,DET,NBA,,127.0,3796.0,17.4,0.539,0.003,0.271,9.9,20.7,15.3,8.5,1.5,2.0,15.1,23.9,,3.8,5.5,9.3,0.117,,-0.1,-0.2,-0.3,1.6
12,2 seasons,,ORL,NBA,,69.0,1145.0,16.2,0.563,0.002,0.403,13.5,18.7,16.0,5.3,2.4,3.7,19.0,21.3,,0.5,1.7,2.2,0.091,,-2.0,0.9,-1.1,0.3
13,1 season,,LAC,NBA,,65.0,2157.0,17.0,0.582,0.008,0.349,8.2,19.5,13.7,9.4,1.7,1.9,17.7,22.2,,2.1,1.9,4.0,0.09,,-0.2,-0.4,-0.6,0.8
14,1 season,,CHI,NBA,,9.0,138.0,13.7,0.453,0.0,0.238,11.6,15.3,13.5,13.5,1.2,2.7,13.6,26.1,,0.0,0.2,0.2,0.073,,-3.6,-1.3,-4.9,-0.1
