,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1973-74,22.0,SDA,ABA,SG,84.0,2824.0,15.2,0.456,0.143,0.203,3.3,6.2,4.7,14.2,2.0,0.2,8.9,26.9,,1.3,1.2,2.5,0.042,,0.1,-1.0,-0.9,0.8
1,1974-75,23.0,SDA,ABA,PG,77.0,2917.0,14.5,0.47,0.069,0.201,2.9,5.1,4.0,20.5,2.0,0.2,12.2,25.7,,0.7,0.8,1.5,0.024,,-0.2,-1.4,-1.6,0.3
2,1975-76,24.0,TOT,ABA,"PG,SG",41.0,1130.0,14.9,0.46,0.129,0.159,3.6,6.0,4.7,23.2,1.7,0.1,11.7,26.9,,0.3,0.7,1.0,0.042,,0.6,-1.5,-0.9,0.3
3,1975-76,24.0,SDS,ABA,PG,6.0,222.0,13.6,0.462,0.071,0.124,3.8,4.1,3.9,26.9,1.3,0.2,14.4,24.7,,0.0,0.1,0.2,0.037,,0.2,-1.1,-0.9,0.1
4,1975-76,24.0,INA,ABA,SG,35.0,908.0,15.2,0.459,0.141,0.166,3.5,6.4,4.9,22.3,1.8,0.1,11.2,27.4,,0.3,0.6,0.8,0.043,,0.7,-1.6,-0.9,0.3
5,1976-77,25.0,LAL,NBA,PG,71.0,1165.0,12.8,0.425,,0.121,2.7,5.3,4.0,20.8,2.3,0.1,,,,-0.4,0.9,0.5,0.021,,-1.7,-1.0,-2.7,-0.2
6,Career,,,TOT,,273.0,8036.0,14.6,0.457,0.098,0.185,3.1,5.6,4.3,18.7,2.0,0.2,10.7,26.4,,1.9,3.6,5.4,0.033,,-0.2,-1.2,-1.4,1.2
7,,,,ABA,,202.0,6871.0,14.9,0.462,0.111,0.194,3.2,5.7,4.4,18.3,2.0,0.2,10.7,26.4,,2.3,2.7,4.9,0.035,,0.1,-1.3,-1.2,1.4
8,,,,NBA,,71.0,1165.0,12.8,0.425,,0.121,2.7,5.3,4.0,20.8,2.3,0.1,,,,-0.4,0.9,0.5,0.021,,-1.7,-1.0,-2.7,-0.2
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,3 seasons,,"SDA,SDS",ABA,,167.0,5963.0,14.8,0.462,0.107,0.199,3.1,5.6,4.3,17.7,2.0,0.2,10.6,26.2,,2.0,2.1,4.1,0.033,,0.0,-1.2,-1.2,1.2
11,1 season,,LAL,NBA,,71.0,1165.0,12.8,0.425,,0.121,2.7,5.3,4.0,20.8,2.3,0.1,,,,-0.4,0.9,0.5,0.021,,-1.7,-1.0,-2.7,-0.2
12,1 season,,INA,ABA,,35.0,908.0,15.2,0.459,0.141,0.166,3.5,6.4,4.9,22.3,1.8,0.1,11.2,27.4,,0.3,0.6,0.8,0.043,,0.7,-1.6,-0.9,0.3
