,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,29.0,ROC,BAA,PG,60,,,0.441,0.4,,,,,,7.1,1.5,8.6,,
1,1949-50,30.0,ROC,NBA,PG,64,,,0.43,0.391,,,,,,4.7,2.9,7.7,,
2,1950-51,31.0,ROC,NBA,PG,63,,,0.457,0.434,,,,,,5.3,1.6,6.9,,
3,1951-52,32.0,ROC,NBA,PG,65,2394.0,17.5,0.455,0.383,,,,,,4.7,1.6,6.3,0.126,
4,1952-53,33.0,ROC,NBA,PG,66,2216.0,18.0,0.474,0.53,,,,,,5.2,2.2,7.4,0.161,
5,1953-54,34.0,ROC,NBA,PG,72,2137.0,18.2,0.458,0.557,,,,,,4.4,3.3,7.7,0.172,
6,1954-55,35.0,ROC,NBA,PG,72,1870.0,19.0,0.477,0.373,,,,,,4.0,1.2,5.2,0.132,
7,Career,,,TOT,,462,8617.0,18.1,0.456,0.436,,,,,,35.4,14.3,49.7,0.148,
8,,,,NBA,,402,8617.0,18.1,0.458,0.442,,,,,,28.3,12.7,41.1,0.148,
9,,,,BAA,,60,,,0.441,0.4,,,,,,7.1,1.5,8.6,,
