,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1949-50,22.0,MNL,NBA,,66.0,,,0.394,0.213,,,,,,0.7,2.7,3.5,,
1,1950-51,23.0,MNL,NBA,,68.0,,,0.411,0.296,,,,,,1.0,2.3,3.3,,
2,1951-52,24.0,MNL,NBA,SG,65.0,1712.0,8.3,0.37,0.255,,,,,,-1.0,3.2,2.2,0.061,
3,1952-53,25.0,MNL,NBA,SG,70.0,1643.0,10.5,0.421,0.319,,,,,,0.6,2.2,2.9,0.084,
4,1953-54,26.0,TOT,NBA,SG,64.0,1443.0,7.6,0.368,0.352,,,,,,-1.5,1.5,0.0,-0.001,
5,1953-54,26.0,MNL,NBA,,40.0,619.0,6.1,0.365,0.392,,,,,,-0.6,0.8,0.2,0.017,
6,1953-54,26.0,MLH,NBA,SG,24.0,824.0,8.7,0.371,0.325,,,,,,-0.9,0.6,-0.3,-0.015,
7,1954-55,27.0,MLH,NBA,PG,72.0,2300.0,8.2,0.379,0.211,,,,,,-2.6,2.2,-0.4,-0.008,
8,1955-56,28.0,STL,NBA,PG,72.0,2219.0,8.0,0.391,0.201,,,,,,-1.3,2.2,0.9,0.019,
9,1956-57,29.0,TOT,NBA,SG,66.0,1810.0,8.6,0.422,0.207,,,,,,0.5,1.3,1.8,0.048,
10,1956-57,29.0,STL,NBA,,10.0,48.0,5.1,0.362,0.258,,,,,,-0.1,0.0,-0.1,-0.06,
11,1956-57,29.0,SYR,NBA,SG,56.0,1762.0,8.7,0.425,0.204,,,,,,0.6,1.3,1.9,0.051,
12,1957-58,30.0,SYR,NBA,SG,72.0,1799.0,7.2,0.393,0.202,,,,,,-0.6,1.5,0.9,0.025,
13,Career,,,NBA,,615.0,12926.0,8.3,0.394,0.243,,,,,,-4.2,19.2,15.0,0.031,
14,,,,,,,,,,,,,,,,,,,,
15,5 seasons,,MNL,NBA,,309.0,3974.0,8.9,0.396,0.286,,,,,,0.8,11.3,12.1,0.063,
16,4 seasons,,"MLH,STL",NBA,,178.0,5391.0,8.2,0.382,0.224,,,,,,-4.9,5.1,0.2,0.001,
17,2 seasons,,SYR,NBA,,128.0,3561.0,7.9,0.409,0.203,,,,,,0.0,2.8,2.8,0.038,
