,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1989-90,25.0,DAL,NBA,SF,10.0,62.0,12.4,0.479,0.0,0.667,7.4,14.4,11.0,13.7,1.6,2.0,18.1,23.5,,0.0,0.1,0.1,0.041,,-3.2,-0.9,-4.0,0.0
1,1991-92,27.0,DET,NBA,SF,26.0,129.0,7.3,0.387,0.03,0.394,10.6,15.6,13.1,6.6,2.4,1.9,15.3,15.6,,-0.2,0.2,0.1,0.022,,-5.8,1.2,-4.7,-0.1
2,1992-93,28.0,MIN,NBA,SF,79.0,1536.0,10.9,0.519,0.005,0.371,7.3,14.8,11.1,7.0,1.7,2.4,14.2,16.1,,0.2,1.1,1.3,0.041,,-2.8,-0.5,-3.3,-0.5
3,1995-96,31.0,WSB,NBA,PF,62.0,653.0,9.1,0.507,0.013,0.484,8.5,17.1,12.9,5.3,1.6,1.6,18.5,15.6,,-0.2,0.8,0.6,0.044,,-4.7,0.2,-4.5,-0.4
4,1997-98,33.0,TOR,NBA,SF,1.0,5.0,-7.3,0.0,0.0,0.0,0.0,23.3,11.2,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.186,,-13.9,-3.6,-17.4,0.0
5,Career,,,NBA,,178.0,2385.0,10.2,0.507,0.008,0.409,7.8,15.5,11.7,6.6,1.7,2.2,15.5,16.1,,-0.2,2.2,2.0,0.041,,-3.5,-0.2,-3.8,-1.1
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,MIN,NBA,,79.0,1536.0,10.9,0.519,0.005,0.371,7.3,14.8,11.1,7.0,1.7,2.4,14.2,16.1,,0.2,1.1,1.3,0.041,,-2.8,-0.5,-3.3,-0.5
8,1 season,,WSB,NBA,,62.0,653.0,9.1,0.507,0.013,0.484,8.5,17.1,12.9,5.3,1.6,1.6,18.5,15.6,,-0.2,0.8,0.6,0.044,,-4.7,0.2,-4.5,-0.4
9,1 season,,DET,NBA,,26.0,129.0,7.3,0.387,0.03,0.394,10.6,15.6,13.1,6.6,2.4,1.9,15.3,15.6,,-0.2,0.2,0.1,0.022,,-5.8,1.2,-4.7,-0.1
10,1 season,,DAL,NBA,,10.0,62.0,12.4,0.479,0.0,0.667,7.4,14.4,11.0,13.7,1.6,2.0,18.1,23.5,,0.0,0.1,0.1,0.041,,-3.2,-0.9,-4.0,0.0
11,1 season,,TOR,NBA,,1.0,5.0,-7.3,0.0,0.0,0.0,0.0,23.3,11.2,0.0,0.0,0.0,0.0,8.8,,0.0,0.0,0.0,-0.186,,-13.9,-3.6,-17.4,0.0
