,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1965-66,24.0,DET,NBA,SG,10.0,78.0,5.9,0.295,,0.158,,,,16.8,,,,-0.3,0.1,-0.2,-0.145,
1,1966-67,25.0,SFW,NBA,SG,12.0,65.0,10.4,0.317,,0.212,,,,20.7,,,,-0.4,0.1,-0.3,-0.207,
2,1967-68,26.0,SFW,NBA,SG,69.0,1320.0,12.5,0.446,,0.28,,,,16.7,,,,-0.4,1.8,1.4,0.05,
3,1968-69,27.0,TOT,NBA,SG,66.0,997.0,13.2,0.449,,0.279,,,,19.5,,,,-0.1,0.3,0.2,0.011,
4,1968-69,27.0,MIL,NBA,SG,3.0,22.0,0.0,0.294,,0.625,,,,5.3,,,,-0.1,0.0,-0.1,-0.176,
5,1968-69,27.0,PHO,NBA,SG,63.0,975.0,13.5,0.452,,0.273,,,,19.9,,,,0.0,0.3,0.3,0.016,
6,1969-70,28.0,LAS,ABA,SG,29.0,711.0,9.7,0.411,0.003,0.311,,,7.0,14.9,14.0,21.2,,-1.0,0.6,-0.3,-0.023,
7,Career,,,TOT,,186.0,3171.0,11.9,0.432,0.001,0.281,,,7.0,17.3,14.0,21.2,,-2.2,3.0,0.8,0.011,
8,,,,NBA,,157.0,2460.0,12.6,0.437,,0.273,,,,17.9,,,,-1.2,2.3,1.1,0.021,
9,,,,ABA,,29.0,711.0,9.7,0.411,0.003,0.311,,,7.0,14.9,14.0,21.2,,-1.0,0.6,-0.3,-0.023,
10,,,,,,,,,,,,,,,,,,,,,,,
11,2 seasons,,SFW,NBA,,81.0,1385.0,12.4,0.436,,0.275,,,,16.9,,,,-0.8,1.9,1.1,0.038,
12,1 season,,PHO,NBA,,63.0,975.0,13.5,0.452,,0.273,,,,19.9,,,,0.0,0.3,0.3,0.016,
13,1 season,,LAS,ABA,,29.0,711.0,9.7,0.411,0.003,0.311,,,7.0,14.9,14.0,21.2,,-1.0,0.6,-0.3,-0.023,
14,1 season,,DET,NBA,,10.0,78.0,5.9,0.295,,0.158,,,,16.8,,,,-0.3,0.1,-0.2,-0.145,
15,1 season,,MIL,NBA,,3.0,22.0,0.0,0.294,,0.625,,,,5.3,,,,-0.1,0.0,-0.1,-0.176,
