,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,28.0,WSC,BAA,SF,58.0,,,0.322,0.213,,,,,,2.2,4.9,7.1,,
1,1947-48,29.0,WSC,BAA,SF,43.0,,,0.318,0.276,,,,,,0.5,2.9,3.3,,
2,1948-49,30.0,WSC,BAA,SF,57.0,,,0.391,0.348,,,,,,2.1,2.8,4.9,,
3,1949-50,31.0,WSC,NBA,SF,53.0,,,0.352,0.241,,,,,,-1.5,1.7,0.2,,
4,1950-51,32.0,TOT,NBA,SF,44.0,,,0.361,0.248,,,,,,-0.8,0.6,-0.2,,
5,1950-51,32.0,WSC,NBA,SF,10.0,,,0.293,0.163,,,,,,-0.4,0.1,-0.3,,
6,1950-51,32.0,BOS,NBA,SF,34.0,,,0.371,0.261,,,,,,-0.5,0.5,0.0,,
7,1951-52,33.0,BOS,NBA,SF,63.0,1083.0,9.5,0.372,0.191,,,,,,-1.0,1.0,0.0,0.001,
8,Career,,,TOT,,318.0,1083.0,9.5,0.35,0.258,,,,,,1.5,13.9,15.4,0.001,
9,,,,NBA,,160.0,1083.0,9.5,0.36,0.227,,,,,,-3.3,3.3,0.0,0.001,
10,,,,BAA,,158.0,,,0.344,0.274,,,,,,4.8,10.6,15.4,,
11,,,,,,,,,,,,,,,,,,,,
12,5 seasons,,WSC,BAA,,221.0,,,0.345,0.266,,,,,,3.0,12.4,15.3,,
13,2 seasons,,BOS,NBA,,97.0,1083.0,9.5,0.372,0.219,,,,,,-1.5,1.5,0.1,0.001,
