,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1979-80,23.0,TOT,NBA,SF,78.0,2857.0,17.0,0.524,0.007,0.323,8.8,16.7,12.7,9.1,1.6,0.7,11.8,23.2,,3.5,3.7,7.1,0.12,,1.2,-0.7,0.4,1.8
1,1979-80,23.0,NJN,NBA,SF,53.0,2046.0,15.9,0.52,0.006,0.319,8.8,17.2,13.0,8.2,1.7,0.6,11.7,21.4,,2.1,2.8,4.8,0.114,,0.6,-0.6,-0.1,1.0
2,1979-80,23.0,POR,NBA,SF,25.0,811.0,19.8,0.532,0.01,0.332,8.8,15.4,12.1,11.5,1.4,0.9,11.9,27.6,,1.4,0.9,2.3,0.136,,2.7,-1.0,1.7,0.8
3,1980-81,24.0,POR,NBA,SF,74.0,2111.0,14.8,0.541,0.01,0.356,7.7,14.6,11.1,10.0,1.6,0.5,15.1,20.3,,2.2,2.0,4.2,0.095,,0.1,-0.9,-0.8,0.7
4,1981-82,25.0,POR,NBA,SF,75.0,2599.0,19.0,0.622,0.009,0.438,8.4,17.9,13.2,8.0,1.1,0.8,11.6,19.1,,7.0,2.3,9.3,0.171,,3.0,-0.7,2.3,2.8
5,1982-83,26.0,POR,NBA,SF,80.0,2879.0,19.0,0.593,0.017,0.361,8.3,15.1,11.7,9.1,1.0,0.6,12.9,22.3,,7.1,2.7,9.8,0.164,,3.0,-1.1,1.8,2.8
6,1983-84,27.0,POR,NBA,SF,79.0,2638.0,16.9,0.633,0.02,0.403,7.3,14.3,10.7,9.3,1.2,0.5,14.1,17.9,,6.3,2.1,8.4,0.154,,2.2,-0.7,1.5,2.3
7,1984-85,28.0,DEN,NBA,PF,78.0,2657.0,21.8,0.604,0.002,0.449,7.9,17.2,12.2,12.4,1.3,0.7,11.2,24.1,,8.0,2.3,10.2,0.185,,4.2,-1.0,3.1,3.4
8,1985-86,29.0,DEN,NBA,PF,69.0,2007.0,18.6,0.562,0.006,0.373,6.2,17.0,11.3,11.6,1.3,0.4,10.7,23.3,,3.9,2.3,6.1,0.146,,2.1,-0.8,1.3,1.7
9,1986-87,30.0,DEN,NBA,PF,1.0,20.0,15.2,0.46,0.0,0.2,9.9,16.8,13.1,13.4,2.3,0.0,8.4,22.8,,0.0,0.0,0.0,0.076,,-2.7,-2.4,-5.1,0.0
10,1987-88,31.0,DEN,NBA,PF,27.0,533.0,14.4,0.537,0.005,0.351,6.6,12.5,9.5,11.6,1.1,0.3,11.1,19.7,,0.6,0.5,1.1,0.102,,0.2,-1.1,-0.9,0.2
11,1988-89,32.0,TOT,NBA,SF,24.0,353.0,10.7,0.501,0.009,0.681,8.1,15.7,11.7,6.6,1.0,0.5,16.6,19.8,,0.0,0.3,0.3,0.036,,-2.4,-1.7,-4.1,-0.2
12,1988-89,32.0,DEN,NBA,SF,14.0,168.0,12.1,0.519,0.02,0.62,7.0,22.1,14.1,5.0,1.6,0.3,14.7,17.0,,0.1,0.2,0.3,0.075,,-1.9,-0.6,-2.5,0.0
13,1988-89,32.0,SAS,NBA,SF,10.0,185.0,9.3,0.488,0.0,0.727,9.1,9.9,9.5,8.0,0.5,0.6,17.9,22.3,,-0.1,0.1,0.0,0.0,,-2.9,-2.7,-5.5,-0.2
14,1989-90,33.0,IND,NBA,SF,14.0,164.0,14.4,0.701,0.0,0.71,7.5,17.0,12.5,7.5,0.3,0.0,10.9,12.1,,0.5,0.1,0.5,0.159,,0.8,-1.2,-0.4,0.1
15,Career,,,NBA,,599.0,18818.0,17.9,0.579,0.01,0.39,7.8,16.0,11.8,9.8,1.3,0.6,12.4,21.3,,39.1,18.1,57.2,0.146,,2.1,-0.9,1.2,15.4
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,POR,NBA,,333.0,11038.0,17.7,0.592,0.014,0.382,8.0,15.5,11.7,9.2,1.3,0.6,13.2,20.5,,24.0,10.0,34.0,0.148,,2.2,-0.9,1.3,9.3
18,5 seasons,,DEN,NBA,,189.0,5385.0,19.5,0.581,0.004,0.415,7.1,16.8,11.7,11.8,1.3,0.5,11.1,23.1,,12.6,5.2,17.8,0.159,,2.8,-0.9,1.8,5.2
19,1 season,,NJN,NBA,,53.0,2046.0,15.9,0.52,0.006,0.319,8.8,17.2,13.0,8.2,1.7,0.6,11.7,21.4,,2.1,2.8,4.8,0.114,,0.6,-0.6,-0.1,1.0
20,1 season,,IND,NBA,,14.0,164.0,14.4,0.701,0.0,0.71,7.5,17.0,12.5,7.5,0.3,0.0,10.9,12.1,,0.5,0.1,0.5,0.159,,0.8,-1.2,-0.4,0.1
21,1 season,,SAS,NBA,,10.0,185.0,9.3,0.488,0.0,0.727,9.1,9.9,9.5,8.0,0.5,0.6,17.9,22.3,,-0.1,0.1,0.0,0.0,,-2.9,-2.7,-5.5,-0.2
