,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1991-92,25.0,HOU,NBA,PF,43.0,566.0,10.9,0.529,0.006,0.273,6.7,12.7,9.7,7.1,1.4,2.6,17.0,16.7,,-0.1,0.6,0.5,0.045,,-3.0,0.0,-3.0,-0.1
1,1992-93,26.0,HOU,NBA,PF,81.0,1800.0,13.1,0.58,0.005,0.396,9.9,18.2,14.3,4.9,1.3,1.2,15.0,15.0,,2.1,2.6,4.6,0.123,,-1.5,-0.1,-1.6,0.2
2,1993-94,27.0,HOU,NBA,PF,75.0,1292.0,9.1,0.5,0.0,0.313,9.2,15.0,12.3,4.1,1.3,1.3,16.4,14.4,,0.1,1.9,2.0,0.075,,-3.9,0.3,-3.6,-0.5
3,1994-95,28.0,HOU,NBA,PF,61.0,1331.0,11.7,0.548,0.006,0.358,8.9,14.8,12.0,4.9,1.5,2.0,15.8,15.1,,0.6,1.5,2.1,0.076,,-2.6,-0.1,-2.7,-0.3
4,1995-96,29.0,SAS,NBA,PF,44.0,393.0,4.7,0.407,0.01,0.175,8.9,13.9,11.5,5.9,1.2,1.5,21.7,15.3,,-0.7,0.5,-0.2,-0.02,,-7.1,-0.1,-7.2,-0.5
5,1996-97,30.0,SAS,NBA,PF,75.0,1837.0,10.6,0.463,0.01,0.199,7.4,15.0,11.1,4.7,1.9,2.3,12.8,18.7,,-0.8,0.9,0.1,0.002,,-4.0,-1.0,-5.0,-1.4
6,1997-98,31.0,SAS,NBA,PF,58.0,516.0,8.1,0.437,0.006,0.251,5.7,14.1,10.2,7.3,2.0,1.6,16.4,21.1,,-0.9,0.9,0.1,0.006,,-5.7,0.9,-4.8,-0.4
7,1998-99,32.0,TOT,NBA,PF,28.0,307.0,6.8,0.402,0.013,0.145,9.2,14.4,11.7,2.2,2.1,1.6,16.5,14.3,,-0.3,0.1,-0.3,-0.042,,-5.0,-1.4,-6.4,-0.3
8,1998-99,32.0,VAN,NBA,PF,4.0,42.0,-1.7,0.216,0.0,0.154,13.8,8.6,11.2,11.8,0.0,0.0,22.4,19.5,,-0.2,0.0,-0.2,-0.255,,-7.6,-5.1,-12.6,-0.1
9,1998-99,32.0,DEN,NBA,PF,24.0,265.0,8.2,0.441,0.016,0.143,8.4,15.3,11.8,0.6,2.4,1.9,15.2,13.5,,-0.1,0.1,0.0,-0.008,,-4.6,-0.8,-5.4,-0.2
10,Career,,,NBA,,465.0,8042.0,10.5,0.505,0.006,0.286,8.5,15.4,12.0,5.0,1.5,1.7,15.4,16.3,,0.0,9.0,9.0,0.054,,-3.4,-0.2,-3.7,-3.4
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,HOU,NBA,,260.0,4989.0,11.4,0.546,0.004,0.349,9.1,15.8,12.6,4.9,1.4,1.6,15.8,15.1,,2.7,6.6,9.3,0.089,,-2.6,0.0,-2.6,-0.7
13,3 seasons,,SAS,NBA,,177.0,2746.0,9.3,0.451,0.009,0.207,7.3,14.7,11.0,5.4,1.8,2.1,14.7,18.7,,-2.4,2.4,0.0,0.0,,-4.8,-0.5,-5.3,-2.3
14,1 season,,DEN,NBA,,24.0,265.0,8.2,0.441,0.016,0.143,8.4,15.3,11.8,0.6,2.4,1.9,15.2,13.5,,-0.1,0.1,0.0,-0.008,,-4.6,-0.8,-5.4,-0.2
15,1 season,,VAN,NBA,,4.0,42.0,-1.7,0.216,0.0,0.154,13.8,8.6,11.2,11.8,0.0,0.0,22.4,19.5,,-0.2,0.0,-0.2,-0.255,,-7.6,-5.1,-12.6,-0.1
