,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1977-78,22.0,BOS,NBA,SF,72.0,1213.0,17.8,0.62,,0.791,11.8,19.7,15.9,7.6,2.0,2.0,22.3,17.5,,2.4,1.8,4.2,0.166,,0.8,1.2,2.0,1.2
1,1978-79,23.0,BOS,NBA,SF,80.0,2969.0,19.9,0.676,,0.886,10.1,19.6,14.8,10.4,1.5,1.3,19.6,18.4,,8.9,2.7,11.7,0.188,,2.9,0.2,3.1,3.8
2,1979-80,24.0,BOS,NBA,SF,80.0,2744.0,19.0,0.679,0.0,0.739,11.7,16.8,14.3,9.8,1.3,1.3,18.8,17.7,,8.3,3.9,12.2,0.214,,2.8,0.7,3.5,3.8
3,1980-81,25.0,BOS,NBA,SF,81.0,2730.0,17.6,0.651,0.001,0.6,9.7,12.1,11.0,10.8,1.4,1.4,16.0,16.8,,7.6,3.3,11.0,0.193,,2.7,0.7,3.5,3.8
4,1981-82,26.0,BOS,NBA,SF,78.0,2590.0,16.0,0.616,0.004,0.66,9.5,11.7,10.6,9.2,1.4,1.0,15.7,17.2,,5.8,3.3,9.1,0.169,,1.6,0.6,2.2,2.7
5,1982-83,27.0,BOS,NBA,SF,79.0,2252.0,14.7,0.578,0.002,0.52,8.9,11.2,10.1,10.5,1.3,1.0,16.8,17.0,,4.0,2.5,6.6,0.14,,1.0,0.0,1.0,1.7
6,1983-84,28.0,BOS,NBA,SF,80.0,2502.0,13.5,0.61,0.01,0.713,9.5,11.4,10.5,10.5,1.2,0.5,20.6,16.2,,3.6,2.9,6.4,0.124,,0.6,-0.2,0.4,1.5
7,1984-85,29.0,BOS,NBA,SF,57.0,1495.0,14.2,0.634,0.005,0.737,7.6,10.2,8.9,8.4,1.1,0.5,16.4,16.3,,3.2,1.4,4.6,0.147,,0.8,-0.3,0.5,0.9
8,1985-86,30.0,LAC,NBA,SF,76.0,2458.0,15.6,0.592,0.005,0.85,10.7,17.5,14.0,12.0,1.2,0.6,18.5,18.2,,4.3,1.1,5.4,0.105,,0.6,-1.2,-0.6,0.9
9,1986-87,31.0,TOT,NBA,SF,81.0,1968.0,15.3,0.623,0.002,0.82,9.4,15.1,12.1,13.9,0.9,0.4,17.3,16.0,,4.0,1.4,5.4,0.132,,1.1,-0.3,0.8,1.4
10,1986-87,31.0,LAC,NBA,SF,35.0,1132.0,15.4,0.613,0.0,0.789,9.3,15.6,12.2,15.3,1.1,0.5,18.4,16.8,,2.0,0.5,2.5,0.105,,1.0,-0.6,0.4,0.7
11,1986-87,31.0,HOU,NBA,SF,46.0,836.0,15.2,0.639,0.005,0.867,9.6,14.5,12.1,11.9,0.7,0.3,15.6,15.0,,2.0,0.9,2.9,0.167,,1.2,0.1,1.4,0.7
12,1987-88,32.0,HOU,NBA,SF,71.0,848.0,12.1,0.577,0.012,0.836,9.2,12.9,11.0,9.0,1.2,0.8,18.8,13.6,,1.0,1.0,2.0,0.112,,-0.5,0.2,-0.3,0.4
13,Career,,,NBA,,835.0,23769.0,16.4,0.629,0.003,0.73,9.9,14.5,12.2,10.4,1.3,1.0,18.1,17.1,,53.2,25.3,78.5,0.159,,1.6,0.1,1.7,22.1
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8 seasons,,BOS,NBA,,607.0,18495.0,16.8,0.637,0.003,0.701,9.9,14.1,12.0,9.9,1.4,1.1,18.1,17.2,,43.8,21.9,65.7,0.171,,1.8,0.3,2.2,19.5
16,2 seasons,,HOU,NBA,,117.0,1684.0,13.7,0.61,0.008,0.852,9.4,13.7,11.6,10.5,1.0,0.6,17.1,14.3,,3.0,1.9,4.9,0.14,,0.4,0.2,0.5,1.1
17,2 seasons,,LAC,NBA,,111.0,3590.0,15.5,0.598,0.003,0.832,10.3,16.9,13.5,13.0,1.1,0.6,18.5,17.7,,6.4,1.5,7.9,0.105,,0.7,-1.0,-0.3,1.5
