,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2005-06,22.0,NYK,NBA,C,65.0,1572.0,18.1,0.541,0.014,0.358,10.6,18.5,14.5,6.6,1.0,2.5,11.6,24.2,,2.6,0.9,3.5,0.108,,0.7,-1.4,-0.7,0.5
1,2006-07,23.0,NYK,NBA,PF,72.0,1896.0,10.5,0.464,0.026,0.157,5.8,18.9,12.4,6.2,1.0,1.8,12.0,20.0,,-0.6,1.6,0.9,0.024,,-3.4,-0.6,-4.0,-0.9
2,2007-08,24.0,POR,NBA,C,78.0,1342.0,14.8,0.529,0.022,0.241,9.4,21.6,15.5,7.4,1.2,1.6,9.9,19.6,,1.6,1.6,3.2,0.114,,-1.9,0.1,-1.8,0.1
3,2008-09,25.0,POR,NBA,PF,63.0,746.0,10.0,0.465,0.124,0.135,6.7,16.7,11.6,5.3,1.3,1.7,9.3,19.7,,0.0,0.8,0.8,0.054,,-3.9,-0.3,-4.2,-0.4
4,2009-10,26.0,PHO,NBA,C,81.0,2190.0,15.0,0.598,0.558,0.172,3.6,17.6,11.0,7.4,1.5,2.4,8.8,16.7,,4.3,2.2,6.4,0.141,,1.8,0.9,2.7,2.6
5,2010-11,27.0,PHO,NBA,PF,77.0,2541.0,12.8,0.557,0.53,0.129,3.0,20.4,11.7,5.7,0.9,2.3,7.7,16.9,,2.7,2.1,4.7,0.09,,-0.3,0.0,-0.3,1.1
6,2011-12,28.0,PHO,NBA,PF,64.0,1669.0,14.9,0.519,0.429,0.134,4.8,20.6,12.8,8.3,1.3,3.0,8.8,19.3,,1.8,1.9,3.7,0.106,,0.2,0.7,0.9,1.2
7,2013-14,30.0,PHO,NBA,PF,82.0,2312.0,13.2,0.555,0.555,0.122,3.6,16.6,10.1,6.4,1.3,2.1,9.8,17.3,,2.9,2.4,5.3,0.109,,0.4,0.3,0.7,1.6
8,2014-15,31.0,ORL,NBA,PF,75.0,1870.0,9.5,0.546,0.71,0.072,1.6,16.4,8.9,7.4,1.3,1.7,13.4,14.1,,0.7,1.4,2.1,0.053,,-1.5,-0.1,-1.5,0.2
9,2015-16,32.0,TOT,NBA,"C,PF",70.0,1200.0,12.9,0.586,0.677,0.101,3.2,18.6,10.9,8.7,1.2,1.9,10.6,15.1,,1.6,1.3,3.0,0.119,,0.3,0.5,0.8,0.8
10,2015-16,32.0,ORL,NBA,PF,44.0,754.0,11.8,0.586,0.651,0.113,3.3,17.6,10.4,8.4,1.4,2.2,13.3,13.2,,0.8,0.8,1.5,0.097,,-0.2,0.9,0.7,0.5
11,2015-16,32.0,CLE,NBA,C,26.0,446.0,14.9,0.586,0.708,0.087,3.1,20.4,11.8,9.1,0.9,1.5,7.2,18.3,,0.9,0.6,1.5,0.157,,1.3,-0.2,1.0,0.3
12,2016-17,33.0,CLE,NBA,C,74.0,1398.0,15.6,0.612,0.644,0.142,3.0,19.3,11.4,4.9,1.2,2.1,8.8,19.3,,2.3,1.4,3.7,0.125,,1.4,-0.4,1.0,1.1
13,2017-18,34.0,TOT,NBA,C,53.0,695.0,13.1,0.599,0.542,0.09,1.9,19.4,10.8,7.9,1.3,1.6,8.7,15.2,,0.9,0.6,1.5,0.101,,-0.5,0.0,-0.5,0.3
14,2017-18,34.0,CLE,NBA,C,44.0,545.0,13.9,0.604,0.533,0.089,2.1,20.3,11.3,7.5,1.5,1.9,8.8,15.6,,0.7,0.5,1.2,0.104,,-0.4,0.1,-0.3,0.3
15,2017-18,34.0,LAL,NBA,C,9.0,150.0,10.2,0.581,0.581,0.093,1.4,16.2,8.9,9.5,0.3,0.5,8.2,13.8,,0.2,0.1,0.3,0.091,,-1.0,-0.5,-1.5,0.0
16,2018-19,35.0,CLE,NBA,C,36.0,341.0,8.9,0.524,0.675,0.12,1.2,16.4,8.5,8.6,0.9,1.3,9.5,17.5,,0.1,0.0,0.1,0.016,,-1.7,-1.8,-3.5,-0.1
17,Career,,,NBA,,890.0,19772.0,13.3,0.547,0.407,0.16,4.5,18.6,11.6,6.8,1.2,2.1,9.9,18.0,,20.7,18.2,38.9,0.094,,-0.4,0.0,-0.4,8.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,4 seasons,,PHO,NBA,,304.0,8712.0,13.9,0.558,0.522,0.139,3.6,18.7,11.3,6.8,1.2,2.4,8.8,17.4,,11.6,8.5,20.1,0.111,,0.5,0.4,1.0,6.5
20,4 seasons,,CLE,NBA,,180.0,2730.0,14.3,0.595,0.639,0.121,2.6,19.3,11.1,6.6,1.2,1.9,8.6,18.2,,3.9,2.5,6.4,0.113,,0.6,-0.5,0.2,1.5
21,2 seasons,,POR,NBA,,141.0,2088.0,13.1,0.506,0.06,0.201,8.5,19.8,14.1,6.7,1.2,1.6,9.7,19.6,,1.6,2.4,4.0,0.093,,-2.6,-0.1,-2.7,-0.3
