,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,VIR,ABA,SG,84.0,3185.0,18.8,0.514,0.033,0.314,,,6.3,21.1,,,12.6,28.1,,4.4,2.8,7.2,0.109,,,,,
1,1971-72,23.0,TOT,TOT,"PG,SG",79.0,3238.0,20.8,0.507,0.048,0.293,5.0,5.7,5.4,18.1,,,12.1,33.1,,4.0,3.4,7.4,0.11,,,,,
2,1971-72,23.0,VIR,ABA,SG,73.0,3061.0,21.1,0.509,0.05,0.298,5.0,5.7,5.3,17.8,,,12.1,33.1,,4.1,3.2,7.2,0.114,,,,,
3,1971-72,23.0,PHO,NBA,PG,6.0,177.0,16.4,0.462,,0.186,,,6.2,23.2,,,,,,0.0,0.2,0.2,0.054,,,,,
4,1972-73,24.0,PHO,NBA,PG,81.0,3062.0,19.0,0.499,,0.307,,,5.4,24.8,,,,,,4.7,1.8,6.5,0.101,,,,,
5,1973-74,25.0,PHO,NBA,PG,52.0,2003.0,18.8,0.505,,0.269,3.3,7.9,5.6,21.4,2.2,0.6,,,,2.9,0.9,3.9,0.093,,1.8,-1.0,0.8,1.4
6,1974-75,26.0,PHO,NBA,PG,69.0,2592.0,17.7,0.48,,0.22,2.8,8.1,5.4,20.6,2.0,0.5,,,,2.7,1.9,4.7,0.086,,0.7,-0.8,0.0,1.3
7,1975-76,27.0,BOS,NBA,SG,82.0,2913.0,14.5,0.495,,0.256,3.6,8.5,6.0,16.9,1.6,0.4,,,,3.3,3.1,6.4,0.106,,-0.6,0.3,-0.3,1.3
8,1976-77,28.0,BOS,NBA,SG,43.0,1581.0,14.1,0.482,,0.236,3.3,8.6,5.9,18.6,1.7,0.4,,,,0.8,1.7,2.5,0.075,,-0.7,0.3,-0.4,0.6
9,1977-78,29.0,TOT,NBA,SG,79.0,2473.0,12.3,0.48,,0.262,2.6,7.5,5.1,20.6,2.0,0.3,17.7,21.2,,0.4,2.0,2.4,0.046,,-1.6,-0.3,-1.9,0.1
10,1977-78,29.0,BOS,NBA,SG,31.0,1080.0,12.3,0.469,,0.243,2.3,7.1,4.8,19.3,2.1,0.3,16.4,23.0,,-0.1,1.0,0.8,0.037,,-1.8,-0.3,-2.0,0.0
11,1977-78,29.0,LAL,NBA,SG,48.0,1393.0,12.3,0.49,,0.279,2.9,7.8,5.4,21.6,1.9,0.4,18.9,19.8,,0.5,1.0,1.6,0.053,,-1.4,-0.4,-1.8,0.1
12,1978-79,30.0,DEN,NBA,PG,79.0,2617.0,9.8,0.499,,0.252,2.2,6.2,4.2,22.0,1.4,0.6,21.2,17.7,,0.0,1.9,1.9,0.035,,-2.3,-0.8,-3.1,-0.7
13,1979-80,31.0,DEN,NBA,SG,69.0,1860.0,7.4,0.432,0.016,0.172,2.8,6.6,4.6,18.6,1.2,0.7,18.1,19.0,,-2.0,0.6,-1.4,-0.037,,-4.2,-1.7,-6.0,-1.9
14,Career,,,TOT,,717.0,25524.0,15.8,0.495,0.014,0.269,3.2,7.3,5.4,20.4,1.7,0.5,14.9,24.6,,21.3,20.1,41.4,0.078,,-0.9,-0.5,-1.5,2.1
15,,,,NBA,,560.0,19278.0,14.5,0.487,0.001,0.253,2.9,7.6,5.3,20.7,1.7,0.5,19.0,19.3,,12.8,14.1,26.9,0.067,,-0.9,-0.5,-1.5,2.1
16,,,,ABA,,157.0,6246.0,19.9,0.511,0.042,0.306,5.0,5.7,5.8,19.4,,,12.3,30.6,,8.5,6.0,14.5,0.111,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,4 seasons,,PHO,NBA,,208.0,7834.0,18.5,0.493,,0.265,3.0,8.0,5.5,22.5,2.1,0.5,,,,10.4,4.8,15.2,0.093,,1.2,-0.9,0.3,2.7
19,2 seasons,,VIR,ABA,,157.0,6246.0,19.9,0.511,0.042,0.306,5.0,5.7,5.8,19.4,,,12.3,30.6,,8.5,6.0,14.5,0.111,,,,,
20,3 seasons,,BOS,NBA,,156.0,5574.0,14.0,0.487,,0.248,3.2,8.3,5.8,17.9,1.7,0.4,16.4,23.0,,4.0,5.7,9.7,0.084,,-0.8,0.2,-0.7,1.9
21,2 seasons,,DEN,NBA,,148.0,4477.0,8.8,0.47,0.007,0.216,2.4,6.3,4.4,20.6,1.3,0.6,19.8,18.3,,-2.1,2.5,0.5,0.005,,-3.1,-1.2,-4.3,-2.6
22,1 season,,LAL,NBA,,48.0,1393.0,12.3,0.49,,0.279,2.9,7.8,5.4,21.6,1.9,0.4,18.9,19.8,,0.5,1.0,1.6,0.053,,-1.4,-0.4,-1.8,0.1
