,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24
0,1967-68,24.0,PTP,ABA,PG,78.0,3042.0,12.2,0.461,0.113,0.273,,,5.2,8.8,,,13.3,24.9,,1.6,2.3,3.9,0.061,
1,1968-69,25.0,MNP,ABA,PG,66.0,2282.0,11.1,0.434,0.163,0.22,,,4.8,10.7,,,12.5,25.3,,-2.1,2.6,0.6,0.012,
2,1969-70,26.0,PTP,ABA,SG,26.0,925.0,11.0,0.424,0.14,0.251,,,3.6,14.4,,,11.8,26.3,,-1.3,0.6,-0.7,-0.039,
3,1970-71,27.0,TOT,ABA,"PG,SG",88.0,2242.0,11.6,0.461,0.112,0.239,,,4.1,15.6,,,14.4,25.4,,-0.8,2.1,1.3,0.027,
4,1970-71,27.0,PTC,ABA,PG,32.0,973.0,9.1,0.467,0.081,0.236,,,3.6,17.0,,,20.1,22.8,,-0.1,0.7,0.6,0.028,
5,1970-71,27.0,MMP,ABA,SG,56.0,1269.0,13.5,0.457,0.13,0.241,,,4.5,14.5,,,10.6,27.4,,-0.7,1.4,0.7,0.027,
6,1971-72,28.0,MMP,ABA,PG,82.0,2583.0,10.0,0.452,0.138,0.314,2.7,5.1,3.8,14.5,,,14.0,23.6,,-2.0,3.1,1.1,0.02,
7,1972-73,29.0,TOT,ABA,PG,32.0,370.0,4.9,0.421,0.174,0.496,1.1,3.7,2.4,20.2,,,19.5,18.3,,-0.5,0.2,-0.3,-0.041,
8,1972-73,29.0,MMT,ABA,PG,10.0,219.0,5.2,0.416,0.187,0.347,0.9,4.5,2.7,24.7,,,21.7,19.5,,-0.3,0.1,-0.2,-0.054,
9,1972-73,29.0,UTS,ABA,PG,22.0,151.0,4.4,0.429,0.15,0.775,1.4,2.5,1.9,13.7,,,15.7,16.5,,-0.2,0.1,-0.1,-0.021,
10,Career,,,ABA,,372.0,11444.0,11.0,0.449,0.133,0.266,2.5,5.0,4.4,12.6,,,13.5,24.7,,-5.0,10.8,5.7,0.024,
11,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,"PTP,MNP,PTC",ABA,,202.0,7222.0,11.3,0.448,0.13,0.248,,,4.7,11.2,,,13.7,24.9,,-1.9,6.1,4.2,0.028,
13,3 seasons,,"MMP,MMT",ABA,,148.0,4071.0,10.8,0.453,0.137,0.289,2.5,5.1,4.0,15.0,,,13.2,24.6,,-3.0,4.6,1.6,0.019,
14,1 season,,UTS,ABA,,22.0,151.0,4.4,0.429,0.15,0.775,1.4,2.5,1.9,13.7,,,15.7,16.5,,-0.2,0.1,-0.1,-0.021,
