,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1995-96,23.0,DAL,NBA,C,64.0,869.0,10.9,0.456,0.105,0.251,7.3,19.9,13.0,5.0,1.4,2.6,10.2,14.6,,0.1,0.8,0.9,0.05,,-3.8,-0.2,-3.9,-0.4
1,1996-97,24.0,MIN,NBA,PF,76.0,961.0,12.7,0.535,0.005,0.376,10.3,13.7,12.0,5.6,2.3,3.8,12.0,12.7,,1.0,1.2,2.2,0.112,,-2.5,1.4,-1.1,0.2
2,1997-98,25.0,MIN,NBA,C,79.0,1703.0,13.6,0.533,0.002,0.376,9.4,19.6,14.6,4.7,1.1,3.6,11.2,15.4,,2.0,1.8,3.8,0.108,,-2.1,-0.2,-2.3,-0.1
3,1998-99,26.0,VAN,NBA,C,48.0,1118.0,9.5,0.445,0.004,0.2,7.8,18.0,12.8,5.7,1.3,1.9,14.1,14.3,,-0.2,0.5,0.2,0.01,,-3.5,-1.0,-4.5,-0.7
4,1999-00,27.0,VAN,NBA,C,56.0,808.0,11.9,0.521,0.007,0.255,8.1,19.1,13.6,6.8,1.9,4.0,14.8,10.7,,0.6,0.8,1.4,0.086,,-2.1,1.4,-0.6,0.3
5,2000-01,28.0,TOT,NBA,C,65.0,1054.0,12.6,0.51,0.022,0.161,7.9,16.9,12.5,7.3,1.3,2.4,12.3,14.6,,0.9,1.0,1.9,0.086,,-1.7,0.3,-1.4,0.2
6,2000-01,28.0,WAS,NBA,C,13.0,178.0,13.0,0.528,0.0,0.447,8.4,18.1,13.1,6.4,1.7,4.4,18.0,13.9,,0.1,0.2,0.3,0.07,,-1.5,1.2,-0.4,0.1
7,2000-01,28.0,LAC,NBA,C,52.0,876.0,12.5,0.506,0.025,0.114,7.8,16.6,12.3,7.5,1.2,2.0,11.1,14.7,,0.8,0.8,1.6,0.089,,-1.7,0.1,-1.7,0.1
8,2001-02,29.0,SAS,NBA,C,42.0,234.0,7.6,0.364,0.0,0.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-5.5,0.2,-5.4,-0.2
9,2002-03,30.0,LAC,NBA,PF,30.0,648.0,13.3,0.523,0.012,0.233,8.1,14.9,11.5,5.5,1.3,2.2,9.1,13.8,,0.8,0.4,1.2,0.09,,-0.4,-0.8,-1.2,0.1
10,2003-04,31.0,GSW,NBA,C,12.0,64.0,7.0,0.475,0.0,0.6,7.0,10.6,8.8,2.4,0.0,3.4,13.7,10.5,,0.0,0.0,0.1,0.043,,-2.7,0.4,-2.3,0.0
11,Career,,,NBA,,472.0,7459.0,12.0,0.498,0.021,0.268,8.6,17.6,13.1,5.7,1.5,2.9,12.0,14.1,,4.9,6.9,11.8,0.076,,-2.5,0.1,-2.4,-0.7
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,2 seasons,,MIN,NBA,,155.0,2664.0,13.3,0.534,0.003,0.376,9.7,17.5,13.6,5.0,1.5,3.6,11.4,14.4,,3.0,3.0,6.1,0.11,,-2.2,0.4,-1.9,0.1
14,2 seasons,,VAN,NBA,,104.0,1926.0,10.5,0.471,0.005,0.219,7.9,18.5,13.1,6.1,1.6,2.8,14.3,12.8,,0.4,1.3,1.7,0.042,,-2.9,0.0,-2.9,-0.4
15,2 seasons,,LAC,NBA,,82.0,1524.0,12.9,0.513,0.02,0.163,7.9,15.9,12.0,6.7,1.2,2.1,10.3,14.3,,1.6,1.2,2.8,0.089,,-1.2,-0.3,-1.5,0.2
16,1 season,,DAL,NBA,,64.0,869.0,10.9,0.456,0.105,0.251,7.3,19.9,13.0,5.0,1.4,2.6,10.2,14.6,,0.1,0.8,0.9,0.05,,-3.8,-0.2,-3.9,-0.4
17,1 season,,SAS,NBA,,42.0,234.0,7.6,0.364,0.0,0.096,12.2,16.2,14.3,7.1,1.6,2.4,13.9,20.0,,-0.4,0.4,0.0,-0.005,,-5.5,0.2,-5.4,-0.2
18,1 season,,WAS,NBA,,13.0,178.0,13.0,0.528,0.0,0.447,8.4,18.1,13.1,6.4,1.7,4.4,18.0,13.9,,0.1,0.2,0.3,0.07,,-1.5,1.2,-0.4,0.1
19,1 season,,GSW,NBA,,12.0,64.0,7.0,0.475,0.0,0.6,7.0,10.6,8.8,2.4,0.0,3.4,13.7,10.5,,0.0,0.0,0.1,0.043,,-2.7,0.4,-2.3,0.0
