,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2000-01,21.0,CLE,NBA,C,59.0,1166.0,12.6,0.5,0.003,0.322,10.6,17.3,13.9,2.4,0.9,3.3,15.2,20.4,,0.3,1.0,1.3,0.053,,-2.9,-1.3,-4.2,-0.7
1,2001-02,22.0,CLE,NBA,C,74.0,1659.0,10.0,0.47,0.013,0.34,9.5,18.2,13.9,2.4,0.6,3.9,13.8,19.4,,-0.5,1.1,0.7,0.019,,-5.0,-1.8,-6.9,-2.0
2,2002-03,23.0,CLE,NBA,C,52.0,809.0,13.2,0.462,0.01,0.366,12.6,19.5,16.0,6.0,1.1,3.3,12.6,20.5,,0.2,0.7,0.9,0.053,,-3.4,-1.6,-5.0,-0.6
3,2003-04,24.0,TOT,NBA,"C,PF",76.0,1330.0,14.6,0.531,0.0,0.436,13.5,21.6,17.6,2.7,1.4,3.6,16.5,18.5,,1.1,1.8,2.9,0.104,,-2.4,-0.6,-3.0,-0.3
4,2003-04,24.0,CLE,NBA,PF,22.0,391.0,16.6,0.513,0.0,0.378,13.3,26.3,19.8,4.4,1.2,4.0,14.4,19.8,,0.4,0.6,0.9,0.117,,-1.5,-0.2,-1.8,0.0
5,2003-04,24.0,BOS,NBA,C,54.0,939.0,13.8,0.539,0.0,0.465,13.6,19.6,16.6,2.0,1.5,3.4,17.5,18.0,,0.8,1.2,1.9,0.099,,-2.7,-0.8,-3.5,-0.4
6,2004-05,25.0,LAL,NBA,C,75.0,1870.0,15.7,0.552,0.004,0.467,12.0,18.3,15.1,4.6,0.4,4.2,14.2,18.8,,2.5,1.0,3.6,0.092,,-1.3,-1.1,-2.4,-0.2
7,2005-06,26.0,LAL,NBA,C,59.0,1541.0,15.3,0.552,0.0,0.438,10.5,18.0,14.2,6.6,0.5,3.6,13.2,18.7,,2.2,1.7,4.0,0.124,,-1.4,-0.5,-1.9,0.0
8,2007-08,28.0,LAL,NBA,C,23.0,278.0,7.7,0.384,0.0,0.284,11.7,18.8,15.4,6.6,0.7,3.6,13.7,19.6,,-0.4,0.4,0.0,-0.004,,-6.2,-1.8,-8.0,-0.4
9,2008-09,29.0,LAL,NBA,C,18.0,105.0,10.0,0.418,0.0,0.175,16.4,20.2,18.3,13.7,0.5,4.4,18.8,22.2,,-0.1,0.2,0.1,0.026,,-6.4,0.2,-6.2,-0.1
10,Career,,,NBA,,436.0,8758.0,13.4,0.509,0.005,0.391,11.4,18.7,15.1,4.2,0.8,3.7,14.3,19.3,,5.5,7.9,13.3,0.073,,-2.8,-1.1,-3.9,-4.3
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,4 seasons,,CLE,NBA,,207.0,4025.0,12.1,0.481,0.008,0.344,10.8,19.0,14.9,3.3,0.8,3.6,14.0,20.0,,0.4,3.4,3.8,0.045,,-3.7,-1.5,-5.2,-3.3
13,4 seasons,,LAL,NBA,,175.0,3794.0,14.8,0.535,0.002,0.43,11.5,18.2,14.9,5.8,0.5,3.9,13.9,18.9,,4.3,3.3,7.6,0.096,,-1.8,-0.9,-2.7,-0.7
14,1 season,,BOS,NBA,,54.0,939.0,13.8,0.539,0.0,0.465,13.6,19.6,16.6,2.0,1.5,3.4,17.5,18.0,,0.8,1.2,1.9,0.099,,-2.7,-0.8,-3.5,-0.4
