,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1993-94,22.0,SAS,NBA,PG,40.0,339.0,3.5,0.406,0.366,0.183,1.7,7.6,4.8,21.4,1.7,0.2,29.5,16.6,,-0.7,0.3,-0.3,-0.049,,-7.1,-1.0,-8.2,-0.5
1,1994-95,23.0,SAS,NBA,PG,25.0,179.0,3.0,0.405,0.404,0.234,2.7,5.4,4.1,21.2,1.1,0.0,25.8,17.2,,-0.3,0.1,-0.2,-0.044,,-7.0,-1.4,-8.4,-0.3
2,1995-96,24.0,WSB,NBA,PG,21.0,335.0,17.1,0.634,0.444,0.444,0.7,10.7,5.8,22.6,2.8,0.2,16.3,18.9,,0.9,0.4,1.3,0.181,,1.1,1.3,2.4,0.4
3,1996-97,25.0,WSB,NBA,PG,82.0,1117.0,15.2,0.566,0.494,0.342,1.4,9.4,5.4,23.8,2.3,0.3,15.2,18.0,,2.0,1.2,3.2,0.137,,0.7,0.7,1.5,1.0
4,1997-98,26.0,WAS,NBA,PG,82.0,1073.0,14.8,0.512,0.476,0.363,1.6,10.8,6.1,27.7,1.7,0.4,13.6,19.7,,1.8,0.9,2.7,0.12,,0.5,-0.2,0.3,0.6
5,1998-99,27.0,WAS,NBA,PG,39.0,441.0,15.8,0.551,0.609,0.199,2.1,10.6,6.2,26.6,2.2,0.3,17.5,21.5,,0.7,0.3,1.0,0.108,,1.7,-0.2,1.5,0.4
6,1999-00,28.0,WAS,NBA,PG,82.0,1627.0,15.6,0.554,0.489,0.253,1.4,8.2,4.7,30.7,1.7,0.2,15.6,18.7,,3.3,0.6,4.0,0.117,,2.0,-0.9,1.1,1.2
7,2000-01,29.0,WAS,NBA,PG,59.0,1532.0,13.2,0.537,0.528,0.24,0.9,7.3,4.0,26.9,1.9,0.1,16.5,18.1,,2.1,0.2,2.3,0.072,,0.4,-1.5,-1.1,0.4
8,2001-02,30.0,WAS,NBA,PG,82.0,2171.0,15.6,0.568,0.492,0.267,0.6,7.6,4.1,23.4,1.8,0.2,10.4,17.4,,5.4,1.1,6.5,0.143,,1.8,-0.3,1.5,2.0
9,2002-03,31.0,TOT,NBA,PG,51.0,1052.0,9.2,0.468,0.47,0.198,0.3,7.4,3.7,24.2,1.4,0.1,15.8,19.1,,-0.1,0.7,0.6,0.028,,-2.6,-1.5,-4.1,-0.6
10,2002-03,31.0,DEN,NBA,PG,29.0,762.0,10.2,0.484,0.49,0.218,0.1,7.2,3.5,29.2,1.2,0.1,16.1,19.9,,0.2,0.5,0.8,0.049,,-1.9,-1.6,-3.5,-0.3
11,2002-03,31.0,ORL,NBA,PG,22.0,290.0,6.7,0.418,0.409,0.136,0.8,7.7,4.1,11.3,2.1,0.3,14.6,16.9,,-0.3,0.2,-0.2,-0.026,,-4.6,-1.1,-5.7,-0.3
12,2003-04,32.0,WAS,NBA,PG,16.0,186.0,10.1,0.498,0.4,0.111,1.8,7.4,4.5,12.5,1.7,0.8,11.3,12.6,,0.2,0.1,0.2,0.058,,-0.5,0.1,-0.4,0.1
13,Career,,,NBA,,579.0,10052.0,13.8,0.537,0.491,0.269,1.1,8.4,4.7,25.5,1.8,0.2,15.1,18.3,,15.3,5.9,21.2,0.101,,0.4,-0.6,-0.2,4.6
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,8 seasons,,"WSB,WAS",NBA,,463.0,8482.0,15.0,0.552,0.5,0.282,1.1,8.6,4.8,25.9,1.9,0.2,14.3,18.3,,16.4,4.7,21.1,0.119,,1.2,-0.4,0.8,6.0
16,2 seasons,,SAS,NBA,,65.0,518.0,3.4,0.406,0.38,0.202,2.1,6.8,4.6,21.4,1.5,0.1,28.1,16.8,,-1.0,0.5,-0.5,-0.047,,-7.1,-1.2,-8.2,-0.8
17,1 season,,DEN,NBA,,29.0,762.0,10.2,0.484,0.49,0.218,0.1,7.2,3.5,29.2,1.2,0.1,16.1,19.9,,0.2,0.5,0.8,0.049,,-1.9,-1.6,-3.5,-0.3
18,1 season,,ORL,NBA,,22.0,290.0,6.7,0.418,0.409,0.136,0.8,7.7,4.1,11.3,2.1,0.3,14.6,16.9,,-0.3,0.2,-0.2,-0.026,,-4.6,-1.1,-5.7,-0.3
