,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1986-87,22.0,IND,NBA,SF,82.0,2956.0,15.6,0.518,0.102,0.219,6.1,19.2,12.5,15.3,1.5,0.3,12.4,24.0,,1.5,3.9,5.4,0.088,,0.4,-0.1,0.3,1.7
1,1987-88,23.0,IND,NBA,SF,79.0,2807.0,13.9,0.501,0.141,0.157,6.7,14.2,10.5,16.5,1.3,0.2,13.6,23.3,,0.6,2.8,3.3,0.057,,0.3,-0.7,-0.4,1.1
2,1988-89,24.0,IND,NBA,SF,80.0,3012.0,15.2,0.544,0.141,0.211,5.6,13.0,9.5,15.6,1.3,0.3,16.2,26.3,,1.4,1.7,3.0,0.048,,0.4,-1.5,-1.1,0.7
3,1989-90,25.0,IND,NBA,SF,77.0,2714.0,16.6,0.557,0.204,0.217,5.7,13.1,9.6,13.5,1.0,0.4,11.1,24.4,,4.1,1.3,5.4,0.096,,2.0,-2.0,-0.1,1.3
4,1990-91,26.0,IND,NBA,SF,80.0,2566.0,16.1,0.553,0.165,0.186,5.6,12.8,9.3,14.7,1.1,0.4,12.1,24.8,,3.1,0.8,3.9,0.073,,1.7,-2.4,-0.7,0.8
5,1991-92,27.0,IND,NBA,SF,81.0,2923.0,14.5,0.546,0.276,0.153,4.6,11.2,8.1,19.6,1.1,0.4,13.6,22.8,,3.0,1.6,4.6,0.075,,1.3,-1.7,-0.3,1.2
6,1992-93,28.0,MIN,NBA,SF,78.0,2985.0,12.2,0.495,0.266,0.135,4.0,13.4,8.7,19.6,1.1,0.6,14.2,22.9,,-1.1,1.1,0.0,0.0,,-0.1,-2.1,-2.2,-0.2
7,1993-94,29.0,MIN,NBA,SF,77.0,2029.0,11.7,0.502,0.323,0.128,3.3,11.2,7.3,15.7,1.1,0.4,12.0,21.8,,0.4,0.8,1.2,0.028,,-0.3,-1.8,-2.1,-0.1
8,1994-95,30.0,SAS,NBA,SF,81.0,2033.0,11.5,0.549,0.593,0.136,2.9,11.1,7.2,7.9,1.1,0.4,11.4,19.4,,1.5,2.1,3.6,0.085,,0.1,-0.6,-0.5,0.8
9,1995-96,31.0,SAS,NBA,SF,80.0,2131.0,13.6,0.581,0.657,0.148,4.1,16.9,10.8,7.2,1.2,0.9,10.8,17.8,,2.4,3.1,5.5,0.125,,1.3,0.2,1.5,1.9
10,1997-98,33.0,SAS,NBA,PF,61.0,1455.0,8.3,0.494,0.693,0.093,1.4,13.9,8.1,9.3,1.1,0.5,13.9,15.5,,-0.1,2.1,2.1,0.068,,-2.1,0.5,-1.6,0.1
11,1998-99,34.0,CHH,NBA,SF,50.0,990.0,9.6,0.5,0.543,0.111,2.1,13.1,7.9,10.5,1.1,0.6,11.9,16.5,,0.2,0.7,0.9,0.043,,-1.0,-0.9,-1.9,0.0
12,1999-00,35.0,SEA,NBA,SF,37.0,340.0,5.2,0.403,0.772,0.065,1.9,15.3,8.5,9.6,0.8,0.4,8.7,18.0,,-0.3,0.2,-0.1,-0.007,,-4.3,-1.2,-5.5,-0.3
13,Career,,,NBA,,943.0,28941.0,13.7,0.53,0.277,0.169,4.7,13.7,9.3,14.5,1.2,0.4,13.0,22.4,,16.9,22.1,38.9,0.065,,0.4,-1.2,-0.7,9.2
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6 seasons,,IND,NBA,,479.0,16978.0,15.3,0.536,0.17,0.191,5.7,13.9,9.9,15.9,1.2,0.3,13.3,24.3,,13.6,12.0,25.7,0.073,,1.0,-1.4,-0.4,6.9
16,3 seasons,,SAS,NBA,,222.0,5619.0,11.5,0.55,0.639,0.131,3.0,14.0,8.8,8.0,1.1,0.6,11.7,17.8,,3.9,7.3,11.2,0.096,,0.0,0.0,0.0,2.8
17,2 seasons,,MIN,NBA,,155.0,5014.0,12.0,0.498,0.289,0.132,3.7,12.5,8.2,18.0,1.1,0.5,13.3,22.5,,-0.6,1.8,1.2,0.012,,-0.2,-2.0,-2.2,-0.2
18,1 season,,CHH,NBA,,50.0,990.0,9.6,0.5,0.543,0.111,2.1,13.1,7.9,10.5,1.1,0.6,11.9,16.5,,0.2,0.7,0.9,0.043,,-1.0,-0.9,-1.9,0.0
19,1 season,,SEA,NBA,,37.0,340.0,5.2,0.403,0.772,0.065,1.9,15.3,8.5,9.6,0.8,0.4,8.7,18.0,,-0.3,0.2,-0.1,-0.007,,-4.3,-1.2,-5.5,-0.3
