,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1994-95,22.0,GSW,NBA,C,66.0,1494.0,11.5,0.49,0.018,0.39,14.7,21.4,18.0,4.4,1.1,1.8,16.3,15.4,,0.1,1.2,1.3,0.043,,-3.0,-1.4,-4.3,-0.9
1,1995-96,23.0,GSW,NBA,C,59.0,723.0,10.6,0.578,0.015,0.407,11.2,16.1,13.6,4.6,1.4,3.0,20.1,12.0,,0.4,0.6,1.1,0.072,,-3.3,0.3,-2.9,-0.2
2,1996-97,24.0,TOT,NBA,C,42.0,737.0,14.5,0.471,0.011,0.351,15.7,21.6,18.6,6.8,1.7,4.8,12.6,14.0,,0.6,1.0,1.6,0.102,,-1.9,0.2,-1.7,0.1
3,1996-97,24.0,GSW,NBA,C,1.0,5.0,-7.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.9,,0.0,0.0,0.0,-0.23,,-8.3,-5.2,-13.5,0.0
4,1996-97,24.0,TOR,NBA,C,41.0,732.0,14.7,0.473,0.012,0.353,15.8,21.8,18.7,6.8,1.7,4.8,12.7,14.0,,0.6,1.0,1.6,0.105,,-1.8,0.2,-1.6,0.1
5,1997-98,25.0,MIN,NBA,C,6.0,30.0,-1.7,0.466,0.0,0.167,11.5,11.2,11.4,0.0,0.0,0.0,38.3,15.5,,-0.1,0.0,-0.1,-0.14,,-11.7,-3.9,-15.5,-0.1
6,Career,,,NBA,,173.0,2984.0,11.9,0.502,0.016,0.382,14.1,20.0,17.0,5.0,1.3,2.8,16.4,14.2,,1.1,2.8,3.9,0.063,,-2.9,-0.6,-3.5,-1.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,3 seasons,,GSW,NBA,,126.0,2222.0,11.2,0.512,0.017,0.394,13.5,19.6,16.5,4.5,1.2,2.2,17.3,14.3,,0.5,1.8,2.4,0.051,,-3.1,-0.8,-3.9,-1.0
9,1 season,,TOR,NBA,,41.0,732.0,14.7,0.473,0.012,0.353,15.8,21.8,18.7,6.8,1.7,4.8,12.7,14.0,,0.6,1.0,1.6,0.105,,-1.8,0.2,-1.6,0.1
10,1 season,,MIN,NBA,,6.0,30.0,-1.7,0.466,0.0,0.167,11.5,11.2,11.4,0.0,0.0,0.0,38.3,15.5,,-0.1,0.0,-0.1,-0.14,,-11.7,-3.9,-15.5,-0.1
