,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1953-54,24.0,MNL,NBA,C,72.0,1255.0,20.9,0.465,0.293,,,,,,2.5,2.7,5.2,0.2,
1,1954-55,25.0,MNL,NBA,C,70.0,2361.0,21.5,0.479,0.334,,,,,,4.9,3.6,8.5,0.173,
2,1955-56,26.0,MNL,NBA,C,71.0,2518.0,23.5,0.484,0.342,,,,,,5.6,2.5,8.1,0.155,
3,1956-57,27.0,MNL,NBA,C,69.0,2492.0,22.1,0.471,0.296,,,,,,5.0,3.2,8.2,0.157,
4,1957-58,28.0,CIN,NBA,C,71.0,2589.0,22.2,0.483,0.263,,,,,,6.6,3.4,10.1,0.187,
5,1958-59,29.0,STL,NBA,C,70.0,1599.0,22.3,0.507,0.282,,,,,,4.7,1.8,6.5,0.194,
6,1959-60,30.0,STL,NBA,C,68.0,1953.0,23.4,0.527,0.328,,,,,,7.1,1.9,9.0,0.221,
7,1960-61,31.0,STL,NBA,C,67.0,2111.0,20.5,0.502,0.249,,,,,,5.1,3.4,8.5,0.193,
8,1961-62,32.0,STL,NBA,C,40.0,1192.0,19.7,0.519,0.258,,,,,,3.1,0.5,3.6,0.145,
9,1962-63,33.0,BOS,NBA,C,61.0,568.0,16.2,0.471,0.261,,,,,,0.3,1.3,1.6,0.139,
10,1963-64,34.0,BOS,NBA,C,45.0,437.0,16.8,0.456,0.187,,,,,,0.1,1.2,1.3,0.145,
11,Career,,,NBA,,704.0,19075.0,21.7,0.491,0.291,,,,,,45.2,25.4,70.6,0.178,
12,,,,,,,,,,,,,,,,,,,,
13,4 seasons,,MNL,NBA,,282.0,8626.0,22.2,0.476,0.32,,,,,,18.0,12.0,30.0,0.167,
14,4 seasons,,STL,NBA,,245.0,6855.0,21.6,0.513,0.28,,,,,,20.1,7.5,27.6,0.193,
15,2 seasons,,BOS,NBA,,106.0,1005.0,16.5,0.464,0.228,,,,,,0.5,2.5,3.0,0.142,
16,1 season,,CIN,NBA,,71.0,2589.0,22.2,0.483,0.263,,,,,,6.6,3.4,10.1,0.187,
