,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1972-73,22.0,PHO,NBA,SF,82.0,2025.0,7.5,0.501,,0.213,,,8.1,4.6,,,,,,1.1,0.9,2.1,0.049,,,,,
1,1973-74,23.0,PHO,NBA,SF,77.0,2207.0,9.8,0.497,,0.222,5.3,13.3,9.3,7.9,1.4,0.7,,,,1.1,1.1,2.2,0.048,,-1.6,-0.4,-2.0,0.0
2,1974-75,24.0,TOT,NBA,SF,70.0,1378.0,9.1,0.458,,0.242,7.7,11.1,9.4,7.5,1.8,0.9,,,,0.0,0.9,1.0,0.033,,-2.8,0.0,-2.8,-0.2
3,1974-75,24.0,PHO,NBA,SF,13.0,108.0,13.7,0.492,,0.469,13.1,18.4,15.7,5.0,2.6,1.0,,,,0.1,0.1,0.2,0.094,,-3.0,0.2,-2.8,0.0
4,1974-75,24.0,LAL,NBA,SF,57.0,1270.0,8.7,0.453,,0.217,7.2,10.5,8.9,7.7,1.7,0.9,,,,0.0,0.8,0.7,0.028,,-2.8,0.0,-2.8,-0.2
5,1975-76,25.0,LAL,NBA,SF,76.0,1816.0,9.0,0.506,,0.226,6.4,11.4,9.0,5.8,1.5,1.0,,,,1.0,1.5,2.5,0.066,,-1.9,0.3,-1.6,0.2
6,1976-77,26.0,POR,NBA,SF,70.0,743.0,10.0,0.535,,0.464,5.6,14.2,10.0,5.9,1.4,0.6,,,,0.5,0.8,1.3,0.083,,-2.4,-0.1,-2.5,-0.1
7,1977-78,27.0,POR,NBA,SF,79.0,1370.0,10.8,0.522,,0.208,5.7,10.6,8.2,8.2,1.4,0.6,13.8,13.3,,1.5,1.6,3.1,0.109,,-0.6,0.4,-0.2,0.6
8,1978-79,28.0,IND,NBA,SF,81.0,1332.0,9.9,0.507,,0.257,4.9,13.4,9.2,9.9,1.3,0.7,13.1,12.6,,1.1,1.2,2.3,0.082,,-2.0,0.5,-1.5,0.2
9,1979-80,29.0,IND,NBA,SF,7.0,30.0,10.6,0.405,0.0,0.222,23.5,10.7,17.3,0.0,3.1,0.0,9.2,14.1,,0.0,0.0,0.0,0.067,,-4.0,-0.4,-4.4,0.0
10,Career,,,NBA,,542.0,10901.0,9.3,0.501,0.0,0.243,6.0,12.2,9.0,7.0,1.5,0.8,13.4,13.0,,6.3,8.1,14.4,0.064,,-1.9,0.1,-1.7,0.6
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,3 seasons,,PHO,NBA,,172.0,4340.0,8.8,0.498,,0.226,5.7,13.5,8.9,6.3,1.5,0.7,,,,2.3,2.2,4.5,0.049,,-1.7,-0.3,-2.1,0.0
13,2 seasons,,POR,NBA,,149.0,2113.0,10.5,0.527,,0.294,5.7,11.8,8.8,7.4,1.4,0.6,13.8,13.3,,2.0,2.4,4.4,0.1,,-1.2,0.2,-1.0,0.5
14,2 seasons,,LAL,NBA,,133.0,3086.0,8.9,0.483,,0.222,6.7,11.1,9.0,6.6,1.6,0.9,,,,0.9,2.3,3.2,0.051,,-2.3,0.2,-2.1,-0.1
15,2 seasons,,IND,NBA,,88.0,1362.0,9.9,0.504,0.0,0.256,5.4,13.4,9.4,9.6,1.3,0.7,13.0,12.6,,1.1,1.2,2.3,0.082,,-2.1,0.5,-1.6,0.1
