,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1971-72,22.0,INA,ABA,PF,73.0,1386.0,13.9,0.528,0.012,0.432,10.4,20.7,15.8,4.8,,,14.7,15.9,,1.4,1.8,3.2,0.11,,,,,
1,1972-73,23.0,INA,ABA,PF,84.0,2541.0,11.9,0.475,0.012,0.343,8.1,18.1,13.2,6.5,,2.3,15.4,14.8,,-0.5,3.7,3.3,0.062,,,,,
2,1973-74,24.0,INA,ABA,PF,83.0,2319.0,13.3,0.511,0.012,0.29,8.2,19.2,13.8,5.7,1.4,4.0,19.3,15.5,,0.2,4.1,4.4,0.091,,-2.2,1.9,-0.4,1.0
3,1974-75,25.0,INA,ABA,C,81.0,2603.0,15.8,0.555,0.004,0.219,10.4,17.5,13.8,6.5,1.3,2.7,17.1,17.6,,3.4,2.8,6.2,0.114,,-0.5,-0.1,-0.6,0.9
4,1975-76,26.0,INA,ABA,PF,74.0,2166.0,14.9,0.509,0.005,0.406,9.9,18.7,14.0,9.1,1.6,1.9,16.7,20.1,,1.4,2.8,4.2,0.094,,-1.2,0.1,-1.1,0.5
5,1976-77,27.0,IND,NBA,C,82.0,2302.0,14.1,0.479,,0.301,9.4,20.1,14.6,9.8,1.8,2.4,,,,1.0,2.8,3.8,0.079,,-1.6,0.3,-1.3,0.4
6,1977-78,28.0,TOT,NBA,PF,78.0,1966.0,13.6,0.507,,0.403,9.9,19.4,14.6,7.1,1.4,2.1,17.3,19.2,,0.8,2.4,3.2,0.079,,-1.5,-0.1,-1.6,0.2
7,1977-78,28.0,NJN,NBA,PF,45.0,1220.0,14.6,0.499,,0.409,9.6,17.7,13.4,5.8,1.7,1.9,15.6,21.2,,0.4,1.5,2.0,0.077,,-1.2,-0.2,-1.4,0.2
8,1977-78,28.0,DEN,NBA,PF,33.0,746.0,12.1,0.525,,0.388,10.4,22.0,16.4,9.4,0.8,2.5,21.2,15.9,,0.4,0.9,1.3,0.081,,-2.2,0.1,-2.0,0.0
9,1978-79,29.0,KCK,NBA,PF,78.0,1618.0,10.7,0.519,,0.523,9.1,20.2,14.5,6.9,1.4,2.3,20.3,15.7,,0.2,2.4,2.6,0.077,,-2.8,0.9,-1.8,0.1
10,1979-80,30.0,GSW,NBA,PF,49.0,708.0,8.7,0.474,0.0,0.38,8.9,19.5,14.0,8.6,1.4,2.0,22.0,15.6,,-0.5,0.8,0.3,0.018,,-4.5,0.3,-4.2,-0.4
11,Career,,,TOT,,682.0,17609.0,13.4,0.509,0.005,0.348,9.3,19.1,14.2,7.2,1.5,2.5,17.4,16.9,,7.3,23.8,31.1,0.085,,-1.7,0.5,-1.2,2.7
12,,,,ABA,,395.0,11015.0,14.0,0.516,0.008,0.326,9.3,18.6,14.0,6.6,1.4,2.7,16.8,16.8,,5.9,15.3,21.2,0.093,,-1.3,0.6,-0.7,2.4
13,,,,NBA,,287.0,6594.0,12.6,0.496,0.0,0.386,9.4,19.8,14.5,8.2,1.6,2.2,19.0,17.3,,1.4,8.5,9.9,0.072,,-2.2,0.3,-1.8,0.3
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,6 seasons,,"INA,IND",ABA,,477.0,13317.0,14.0,0.509,0.007,0.321,9.3,18.9,14.1,7.2,1.5,2.7,16.8,16.8,,6.9,18.2,25.1,0.09,,-1.4,0.5,-0.8,2.8
16,1 season,,KCK,NBA,,78.0,1618.0,10.7,0.519,,0.523,9.1,20.2,14.5,6.9,1.4,2.3,20.3,15.7,,0.2,2.4,2.6,0.077,,-2.8,0.9,-1.8,0.1
17,1 season,,GSW,NBA,,49.0,708.0,8.7,0.474,0.0,0.38,8.9,19.5,14.0,8.6,1.4,2.0,22.0,15.6,,-0.5,0.8,0.3,0.018,,-4.5,0.3,-4.2,-0.4
18,1 season,,NJN,NBA,,45.0,1220.0,14.6,0.499,,0.409,9.6,17.7,13.4,5.8,1.7,1.9,15.6,21.2,,0.4,1.5,2.0,0.077,,-1.2,-0.2,-1.4,0.2
19,1 season,,DEN,NBA,,33.0,746.0,12.1,0.525,,0.388,10.4,22.0,16.4,9.4,0.8,2.5,21.2,15.9,,0.4,0.9,1.3,0.081,,-2.2,0.1,-2.0,0.0
