,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1983-84,22.0,NYK,NBA,PG,82.0,1324.0,15.9,0.508,0.029,0.508,6.8,8.5,7.7,31.1,4.6,0.7,23.4,26.1,,-0.4,2.7,2.3,0.083,,-0.5,2.3,1.8,1.3
1,1984-85,23.0,NYK,NBA,PG,82.0,2489.0,14.7,0.483,0.017,0.351,5.8,7.2,6.5,23.6,3.2,0.5,15.2,22.4,,0.5,2.3,2.8,0.054,,0.0,0.6,0.6,1.7
2,1985-86,24.0,NYK,NBA,PG,81.0,2023.0,14.0,0.479,0.013,0.368,5.3,7.0,6.2,25.3,3.5,1.1,18.0,22.1,,-0.9,3.0,2.1,0.05,,-0.6,1.9,1.3,1.7
3,1986-87,25.0,DEN,NBA,PG,81.0,2020.0,15.8,0.547,0.005,0.492,7.7,9.4,8.5,18.1,2.7,1.0,17.2,20.7,,2.0,1.8,3.8,0.09,,0.3,0.2,0.4,1.3
4,1987-88,26.0,WSB,NBA,SG,52.0,940.0,10.6,0.46,0.021,0.361,5.1,10.1,7.5,14.7,3.2,0.6,17.0,17.8,,-0.4,1.2,0.8,0.041,,-2.7,2.0,-0.7,0.3
5,1988-89,27.0,WSB,NBA,PG,79.0,2565.0,13.4,0.469,0.013,0.27,5.5,16.5,10.8,25.0,2.9,0.5,19.5,14.8,,0.5,3.3,3.7,0.07,,-1.1,1.9,0.9,1.8
6,1989-90,28.0,WSB,NBA,PG,81.0,2883.0,15.6,0.492,0.03,0.289,6.4,20.4,13.4,28.4,2.3,0.6,18.1,13.6,,2.7,3.6,6.3,0.105,,0.4,1.8,2.3,3.1
7,1990-91,29.0,WSB,NBA,PG,71.0,2305.0,12.4,0.459,0.017,0.288,6.6,17.0,11.8,26.4,1.7,0.8,20.3,13.7,,0.3,2.6,2.9,0.061,,-1.1,1.3,0.2,1.3
8,1991-92,30.0,DET,NBA,SG,74.0,1541.0,10.9,0.453,0.026,0.276,6.3,11.1,8.7,18.9,2.1,0.7,15.6,14.4,,0.3,2.1,2.4,0.075,,-2.2,2.1,-0.1,0.7
9,1992-93,31.0,TOT,NBA,"PG,SG",37.0,511.0,6.4,0.372,0.01,0.271,4.8,8.3,6.5,13.1,3.3,0.3,18.9,11.2,,-0.4,0.6,0.2,0.019,,-5.2,2.1,-3.1,-0.1
10,1992-93,31.0,DET,NBA,SG,9.0,144.0,0.1,0.185,0.053,0.316,2.9,12.1,7.3,7.8,3.6,0.0,37.5,10.3,,-0.5,0.2,-0.3,-0.117,,-8.6,2.5,-6.1,-0.1
11,1992-93,31.0,CHI,NBA,PG,28.0,367.0,8.9,0.42,0.0,0.26,5.5,6.8,6.1,15.1,3.3,0.4,12.3,11.5,,0.1,0.5,0.6,0.073,,-3.9,2.0,-1.9,0.0
12,Career,,,NBA,,720.0,18601.0,13.7,0.486,0.018,0.357,6.2,12.6,9.3,23.9,2.8,0.7,18.2,17.7,,4.0,23.4,27.4,0.071,,-0.7,1.5,0.8,13.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,WSB,NBA,,283.0,8693.0,13.5,0.472,0.02,0.292,6.1,17.2,11.6,25.4,2.4,0.6,18.9,14.4,,3.0,10.7,13.8,0.076,,-0.8,1.7,1.0,6.5
15,3 seasons,,NYK,NBA,,245.0,5836.0,14.7,0.488,0.019,0.392,5.9,7.4,6.6,25.9,3.7,0.8,18.2,23.1,,-0.8,8.0,7.2,0.06,,-0.3,1.4,1.1,4.6
16,2 seasons,,DET,NBA,,83.0,1685.0,10.0,0.44,0.028,0.278,6.0,11.2,8.6,18.0,2.3,0.7,17.0,14.1,,-0.3,2.3,2.1,0.058,,-2.7,2.1,-0.6,0.6
17,1 season,,DEN,NBA,,81.0,2020.0,15.8,0.547,0.005,0.492,7.7,9.4,8.5,18.1,2.7,1.0,17.2,20.7,,2.0,1.8,3.8,0.09,,0.3,0.2,0.4,1.3
18,1 season,,CHI,NBA,,28.0,367.0,8.9,0.42,0.0,0.26,5.5,6.8,6.1,15.1,3.3,0.4,12.3,11.5,,0.1,0.5,0.6,0.073,,-3.9,2.0,-1.9,0.0
