,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1971-72,22.0,DNR,ABA,C,84.0,2420.0,19.7,0.493,0.004,0.368,10.4,19.9,15.0,11.8,,,7.9,22.2,,1.1,4.1,5.2,0.103,,,,,
1,1972-73,23.0,DNR,ABA,C,83.0,2647.0,19.2,0.568,0.001,0.405,9.4,19.6,14.4,9.7,,,10.1,19.3,,5.5,4.6,10.1,0.184,,,,,
2,1973-74,24.0,DNR,ABA,C,84.0,2469.0,18.5,0.538,0.0,0.433,8.5,20.5,14.4,8.9,0.8,1.4,8.3,19.3,,6.4,2.7,9.1,0.176,,2.3,0.2,2.6,2.9
3,1974-75,25.0,DNA,ABA,C,84.0,1899.0,19.4,0.584,0.001,0.444,9.6,18.3,14.1,10.5,1.1,1.3,10.4,20.8,,6.1,2.4,8.5,0.214,,2.9,-0.2,2.6,2.2
4,1975-76,26.0,TOT,ABA,"C,PF",87.0,2789.0,15.8,0.498,0.003,0.369,8.8,17.8,13.1,8.0,1.1,1.1,8.6,17.6,,4.8,3.0,7.8,0.134,,0.8,-0.4,0.3,1.7
5,1975-76,26.0,SDS,ABA,PF,11.0,374.0,20.7,0.549,0.007,0.522,12.8,19.1,15.9,8.5,0.8,1.6,9.4,19.2,,1.1,0.5,1.6,0.208,,3.8,0.0,3.7,0.6
6,1975-76,26.0,INA,ABA,C,76.0,2415.0,15.0,0.49,0.002,0.346,8.2,17.6,12.6,7.9,1.2,1.0,8.5,17.4,,3.6,2.5,6.1,0.122,,0.3,-0.5,-0.2,1.1
7,1976-77,27.0,IND,NBA,C,80.0,1966.0,16.5,0.515,,0.316,8.2,19.4,13.7,11.4,1.3,1.0,,,,3.2,1.8,5.0,0.122,,1.2,-0.9,0.3,1.1
8,1977-78,28.0,TOT,NBA,C,78.0,1277.0,12.8,0.466,,0.3,7.9,19.6,13.8,8.9,1.4,1.2,12.7,16.8,,0.9,1.4,2.3,0.086,,-0.8,-0.2,-1.0,0.3
9,1977-78,28.0,IND,NBA,C,23.0,598.0,13.0,0.469,,0.354,7.5,21.0,14.1,10.6,1.5,1.3,14.0,15.3,,0.4,0.7,1.1,0.09,,-0.5,0.4,-0.1,0.3
