,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2007-08,23.0,TOT,NBA,SF,14.0,44.0,-1.9,0.326,0.565,0.0,0.0,13.3,6.4,3.9,0.0,5.3,14.8,27.4,,-0.3,0.0,-0.2,-0.234,,-8.6,-3.5,-12.1,-0.1
1,2007-08,23.0,CLE,NBA,SF,3.0,14.0,-20.8,0.125,0.375,0.0,0.0,8.4,4.1,0.0,0.0,0.0,20.0,32.4,,-0.2,0.0,-0.2,-0.615,,-18.5,-9.8,-28.3,-0.1
2,2007-08,23.0,CHI,NBA,SF,11.0,30.0,7.0,0.433,0.667,0.0,0.0,15.6,7.5,5.7,0.0,7.8,11.8,25.1,,-0.1,0.0,0.0,-0.056,,-4.0,-0.6,-4.6,0.0
3,2008-09,24.0,TOT,NBA,SF,4.0,14.0,8.8,0.354,0.222,0.222,0.0,16.2,7.8,12.2,0.0,5.2,0.0,31.0,,0.0,0.0,0.0,-0.108,,-3.0,-1.8,-4.8,0.0
4,2008-09,24.0,CHI,NBA,SF,2.0,5.0,-3.5,0.25,0.25,0.0,0.0,0.0,0.0,34.2,0.0,0.0,0.0,35.7,,0.0,0.0,0.0,-0.283,,-8.2,-3.1,-11.3,0.0
5,2008-09,24.0,NYK,NBA,SF,2.0,9.0,15.7,0.425,0.2,0.4,0.0,25.2,12.2,0.0,0.0,8.1,0.0,28.4,,0.0,0.0,0.0,-0.01,,-0.1,-1.1,-1.2,0.0
6,Career,,,NBA,,18.0,58.0,0.7,0.335,0.469,0.063,0.0,14.0,6.8,5.9,0.0,5.3,10.8,28.3,,-0.3,0.1,-0.2,-0.203,,-7.3,-3.1,-10.3,-0.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,CHI,NBA,,13.0,35.0,5.5,0.395,0.579,0.0,0.0,13.3,6.4,9.8,0.0,6.7,9.5,26.6,,-0.1,0.0,-0.1,-0.088,,-4.6,-0.9,-5.5,0.0
9,1 season,,CLE,NBA,,3.0,14.0,-20.8,0.125,0.375,0.0,0.0,8.4,4.1,0.0,0.0,0.0,20.0,32.4,,-0.2,0.0,-0.2,-0.615,,-18.5,-9.8,-28.3,-0.1
10,1 season,,NYK,NBA,,2.0,9.0,15.7,0.425,0.2,0.4,0.0,25.2,12.2,0.0,0.0,8.1,0.0,28.4,,0.0,0.0,0.0,-0.01,,-0.1,-1.1,-1.2,0.0
