,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2000-01,20.0,ATL,NBA,SF,78.0,1313.0,8.4,0.463,0.326,0.223,4.7,10.4,7.6,7.9,1.7,1.6,17.8,17.7,,-0.9,0.9,0.0,0.0,,-2.8,-0.8,-3.5,-0.5
1,2001-02,21.0,ATL,NBA,SF,72.0,1727.0,11.3,0.513,0.457,0.194,3.9,12.5,8.2,7.7,1.9,2.4,14.8,18.0,,0.2,1.5,1.7,0.048,,-1.3,0.0,-1.3,0.3
2,2003-04,23.0,NYK,NBA,SF,21.0,287.0,11.5,0.511,0.371,0.32,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,,0.1,0.3,0.4,0.069,,-1.3,-0.6,-1.8,0.0
3,2004-05,24.0,DEN,NBA,SG,71.0,1232.0,14.0,0.605,0.399,0.272,4.0,10.0,7.1,9.8,1.8,1.1,13.5,17.4,,1.9,1.3,3.2,0.123,,0.1,0.2,0.3,0.7
4,2005-06,25.0,DEN,NBA,SG,58.0,924.0,11.7,0.545,0.523,0.137,2.4,9.6,6.1,9.5,1.4,2.1,12.4,17.9,,0.5,0.8,1.3,0.07,,-0.6,-0.2,-0.8,0.3
5,2006-07,26.0,DEN,NBA,SF,39.0,419.0,6.1,0.414,0.571,0.136,2.7,12.5,7.7,6.0,1.9,2.1,14.2,19.5,,-0.7,0.5,-0.3,-0.032,,-4.6,0.3,-4.3,-0.2
6,2007-08,27.0,SAS,NBA,SF,5.0,28.0,17.3,0.571,0.643,0.143,0.0,4.2,2.1,7.2,1.9,0.0,0.0,25.5,,0.0,0.0,0.1,0.143,,1.7,0.8,2.5,0.0
7,Career,,,NBA,,344.0,5930.0,11.0,0.519,0.435,0.208,3.7,11.1,7.4,8.3,1.7,1.9,14.6,18.1,,1.1,5.3,6.4,0.052,,-1.5,-0.2,-1.6,0.6
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,3 seasons,,DEN,NBA,,168.0,2575.0,11.9,0.549,0.477,0.197,3.3,10.3,6.8,9.1,1.7,1.6,13.3,17.9,,1.6,2.6,4.2,0.078,,-0.9,0.1,-0.8,0.8
10,2 seasons,,ATL,NBA,,150.0,3040.0,10.1,0.492,0.402,0.206,4.2,11.6,7.9,7.8,1.8,2.1,16.1,17.9,,-0.7,2.4,1.7,0.027,,-1.9,-0.3,-2.3,-0.2
11,1 season,,NYK,NBA,,21.0,287.0,11.5,0.511,0.371,0.32,2.0,13.5,7.8,6.4,1.5,1.8,12.6,20.5,,0.1,0.3,0.4,0.069,,-1.3,-0.6,-1.8,0.0
12,1 season,,SAS,NBA,,5.0,28.0,17.3,0.571,0.643,0.143,0.0,4.2,2.1,7.2,1.9,0.0,0.0,25.5,,0.0,0.0,0.1,0.143,,1.7,0.8,2.5,0.0
