,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1985-86,25.0,CLE,NBA,PG,76.0,1131.0,14.1,0.537,0.107,0.268,4.2,8.6,6.4,32.5,2.7,0.1,21.8,17.9,,0.9,1.0,1.9,0.083,,-0.6,0.6,0.1,0.6
1,1986-87,26.0,TOT,NBA,PG,74.0,1600.0,10.3,0.488,0.081,0.187,2.0,7.5,4.8,29.5,2.2,0.3,23.1,17.3,,-0.8,1.8,1.1,0.032,,-2.8,0.1,-2.7,-0.3
2,1986-87,26.0,CLE,NBA,PG,11.0,122.0,1.8,0.309,0.119,0.095,0.9,7.9,4.4,14.4,2.3,0.5,21.5,18.3,,-0.5,0.1,-0.3,-0.131,,-8.0,-0.1,-8.1,-0.2
3,1986-87,26.0,HOU,NBA,PG,63.0,1478.0,11.0,0.504,0.077,0.195,2.1,7.5,4.8,30.7,2.1,0.2,23.3,17.2,,-0.3,1.7,1.4,0.045,,-2.4,0.1,-2.3,-0.1
4,1987-88,27.0,TOT,NBA,PG,72.0,1070.0,10.4,0.532,0.072,0.249,3.4,6.9,5.2,26.5,2.7,0.2,27.5,13.4,,0.3,0.8,1.1,0.05,,-2.0,0.4,-1.6,0.1
5,1987-88,27.0,GSW,NBA,PG,11.0,202.0,13.2,0.559,0.104,0.479,4.3,7.4,5.8,25.0,3.5,0.0,21.6,14.9,,0.2,0.1,0.3,0.068,,-1.5,1.4,-0.1,0.1
6,1987-88,27.0,BOS,NBA,PG,61.0,868.0,9.7,0.524,0.064,0.185,3.2,6.8,5.1,26.9,2.5,0.2,29.2,13.1,,0.2,0.7,0.8,0.046,,-2.2,0.2,-2.0,0.0
7,Career,,,NBA,,222.0,3801.0,11.4,0.514,0.088,0.227,3.1,7.7,5.4,29.6,2.5,0.2,23.7,16.4,,0.5,3.7,4.1,0.052,,-1.9,0.3,-1.6,0.4
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,2 seasons,,CLE,NBA,,87.0,1253.0,12.9,0.514,0.108,0.249,3.9,8.5,6.2,30.7,2.7,0.1,21.8,18.0,,0.4,1.2,1.6,0.062,,-1.3,0.6,-0.7,0.4
10,1 season,,HOU,NBA,,63.0,1478.0,11.0,0.504,0.077,0.195,2.1,7.5,4.8,30.7,2.1,0.2,23.3,17.2,,-0.3,1.7,1.4,0.045,,-2.4,0.1,-2.3,-0.1
11,1 season,,BOS,NBA,,61.0,868.0,9.7,0.524,0.064,0.185,3.2,6.8,5.1,26.9,2.5,0.2,29.2,13.1,,0.2,0.7,0.8,0.046,,-2.2,0.2,-2.0,0.0
12,1 season,,GSW,NBA,,11.0,202.0,13.2,0.559,0.104,0.479,4.3,7.4,5.8,25.0,3.5,0.0,21.6,14.9,,0.2,0.1,0.3,0.068,,-1.5,1.4,-0.1,0.1
