,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,27.0,CHS,BAA,,59.0,,,0.344,0.188,,,,,,3.3,2.4,5.8,,
1,1948-49,29.0,MNL,BAA,,55.0,,,0.369,0.206,,,,,,0.7,2.0,2.8,,
2,1949-50,30.0,MNL,NBA,,57.0,,,0.402,0.328,,,,,,0.7,1.9,2.6,,
3,1950-51,31.0,BLB,NBA,,9.0,,,0.396,0.348,,,,,,0.0,0.1,0.2,,
4,Career,,,TOT,,180.0,,,0.364,0.221,,,,,,4.8,6.5,11.3,,
5,,,,BAA,,114.0,,,0.355,0.196,,,,,,4.0,4.5,8.5,,
6,,,,NBA,,66.0,,,0.401,0.33,,,,,,0.7,2.0,2.8,,
7,,,,,,,,,,,,,,,,,,,,
8,2 seasons,,MNL,BAA,,112.0,,,0.38,0.244,,,,,,1.4,4.0,5.4,,
9,1 season,,CHS,BAA,,59.0,,,0.344,0.188,,,,,,3.3,2.4,5.8,,
10,1 season,,BLB,NBA,,9.0,,,0.396,0.348,,,,,,0.0,0.1,0.2,,
