,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1960-61,24.0,DET,NBA,SG,79.0,2172.0,11.7,0.437,0.256,,,,,,0.4,0.8,1.2,0.026,
1,1961-62,25.0,DET,NBA,SG,77.0,2526.0,13.9,0.477,0.224,,,,,,2.7,1.8,4.5,0.085,
2,1962-63,26.0,DET,NBA,SG,80.0,2961.0,13.6,0.478,0.262,,,,,,2.2,1.9,4.1,0.067,
3,1963-64,27.0,DET,NBA,SG,71.0,2366.0,12.2,0.447,0.27,,,,,,0.1,0.8,0.8,0.017,
4,1964-65,28.0,BAL,NBA,SG,77.0,2821.0,13.5,0.484,0.299,,,,13.0,,3.4,0.5,3.9,0.066,
5,1965-66,29.0,BAL,NBA,PG,73.0,2645.0,14.9,0.493,0.322,,,,15.4,,3.6,1.4,5.1,0.092,
6,1966-67,30.0,BAL,NBA,SG,58.0,2024.0,15.3,0.51,0.353,,,,11.6,,3.4,1.1,4.4,0.104,
7,1967-68,31.0,TOT,NBA,PG,70.0,1919.0,13.0,0.49,0.285,,,,11.6,,1.7,1.4,3.2,0.079,
8,1967-68,31.0,BAL,NBA,PG,39.0,1096.0,13.4,0.481,0.276,,,,10.6,,0.7,0.9,1.6,0.069,
9,1967-68,31.0,STL,NBA,PG,31.0,823.0,12.5,0.504,0.299,,,,12.9,,1.0,0.6,1.6,0.093,
10,1968-69,32.0,ATL,NBA,SG,76.0,1995.0,11.5,0.462,0.231,,,,15.4,,0.6,1.3,1.9,0.046,
11,1969-70,33.0,ATL,NBA,SG,66.0,984.0,10.5,0.508,0.194,,,,12.7,,0.8,0.4,1.2,0.057,
12,Career,,,NBA,,727.0,22413.0,13.2,0.477,0.275,,,,13.4,,18.8,11.4,30.2,0.065,
13,,,,,,,,,,,,,,,,,,,,
14,4 seasons,,DET,NBA,,307.0,10025.0,12.9,0.461,0.253,,,,,,5.3,5.3,10.6,0.051,
15,4 seasons,,BAL,NBA,,247.0,8586.0,14.3,0.493,0.317,,,,13.1,,11.1,3.9,14.9,0.084,
16,3 seasons,,"STL,ATL",NBA,,173.0,3802.0,11.5,0.482,0.237,,,,14.1,,2.4,2.3,4.7,0.059,
