,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2001-02,22.0,SEA,NBA,PG,64.0,964.0,11.6,0.507,0.208,0.17,3.9,6.2,5.1,18.8,3.4,0.4,18.3,13.4,,0.7,0.8,1.5,0.076,,-1.8,1.6,-0.2,0.4
1,2002-03,23.0,MEM,NBA,PG,79.0,1366.0,14.6,0.505,0.233,0.22,3.8,9.6,6.7,25.7,3.4,0.7,17.0,17.0,,1.3,1.0,2.3,0.08,,-0.8,1.3,0.5,0.9
2,2003-04,24.0,MEM,NBA,PG,81.0,1669.0,12.8,0.438,0.228,0.297,3.3,8.8,6.0,37.5,2.9,0.8,21.8,18.1,,0.1,1.7,1.8,0.052,,-1.3,0.3,-1.0,0.4
3,2004-05,25.0,MEM,NBA,PG,80.0,1808.0,13.1,0.5,0.294,0.249,2.3,8.5,5.4,34.2,2.5,0.8,21.4,20.4,,0.1,2.2,2.3,0.062,,-0.9,0.2,-0.7,0.6
4,2005-06,26.0,TOT,NBA,PG,70.0,1578.0,14.6,0.558,0.534,0.218,1.8,10.1,5.9,29.0,2.2,0.5,19.6,19.7,,1.7,1.0,2.7,0.081,,0.9,-0.7,0.2,0.9
5,2005-06,26.0,DEN,NBA,PG,46.0,975.0,12.8,0.563,0.61,0.209,2.1,8.2,5.2,25.3,1.9,0.5,19.6,17.6,,0.8,0.8,1.6,0.08,,0.2,-0.3,-0.1,0.4
6,2005-06,26.0,SEA,NBA,PG,24.0,603.0,17.3,0.552,0.441,0.229,1.4,13.2,7.2,34.9,2.7,0.4,19.6,23.1,,0.9,0.1,1.1,0.084,,2.0,-1.2,0.8,0.4
7,2006-07,27.0,SEA,NBA,PG,77.0,2152.0,13.5,0.483,0.408,0.214,1.9,8.5,5.2,31.4,2.4,0.8,18.2,19.4,,0.9,1.1,2.0,0.044,,0.2,-0.9,-0.7,0.7
8,2007-08,28.0,SEA,NBA,PG,78.0,2269.0,14.6,0.517,0.177,0.194,2.1,8.7,5.4,36.6,1.5,0.3,17.8,18.8,,1.7,1.1,2.9,0.061,,0.1,-1.0,-0.9,0.6
9,2008-09,29.0,OKC,NBA,PG,68.0,1776.0,9.5,0.448,0.188,0.234,2.3,9.7,5.9,33.4,1.4,0.5,23.8,16.3,,-1.2,1.1,-0.2,-0.005,,-3.2,-1.4,-4.6,-1.2
10,2009-10,30.0,IND,NBA,PG,79.0,2322.0,10.9,0.517,0.351,0.323,2.5,8.8,5.6,25.6,2.2,0.5,22.6,14.7,,0.3,2.3,2.6,0.055,,-2.6,0.3,-2.3,-0.2
11,2010-11,31.0,UTA,NBA,PG,80.0,1567.0,10.2,0.5,0.349,0.267,4.0,10.1,7.0,25.7,2.1,0.9,25.3,13.4,,0.2,0.8,1.0,0.03,,-1.9,-0.3,-2.1,-0.1
12,2011-12,32.0,UTA,NBA,PG,50.0,1033.0,9.5,0.413,0.325,0.288,3.3,10.2,6.7,28.9,2.7,1.7,32.0,11.5,,-0.6,0.9,0.4,0.018,,-2.6,1.2,-1.4,0.2
13,2012-13,33.0,UTA,NBA,PG,48.0,829.0,7.7,0.366,0.233,0.208,3.2,9.1,6.1,31.8,2.5,0.8,34.5,11.0,,-0.6,0.7,0.0,0.001,,-3.9,0.4,-3.5,-0.3
14,2013-14,34.0,POR,NBA,PG,24.0,161.0,2.1,0.47,0.636,0.364,3.4,6.6,5.0,22.0,1.6,0.4,57.1,8.1,,-0.2,0.1,-0.1,-0.018,,-7.2,0.5,-6.7,-0.2
15,Career,,,NBA,,878.0,19494.0,12.1,0.492,0.302,0.24,2.7,9.0,5.9,30.4,2.3,0.7,21.4,16.7,,4.4,14.8,19.2,0.047,,-1.3,-0.1,-1.4,2.8
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,"SEA,OKC",NBA,,311.0,7764.0,13.0,0.496,0.276,0.209,2.2,8.9,5.6,32.1,2.1,0.5,19.4,18.1,,3.0,4.3,7.2,0.045,,-0.7,-0.8,-1.5,1.0
18,3 seasons,,MEM,NBA,,240.0,4843.0,13.4,0.481,0.256,0.257,3.1,8.9,6.0,33.0,2.9,0.8,20.4,18.7,,1.5,4.9,6.4,0.063,,-1.0,0.5,-0.4,1.9
19,3 seasons,,UTA,NBA,,178.0,3429.0,9.4,0.449,0.319,0.261,3.6,9.9,6.7,28.1,2.4,1.1,29.2,12.3,,-1.0,2.4,1.4,0.019,,-2.6,0.3,-2.2,-0.2
20,1 season,,IND,NBA,,79.0,2322.0,10.9,0.517,0.351,0.323,2.5,8.8,5.6,25.6,2.2,0.5,22.6,14.7,,0.3,2.3,2.6,0.055,,-2.6,0.3,-2.3,-0.2
21,1 season,,DEN,NBA,,46.0,975.0,12.8,0.563,0.61,0.209,2.1,8.2,5.2,25.3,1.9,0.5,19.6,17.6,,0.8,0.8,1.6,0.08,,0.2,-0.3,-0.1,0.4
22,1 season,,POR,NBA,,24.0,161.0,2.1,0.47,0.636,0.364,3.4,6.6,5.0,22.0,1.6,0.4,57.1,8.1,,-0.2,0.1,-0.1,-0.018,,-7.2,0.5,-6.7,-0.2
