,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1968-69,23.0,SDR,NBA,C,82.0,3695.0,18.9,0.483,,0.358,,,,4.5,,,,,,3.6,6.0,9.6,0.124,,,,,
1,1969-70,24.0,SDR,NBA,C,82.0,3665.0,18.3,0.492,,0.308,,,,6.1,,,,,,2.3,6.2,8.5,0.111,,,,,
2,1970-71,25.0,SDR,NBA,C,82.0,3633.0,19.4,0.468,,0.305,,,16.4,8.0,,,,,,0.7,7.1,7.8,0.102,,,,,
3,1971-72,26.0,HOU,NBA,C,82.0,3461.0,19.4,0.471,,0.321,,,15.6,11.7,,,,,,0.8,6.5,7.3,0.101,,,,,
4,1972-73,27.0,BAL,NBA,PF,81.0,3347.0,17.5,0.477,,0.27,,,16.5,5.3,,,,,,1.7,5.8,7.6,0.109,,,,,
5,1973-74,28.0,CAP,NBA,PF,81.0,3602.0,18.2,0.47,,0.304,9.2,29.7,19.3,6.6,1.1,3.4,,,,2.6,8.1,10.6,0.142,,0.7,1.1,1.7,3.4
6,1974-75,29.0,WSB,NBA,PF,82.0,3465.0,19.0,0.496,,0.32,6.4,22.7,14.5,8.7,2.1,2.9,,,,4.3,8.2,12.5,0.173,,1.6,1.7,3.3,4.6
7,1975-76,30.0,WSB,NBA,PF,80.0,2975.0,18.4,0.501,,0.331,7.6,22.6,15.3,6.4,1.6,3.5,,,,2.2,5.9,8.1,0.131,,0.4,1.0,1.3,2.5
8,1976-77,31.0,WSB,NBA,PF,82.0,3364.0,19.8,0.544,,0.405,9.0,22.1,15.7,7.1,1.2,3.3,,,,6.6,5.5,12.1,0.173,,2.1,0.8,2.8,4.1
9,1977-78,32.0,WSB,NBA,PF,81.0,3246.0,17.1,0.489,,0.365,10.2,22.7,16.4,6.5,1.3,2.4,12.3,21.6,,3.5,4.8,8.3,0.123,,0.4,0.1,0.6,2.1
10,1978-79,33.0,WSB,NBA,PF,82.0,3105.0,19.1,0.523,,0.362,10.3,22.0,16.2,6.3,1.1,3.0,12.1,23.9,,4.5,4.9,9.4,0.146,,1.0,0.2,1.2,2.5
11,1979-80,34.0,WSB,NBA,PF,81.0,3183.0,17.2,0.492,0.008,0.285,8.4,20.0,14.1,6.1,0.9,3.1,10.2,26.1,,2.1,4.2,6.2,0.094,,-0.2,-0.2,-0.4,1.2
12,1980-81,35.0,WSB,NBA,PF,81.0,2931.0,14.9,0.483,0.008,0.339,8.4,20.0,14.1,4.8,1.1,3.2,11.3,23.0,,0.1,4.9,5.1,0.083,,-1.6,0.6,-1.1,0.7
13,1981-82,36.0,HOU,NBA,PF,82.0,3032.0,14.4,0.513,0.005,0.384,9.4,18.1,13.6,6.6,1.0,1.9,13.9,20.2,,2.3,2.9,5.1,0.081,,-0.6,-0.7,-1.4,0.5
14,1982-83,37.0,HOU,NBA,PF,81.0,2302.0,14.7,0.515,0.004,0.322,8.7,20.7,14.3,10.4,1.0,2.0,16.4,21.1,,0.6,1.8,2.4,0.05,,-0.7,-0.7,-1.4,0.4
15,1983-84,38.0,HOU,NBA,PF,81.0,994.0,10.3,0.45,0.005,0.339,9.5,18.7,14.1,9.1,0.7,1.5,15.5,21.0,,-0.8,1.0,0.2,0.01,,-3.3,-1.0,-4.4,-0.6
16,Career,,,NBA,,1303.0,50000.0,17.7,0.491,0.001,0.33,8.8,22.1,15.6,7.0,1.2,2.9,12.5,22.6,,37.1,83.7,120.8,0.116,,0.2,0.4,0.6,21.4
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,9 seasons,,"BAL,CAP,WSB",NBA,,731.0,29218.0,17.9,0.497,0.002,0.329,8.7,22.9,15.9,6.4,1.3,3.1,11.4,23.6,,27.7,52.3,80.0,0.131,,0.6,0.7,1.2,21.2
19,7 seasons,,"SDR,HOU",NBA,,572.0,20782.0,17.4,0.484,0.001,0.33,9.2,19.1,15.0,7.8,1.0,1.9,15.1,20.6,,9.4,31.4,40.8,0.094,,-1.1,-0.8,-1.9,0.2
