,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1964-65,26.0,NYK,NBA,PG,77.0,1332.0,7.1,0.381,0.305,,,,16.8,,-1.5,0.8,-0.7,-0.026,
1,1965-66,27.0,NYK,NBA,PG,71.0,1193.0,13.1,0.505,0.225,,,,24.3,,1.6,0.3,2.0,0.079,
2,1966-67,28.0,NYK,NBA,PG,63.0,1593.0,10.0,0.435,0.198,,,,17.4,,-0.5,0.6,0.1,0.003,
3,1967-68,29.0,NYK,NBA,PG,77.0,968.0,8.0,0.43,0.296,,,,17.1,,-0.4,0.9,0.5,0.024,
4,1968-69,30.0,BOS,NBA,PG,80.0,1388.0,8.8,0.431,0.205,,,,16.7,,-0.5,2.4,1.9,0.066,
5,1969-70,31.0,BOS,NBA,PG,71.0,1617.0,11.1,0.463,0.348,,,,18.0,,-0.1,1.8,1.7,0.051,
6,1970-71,32.0,BUF,NBA,PG,73.0,2137.0,11.6,0.47,0.297,,,5.6,22.6,,0.7,1.4,2.1,0.047,
7,1971-72,33.0,BUF,NBA,PG,54.0,1223.0,9.7,0.504,0.568,,,5.0,21.6,,0.8,0.3,1.1,0.044,
8,Career,,,NBA,,566.0,11451.0,10.1,0.451,0.285,,,5.4,19.4,,0.0,8.6,8.6,0.036,
9,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,NYK,NBA,,288.0,5086.0,9.6,0.438,0.248,,,,18.8,,-0.8,2.6,1.8,0.017,
11,2 seasons,,BOS,NBA,,151.0,3005.0,10.0,0.448,0.279,,,,17.4,,-0.7,4.3,3.6,0.058,
12,2 seasons,,BUF,NBA,,127.0,3360.0,10.9,0.479,0.363,,,5.4,22.2,,1.5,1.7,3.2,0.046,
