,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1969-70,23.0,WSA,ABA,PG,83.0,1994.0,10.4,0.523,0.012,0.508,,,8.3,12.7,,,19.8,14.1,,1.9,0.7,2.6,0.062,,,,,
1,1970-71,24.0,VIR,ABA,PG,84.0,1629.0,9.8,0.533,0.056,0.651,,,7.4,15.8,,,21.9,14.0,,1.6,1.5,3.0,0.09,,,,,
2,1971-72,25.0,VIR,ABA,PG,84.0,2669.0,8.9,0.49,0.022,0.379,5.8,7.8,6.8,14.2,,,20.6,13.5,,0.6,3.1,3.7,0.067,,,,,
3,1972-73,26.0,VIR,ABA,PG,78.0,2553.0,12.6,0.498,0.01,0.365,5.3,6.9,6.1,18.1,3.6,,23.1,14.8,,0.6,1.9,2.6,0.048,,,,,
4,1973-74,27.0,VIR,ABA,PG,80.0,2812.0,10.8,0.47,0.027,0.361,4.4,9.0,6.7,19.9,3.5,0.3,25.3,15.2,,-1.3,2.6,1.3,0.023,,-2.5,1.4,-1.1,0.6
5,1974-75,28.0,DNA,ABA,PG,76.0,2018.0,9.9,0.481,0.036,0.294,4.7,6.8,5.8,19.7,3.8,0.4,27.3,17.1,,-1.5,2.7,1.2,0.029,,-2.6,1.4,-1.1,0.5
6,1975-76,29.0,VIR,ABA,PG,76.0,2483.0,10.4,0.46,0.085,0.288,4.5,9.4,6.8,21.4,3.7,0.3,26.8,14.0,,-1.6,2.1,0.4,0.009,,-2.7,1.4,-1.2,0.5
7,1976-77,30.0,DEN,NBA,PG,79.0,1548.0,11.1,0.439,,0.207,6.1,7.8,7.0,22.6,3.7,0.3,,,,-0.3,2.5,2.1,0.066,,-2.2,2.7,0.5,1.0
8,Career,,,TOT,,640.0,17706.0,10.5,0.488,0.031,0.378,5.1,8.0,6.8,18.0,3.6,0.3,23.7,14.7,,0.0,17.1,17.0,0.046,,-2.5,1.6,-0.9,2.6
9,,,,ABA,,561.0,16158.0,10.5,0.491,0.034,0.39,5.0,8.0,6.8,17.6,3.6,0.3,23.7,14.7,,0.3,14.6,14.9,0.044,,-2.6,1.4,-1.1,1.6
10,,,,NBA,,79.0,1548.0,11.1,0.439,,0.207,6.1,7.8,7.0,22.6,3.7,0.3,,,,-0.3,2.5,2.1,0.066,,-2.2,2.7,0.5,1.0
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,6 seasons,,"WSA,VIR",ABA,,485.0,14140.0,10.5,0.493,0.034,0.406,5.0,8.3,6.9,17.3,3.6,0.3,23.1,14.3,,1.8,11.9,13.7,0.046,,-2.6,1.4,-1.2,1.1
13,2 seasons,,"DNA,DEN",ABA,,155.0,3566.0,10.4,0.467,0.023,0.263,5.3,7.3,6.3,21.0,3.7,0.4,27.3,17.1,,-1.8,5.2,3.4,0.045,,-2.4,2.0,-0.4,1.4
