,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,24.0,WSC,BAA,PG,58.0,,,0.341,0.182,,,,,,3.9,4.6,8.5,,
1,1947-48,25.0,WSC,BAA,PG,47.0,,,0.343,0.229,,,,,,2.5,3.1,5.6,,
2,1948-49,26.0,WSC,BAA,PG,48.0,,,0.377,0.289,,,,,,0.9,2.1,3.1,,
3,1949-50,27.0,WSC,NBA,PG,66.0,,,0.415,0.315,,,,,,3.1,2.3,5.4,,
4,1950-51,28.0,TOT,NBA,PG,66.0,,,0.413,0.359,,,,,,1.8,1.6,3.4,,
5,1950-51,28.0,WSC,NBA,PG,35.0,,,0.429,0.388,,,,,,1.7,0.8,2.4,,
6,1950-51,28.0,SYR,NBA,PG,31.0,,,0.393,0.322,,,,,,0.1,0.8,0.9,,
7,1951-52,29.0,BLB,NBA,PG,64.0,2242.0,16.2,0.443,0.488,,,,,,3.4,1.1,4.5,0.096,
8,1952-53,30.0,TOT,NBA,PG,62.0,2123.0,14.3,0.436,0.404,,,,,,1.9,0.7,2.7,0.06,
9,1952-53,30.0,BLB,NBA,PG,46.0,1618.0,14.6,0.428,0.4,,,,,,1.1,0.3,1.5,0.044,
10,1952-53,30.0,FTW,NBA,PG,16.0,505.0,13.2,0.464,0.42,,,,,,0.8,0.4,1.2,0.111,
11,1953-54,31.0,FTW,NBA,PG,64.0,1589.0,9.9,0.405,0.367,,,,,,0.0,1.2,1.2,0.035,
12,1954-55,32.0,BOS,NBA,PG,59.0,619.0,8.0,0.353,0.197,,,,,,-1.0,0.3,-0.7,-0.057,
13,Career,,,TOT,,534.0,6573.0,13.3,0.396,0.322,,,,,,16.4,17.1,33.5,0.055,
14,,,,NBA,,381.0,6573.0,13.3,0.42,0.376,,,,,,9.1,7.2,16.3,0.055,
15,,,,BAA,,153.0,,,0.351,0.226,,,,,,7.3,9.9,17.2,,
16,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,WSC,BAA,,254.0,,,0.378,0.269,,,,,,12.1,12.9,25.0,,
18,2 seasons,,BLB,NBA,,110.0,3860.0,15.5,0.437,0.45,,,,,,4.5,1.4,6.0,0.074,
19,2 seasons,,FTW,NBA,,80.0,2094.0,10.7,0.42,0.38,,,,,,0.7,1.6,2.3,0.054,
20,1 season,,BOS,NBA,,59.0,619.0,8.0,0.353,0.197,,,,,,-1.0,0.3,-0.7,-0.057,
21,1 season,,SYR,NBA,,31.0,,,0.393,0.322,,,,,,0.1,0.8,0.9,,
