,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1970-71,22.0,VIR,ABA,SF,34.0,338.0,15.8,0.59,0.054,0.235,,,8.8,10.0,,,13.2,19.8,,0.9,0.3,1.2,0.171,,,,,
1,1971-72,23.0,VIR,ABA,SF,75.0,1362.0,9.1,0.531,0.025,0.189,5.3,8.7,7.0,6.3,,,14.7,13.3,,1.2,1.3,2.5,0.087,,,,,
2,1972-73,24.0,VIR,ABA,SF,79.0,2075.0,13.9,0.573,0.041,0.252,5.1,8.8,7.0,9.9,,,13.4,18.4,,4.2,1.3,5.5,0.127,,,,,
3,1973-74,25.0,VIR,ABA,SF,75.0,1140.0,17.2,0.555,0.089,0.267,5.0,10.6,7.8,10.7,1.1,0.7,10.4,21.9,,2.7,0.5,3.2,0.136,,2.0,-0.8,1.2,0.9
4,1974-75,26.0,VIR,ABA,SF,59.0,1522.0,15.7,0.585,0.063,0.278,4.9,9.1,7.0,11.5,1.0,0.4,12.4,20.0,,3.2,0.5,3.7,0.116,,1.4,-0.7,0.7,1.1
5,1975-76,27.0,DNA,ABA,SF,3.0,14.0,-0.3,0.333,0.167,0.0,7.5,0.0,3.5,0.0,0.0,0.0,14.3,18.5,,0.0,0.0,0.0,-0.131,,-4.6,-0.5,-5.1,0.0
6,Career,,,ABA,,325.0,6451.0,14.0,0.566,0.055,0.25,5.1,9.1,7.2,9.6,1.0,0.6,12.7,18.4,,12.2,3.9,16.0,0.119,,1.6,-0.7,0.9,1.9
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,5 seasons,,VIR,ABA,,322.0,6437.0,14.0,0.566,0.055,0.25,5.1,9.2,7.2,9.7,1.1,0.6,12.7,18.4,,12.2,3.9,16.1,0.12,,1.6,-0.7,0.9,2.0
9,1 season,,DNA,ABA,,3.0,14.0,-0.3,0.333,0.167,0.0,7.5,0.0,3.5,0.0,0.0,0.0,14.3,18.5,,0.0,0.0,0.0,-0.131,,-4.6,-0.5,-5.1,0.0
