,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1946-47,23.0,TOT,BAA,,61.0,,,0.322,0.32,,,,,,1.2,0.8,2.0,,
1,1946-47,23.0,TRH,BAA,,13.0,,,0.356,0.449,,,,,,0.8,0.2,1.0,,
2,1946-47,23.0,CLR,BAA,,48.0,,,0.313,0.287,,,,,,0.4,0.6,1.0,,
3,1947-48,24.0,PRO,BAA,,45.0,,,0.34,0.362,,,,,,1.8,-0.5,1.3,,
4,1948-49,25.0,TOT,BAA,,60.0,,,0.38,0.436,,,,,,1.1,1.0,2.0,,
5,1948-49,25.0,PRO,BAA,,33.0,,,0.36,0.388,,,,,,0.0,-0.1,-0.1,,
6,1948-49,25.0,BOS,BAA,,27.0,,,0.406,0.506,,,,,,1.1,1.0,2.1,,
7,1949-50,26.0,TOT,NBA,,55.0,,,0.355,0.388,,,,,,-0.7,1.1,0.4,,
8,1949-50,26.0,BOS,NBA,,18.0,,,0.37,0.492,,,,,,-0.1,0.3,0.2,,
9,1949-50,26.0,TRI,NBA,,1.0,,,0.492,0.5,,,,,,0.1,0.0,0.1,,
10,1949-50,26.0,CHS,NBA,,36.0,,,0.328,0.28,,,,,,-0.6,0.7,0.1,,
11,Career,,,TOT,,221.0,,,0.349,0.374,,,,,,3.4,2.3,5.6,,
12,,,,BAA,,166.0,,,0.348,0.373,,,,,,4.0,1.2,5.3,,
13,,,,NBA,,55.0,,,0.355,0.388,,,,,,-0.7,1.1,0.4,,
14,,,,,,,,,,,,,,,,,,,,
15,2 seasons,,PRO,BAA,,78.0,,,0.348,0.372,,,,,,1.7,-0.6,1.1,,
16,1 season,,CLR,BAA,,48.0,,,0.313,0.287,,,,,,0.4,0.6,1.0,,
17,2 seasons,,BOS,BAA,,45.0,,,0.395,0.501,,,,,,1.0,1.3,2.3,,
18,1 season,,CHS,NBA,,36.0,,,0.328,0.28,,,,,,-0.6,0.7,0.1,,
19,1 season,,TRH,BAA,,13.0,,,0.356,0.449,,,,,,0.8,0.2,1.0,,
20,1 season,,TRI,NBA,,1.0,,,0.492,0.5,,,,,,0.1,0.0,0.1,,
