,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,BLK%,TOV%,USG%,Unnamed: 18,OWS,DWS,WS,WS/48,Unnamed: 23
0,1968-69,22.0,LAS,ABA,SF,74.0,2199.0,16.7,0.523,0.077,0.35,,,10.4,4.0,,10.0,20.6,,3.4,1.1,4.5,0.098,
1,1969-70,23.0,LAS,ABA,SF,83.0,2639.0,15.1,0.5,0.173,0.256,,,9.2,8.1,,10.4,20.8,,2.3,2.3,4.6,0.084,
2,1970-71,24.0,UTS,ABA,SF,78.0,1734.0,17.0,0.522,0.194,0.193,,,8.9,8.5,,7.6,20.0,,2.2,2.5,4.6,0.128,
3,1971-72,25.0,TOT,ABA,SF,24.0,381.0,8.1,0.458,0.073,0.228,3.2,12.0,7.5,8.0,,14.0,15.5,,-0.1,0.3,0.2,0.021,
4,1971-72,25.0,UTS,ABA,SF,8.0,142.0,9.6,0.492,0.083,0.229,4.7,9.8,7.4,3.6,,10.2,16.0,,0.0,0.1,0.1,0.045,
5,1971-72,25.0,CAR,ABA,SF,16.0,239.0,7.2,0.436,0.067,0.227,2.2,13.3,7.5,10.6,,16.2,15.2,,-0.2,0.2,0.0,0.006,
6,Career,,,ABA,,259.0,6953.0,15.7,0.511,0.144,0.268,3.2,12.0,9.4,6.9,,9.7,20.3,,7.7,6.2,13.9,0.096,
7,,,,,,,,,,,,,,,,,,,,,,,,
8,4 seasons,,"LAS,UTS",ABA,,243.0,6714.0,16.0,0.513,0.146,0.269,4.7,9.8,9.5,6.8,,9.6,20.4,,7.9,6.0,13.8,0.099,
9,1 season,,CAR,ABA,,16.0,239.0,7.2,0.436,0.067,0.227,2.2,13.3,7.5,10.6,,16.2,15.2,,-0.2,0.2,0.0,0.006,
