,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1967-68,24.0,KEN,ABA,C,1.0,5.0,-4.8,,,,,,8.7,0.0,,0.0,,0.0,0.0,0.0,0.039,
1,1968-69,25.0,MNP,ABA,C,64.0,886.0,11.4,0.39,0.0,0.287,,,17.4,4.2,11.8,20.3,,-1.7,1.7,0.0,-0.001,
2,1969-70,26.0,TOT,ABA,C,14.0,147.0,2.3,0.29,0.022,0.37,,,17.4,2.5,17.1,16.6,,-0.5,0.2,-0.3,-0.102,
3,1969-70,26.0,CAR,ABA,C,11.0,135.0,3.4,0.326,0.024,0.366,,,17.6,1.9,18.8,16.5,,-0.4,0.2,-0.2,-0.065,
4,1969-70,26.0,MMF,ABA,C,3.0,12.0,-9.1,0.0,0.0,0.4,,,15.1,9.4,0.0,17.6,,-0.1,0.0,-0.1,-0.517,
5,Career,,,ABA,,79.0,1038.0,10.0,0.38,0.002,0.296,,,17.4,4.0,12.4,19.7,,-2.2,1.9,-0.3,-0.015,
6,,,,,,,,,,,,,,,,,,,,,,,
7,1 season,,MNP,ABA,,64.0,886.0,11.4,0.39,0.0,0.287,,,17.4,4.2,11.8,20.3,,-1.7,1.7,0.0,-0.001,
8,1 season,,CAR,ABA,,11.0,135.0,3.4,0.326,0.024,0.366,,,17.6,1.9,18.8,16.5,,-0.4,0.2,-0.2,-0.065,
9,1 season,,MMF,ABA,,3.0,12.0,-9.1,0.0,0.0,0.4,,,15.1,9.4,0.0,17.6,,-0.1,0.0,-0.1,-0.517,
10,1 season,,KEN,ABA,,1.0,5.0,-4.8,,,,,,8.7,0.0,,0.0,,0.0,0.0,0.0,0.039,
