,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1958-59,23.0,PHW,NBA,PG,45.0,1565.0,13.0,0.413,0.209,,,,,,0.1,2.3,2.4,0.073,
1,1959-60,24.0,PHW,NBA,PG,68.0,2483.0,11.8,0.414,0.208,,,,,,0.0,4.3,4.3,0.084,
2,1960-61,25.0,PHW,NBA,PG,78.0,2905.0,13.5,0.431,0.292,,,,,,0.8,4.1,4.8,0.08,
3,1961-62,26.0,PHW,NBA,PG,80.0,2650.0,9.8,0.395,0.243,,,,,,-1.1,3.2,2.1,0.038,
4,1962-63,27.0,SFW,NBA,PG,79.0,3249.0,12.9,0.43,0.249,,,,,,-0.8,3.3,2.5,0.037,
5,1963-64,28.0,SFW,NBA,PG,79.0,2695.0,12.4,0.417,0.303,,,,,,-1.2,5.2,4.0,0.071,
6,1964-65,29.0,SFW,NBA,SG,79.0,2699.0,14.2,0.421,0.265,,,,30.5,,-0.9,3.8,2.8,0.051,
7,1965-66,30.0,SFW,NBA,SG,79.0,2902.0,16.9,0.419,0.259,,,,40.3,,-1.9,4.2,2.3,0.039,
8,1966-67,31.0,CHI,NBA,PG,81.0,3063.0,17.9,0.46,0.345,,,,40.1,,1.3,4.9,6.2,0.097,
9,1967-68,32.0,TOT,NBA,PG,79.0,1546.0,10.5,0.416,0.312,,,,29.6,,-0.8,0.6,-0.2,-0.007,
10,1967-68,32.0,CHI,NBA,PG,4.0,129.0,9.8,0.348,0.204,,,,28.7,,-0.3,0.2,-0.2,-0.066,
11,1967-68,32.0,CIN,NBA,PG,75.0,1417.0,10.6,0.425,0.328,,,,29.7,,-0.4,0.4,0.0,-0.001,
12,1968-69,33.0,MIL,NBA,PG,81.0,2157.0,14.2,0.433,0.269,,,,34.8,,-0.5,1.8,1.3,0.03,
13,1969-70,34.0,MIL,NBA,PG,64.0,749.0,12.4,0.44,0.471,,,,31.6,,-0.2,0.9,0.6,0.041,
14,Career,,,NBA,,892.0,28663.0,13.6,0.426,0.275,,,,35.6,,-5.3,38.6,33.3,0.056,
15,,,,,,,,,,,,,,,,,,,,
16,8 seasons,,"PHW,SFW",NBA,,587.0,21148.0,13.1,0.419,0.257,,,,35.6,,-5.1,30.4,25.3,0.057,
17,2 seasons,,MIL,NBA,,145.0,2906.0,13.7,0.434,0.306,,,,33.9,,-0.7,2.7,2.0,0.033,
18,2 seasons,,CHI,NBA,,85.0,3192.0,17.6,0.456,0.34,,,,39.7,,1.0,5.1,6.0,0.091,
19,1 season,,CIN,NBA,,75.0,1417.0,10.6,0.425,0.328,,,,29.7,,-0.4,0.4,0.0,-0.001,
