,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,Unnamed: 16,OWS,DWS,WS,WS/48,Unnamed: 21,OBPM,DBPM,BPM,VORP
0,1964-65,22.0,CIN,NBA,PF,61.0,736.0,15.0,0.439,0.47,,,,5.1,,,,-0.1,0.5,0.4,0.027,,,,,
1,1965-66,23.0,CIN,NBA,PF,72.0,1794.0,16.8,0.532,0.394,,,,3.4,,,,4.1,1.3,5.3,0.142,,,,,
2,1966-67,24.0,CIN,NBA,SF,79.0,2442.0,13.8,0.519,0.397,,,,3.4,,,,3.7,1.4,5.1,0.101,,,,,
3,1967-68,25.0,TOT,NBA,PF,74.0,2517.0,16.0,0.545,0.529,,,,5.1,,,,5.5,1.0,6.5,0.124,,,,,
4,1967-68,25.0,CIN,NBA,PF,48.0,1625.0,15.2,0.55,0.47,,,,4.9,,,,3.6,0.3,4.0,0.117,,,,,
5,1967-68,25.0,DET,NBA,PF,26.0,892.0,17.3,0.537,0.633,,,,5.4,,,,1.8,0.7,2.5,0.137,,,,,
6,1968-69,26.0,DET,NBA,PF,81.0,2889.0,17.2,0.533,0.489,,,,5.2,,,,5.8,1.2,7.0,0.116,,,,,
7,1969-70,27.0,TOT,NBA,PF,70.0,2427.0,18.4,0.559,0.424,,,,6.9,,,,5.6,3.2,8.8,0.174,,,,,
8,1969-70,27.0,DET,NBA,PF,15.0,282.0,19.5,0.608,0.612,,,,5.6,,,,1.0,0.2,1.1,0.191,,,,,
9,1969-70,27.0,LAL,NBA,PF,55.0,2145.0,18.3,0.553,0.402,,,,7.1,,,,4.6,3.1,7.7,0.172,,,,,
10,1970-71,28.0,LAL,NBA,PF,80.0,2921.0,16.2,0.522,0.35,,,12.2,7.7,,,,4.7,2.6,7.2,0.119,,,,,
11,1971-72,29.0,LAL,NBA,PF,80.0,2748.0,15.7,0.538,0.5,,,16.8,8.2,,,,3.9,5.3,9.2,0.161,,,,,
12,1972-73,30.0,LAL,NBA,PF,28.0,939.0,20.0,0.561,0.543,,,18.0,9.3,,,,2.4,1.8,4.2,0.214,,,,,
13,1973-74,31.0,LAL,NBA,PF,77.0,2634.0,17.2,0.583,0.586,12.1,23.5,18.0,10.5,1.0,0.3,,5.6,3.7,9.3,0.17,,1.4,-0.6,0.7,1.8
14,1974-75,32.0,LAL,NBA,PF,74.0,2283.0,16.2,0.579,0.506,12.8,26.7,19.8,10.2,1.0,0.2,,4.4,2.6,7.0,0.146,,1.2,-0.9,0.3,1.3
15,Career,,,NBA,,776.0,24330.0,16.5,0.539,0.46,12.4,25.0,16.6,6.9,1.0,0.3,,45.5,24.5,70.0,0.138,,1.3,-0.8,0.5,3.1
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,6 seasons,,LAL,NBA,,394.0,13670.0,16.9,0.551,0.458,12.4,25.0,16.6,8.8,1.0,0.3,,25.5,19.0,44.6,0.156,,1.3,-0.8,0.5,3.1
18,4 seasons,,CIN,NBA,,260.0,6597.0,15.1,0.52,0.422,,,,4.0,,,,11.3,3.5,14.8,0.108,,,,,
19,3 seasons,,DET,NBA,,122.0,4063.0,17.4,0.539,0.529,,,,5.3,,,,8.6,2.0,10.7,0.126,,,,,
