,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1990-91,25.0,CLE,NBA,PF,37.0,505.0,14.7,0.525,0.236,0.283,6.0,12.1,9.1,10.6,1.5,0.6,11.5,27.9,,0.2,0.4,0.6,0.053,,-0.1,-2.0,-2.1,0.0
1,1991-92,26.0,CLE,NBA,SF,65.0,866.0,10.0,0.479,0.223,0.189,4.7,9.6,7.2,4.3,0.9,0.7,9.0,24.1,,-0.3,0.5,0.3,0.015,,-3.5,-3.0,-6.5,-1.0
2,1992-93,27.0,TOT,NBA,PF,10.0,88.0,17.1,0.537,0.255,0.51,8.6,5.3,7.0,1.9,1.6,0.0,10.1,32.4,,0.1,0.0,0.2,0.084,,1.4,-3.5,-2.1,0.0
3,1992-93,27.0,SAC,NBA,PF,8.0,79.0,17.4,0.558,0.222,0.444,8.1,5.9,7.0,2.1,1.8,0.0,11.5,31.4,,0.1,0.0,0.1,0.088,,1.4,-3.0,-1.6,0.0
4,1992-93,27.0,UTA,NBA,PF,2.0,9.0,14.6,0.405,0.5,1.0,13.1,0.0,6.3,0.0,0.0,0.0,0.0,41.3,,0.0,0.0,0.0,0.046,,1.1,-8.3,-7.3,0.0
5,1993-94,28.0,LAC,NBA,PF,12.0,75.0,12.5,0.464,0.429,0.119,8.6,11.2,9.9,2.1,1.3,0.0,4.3,25.5,,0.0,0.0,0.1,0.041,,-1.2,-3.8,-5.0,-0.1
6,1995-96,30.0,HOU,NBA,PF,7.0,58.0,9.9,0.573,0.625,0.208,6.0,5.7,5.9,5.7,0.0,0.0,13.2,23.4,,0.1,0.0,0.1,0.058,,-2.2,-2.6,-4.8,0.0
7,1996-97,31.0,ATL,NBA,PF,53.0,945.0,10.2,0.553,0.592,0.118,3.5,6.7,5.1,3.8,0.6,0.1,8.3,17.5,,1.3,0.7,2.0,0.103,,-0.4,-1.7,-2.1,-0.1
8,1997-98,32.0,CLE,NBA,PF,28.0,166.0,10.6,0.582,0.424,0.373,1.5,9.5,5.5,5.3,0.3,0.5,14.9,22.4,,0.2,0.2,0.3,0.101,,-1.9,-1.5,-3.4,-0.1
9,Career,,,NBA,,212.0,2703.0,11.3,0.519,0.353,0.212,4.6,8.8,6.8,5.3,0.9,0.4,9.7,22.7,,1.6,1.9,3.5,0.062,,-1.5,-2.3,-3.7,-1.2
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,CLE,NBA,,130.0,1537.0,11.6,0.505,0.244,0.237,4.8,10.4,7.6,6.5,1.1,0.7,10.4,25.2,,0.1,1.1,1.2,0.037,,-2.2,-2.5,-4.7,-1.0
12,1 season,,ATL,NBA,,53.0,945.0,10.2,0.553,0.592,0.118,3.5,6.7,5.1,3.8,0.6,0.1,8.3,17.5,,1.3,0.7,2.0,0.103,,-0.4,-1.7,-2.1,-0.1
13,1 season,,LAC,NBA,,12.0,75.0,12.5,0.464,0.429,0.119,8.6,11.2,9.9,2.1,1.3,0.0,4.3,25.5,,0.0,0.0,0.1,0.041,,-1.2,-3.8,-5.0,-0.1
14,1 season,,SAC,NBA,,8.0,79.0,17.4,0.558,0.222,0.444,8.1,5.9,7.0,2.1,1.8,0.0,11.5,31.4,,0.1,0.0,0.1,0.088,,1.4,-3.0,-1.6,0.0
15,1 season,,HOU,NBA,,7.0,58.0,9.9,0.573,0.625,0.208,6.0,5.7,5.9,5.7,0.0,0.0,13.2,23.4,,0.1,0.0,0.1,0.058,,-2.2,-2.6,-4.8,0.0
16,1 season,,UTA,NBA,,2.0,9.0,14.6,0.405,0.5,1.0,13.1,0.0,6.3,0.0,0.0,0.0,0.0,41.3,,0.0,0.0,0.0,0.046,,1.1,-8.3,-7.3,0.0
