,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1958-59,22.0,STL,NBA,C,65.0,950.0,11.5,0.467,0.224,,,,,,0.8,0.9,1.7,0.088,
1,1959-60,23.0,TOT,NBA,"C,PF",71.0,1820.0,12.9,0.494,0.306,,,,,,2.4,0.5,2.8,0.075,
2,1959-60,23.0,STL,NBA,C,2.0,17.0,0.7,0.333,0.0,,,,,,0.0,0.0,0.0,-0.028,
3,1959-60,23.0,CIN,NBA,PF,69.0,1803.0,13.1,0.495,0.308,,,,,,2.4,0.5,2.8,0.076,
4,1960-61,24.0,CIN,NBA,C,75.0,1216.0,10.2,0.475,0.335,,,,,,0.9,0.1,1.0,0.039,
5,1961-62,25.0,CIN,NBA,C,80.0,1446.0,8.9,0.47,0.178,,,,,,0.6,0.6,1.3,0.042,
6,1962-63,26.0,CIN,NBA,C,80.0,1299.0,11.2,0.502,0.23,,,,,,1.2,0.8,2.0,0.074,
7,1963-64,27.0,LAL,NBA,C,46.0,386.0,6.5,0.389,0.165,,,,,,-0.3,0.3,0.0,-0.006,
8,1964-65,28.0,DET,NBA,C,62.0,753.0,8.3,0.422,0.262,,,,6.4,,-0.3,0.8,0.6,0.036,
9,Career,,,NBA,,479.0,7870.0,10.5,0.475,0.254,,,,6.4,,5.4,4.0,9.3,0.057,
10,,,,,,,,,,,,,,,,,,,,
11,4 seasons,,CIN,NBA,,304.0,5764.0,11.0,0.486,0.263,,,,,,5.1,1.9,7.1,0.059,
12,2 seasons,,STL,NBA,,67.0,967.0,11.3,0.465,0.222,,,,,,0.8,0.9,1.7,0.086,
13,1 season,,DET,NBA,,62.0,753.0,8.3,0.422,0.262,,,,6.4,,-0.3,0.8,0.6,0.036,
14,1 season,,LAL,NBA,,46.0,386.0,6.5,0.389,0.165,,,,,,-0.3,0.3,0.0,-0.006,
