,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,FTr,ORB%,DRB%,TRB%,AST%,Unnamed: 14,OWS,DWS,WS,WS/48,Unnamed: 19
0,1948-49,22.0,WSC,BAA,PF,34.0,,,0.445,0.321,,,,,,2.8,1.5,4.3,,
1,1949-50,23.0,TOT,NBA,PF,67.0,,,0.44,0.406,,,,,,4.7,2.0,6.7,,
2,1949-50,23.0,WSC,NBA,PF,49.0,,,0.434,0.404,,,,,,3.2,1.4,4.5,,
3,1949-50,23.0,TRI,NBA,PF,18.0,,,0.456,0.411,,,,,,1.5,0.6,2.1,,
4,1950-51,24.0,TRI,NBA,PF,6.0,,,0.397,0.266,,,,,,0.0,0.3,0.3,,
5,1952-53,26.0,MLH,NBA,PF,69.0,2626.0,16.8,0.413,0.29,,,,,,-0.1,4.2,4.1,0.075,
6,1953-54,27.0,TOT,NBA,PF,75.0,1607.0,9.5,0.369,0.288,,,,,,-2.0,1.0,-1.0,-0.03,
7,1953-54,27.0,MLH,NBA,PF,15.0,356.0,4.1,0.268,0.252,,,,,,-1.9,0.3,-1.6,-0.211,
8,1953-54,27.0,BOS,NBA,PF,60.0,1251.0,11.1,0.406,0.301,,,,,,-0.1,0.7,0.6,0.022,
9,1954-55,28.0,BOS,NBA,PF,64.0,1910.0,12.2,0.433,0.27,,,,,,0.6,1.0,1.6,0.04,
10,1955-56,29.0,BOS,NBA,PF,60.0,1964.0,16.5,0.472,0.317,,,,,,2.6,1.8,4.4,0.107,
11,1956-57,30.0,BOS,NBA,PF,61.0,1372.0,11.9,0.417,0.253,,,,,,0.1,2.4,2.5,0.088,
12,1957-58,31.0,BOS,NBA,PF,69.0,1224.0,9.3,0.384,0.165,,,,,,-0.9,1.9,1.0,0.04,
13,Career,,,TOT,,505.0,10703.0,13.3,0.424,0.296,,,,,,7.7,16.1,23.8,0.056,
14,,,,NBA,,471.0,10703.0,13.3,0.423,0.294,,,,,,4.9,14.6,19.5,0.056,
15,,,,BAA,,34.0,,,0.445,0.321,,,,,,2.8,1.5,4.3,,
16,,,,,,,,,,,,,,,,,,,,
17,5 seasons,,BOS,NBA,,314.0,7721.0,12.6,0.43,0.266,,,,,,2.2,7.8,10.0,0.062,
18,4 seasons,,"TRI,MLH",NBA,,108.0,2982.0,15.3,0.406,0.302,,,,,,-0.4,5.4,5.0,0.041,
19,2 seasons,,WSC,BAA,,83.0,,,0.438,0.372,,,,,,6.0,2.8,8.8,,
