,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,TOV%,USG%,Unnamed: 17,OWS,DWS,WS,WS/48,Unnamed: 22
0,1960-61,22.0,DET,NBA,PF,64.0,1003.0,11.7,0.437,,0.277,,,,,,,,0.1,0.5,0.5,0.026,
1,1961-62,23.0,DET,NBA,PF,74.0,1219.0,14.7,0.483,,0.382,,,,,,,,1.2,1.3,2.6,0.101,
2,1962-63,24.0,DET,NBA,PF,78.0,1516.0,13.9,0.48,,0.344,,,,,,,,1.0,1.5,2.5,0.078,
3,1963-64,25.0,DET,NBA,PF,78.0,1780.0,12.1,0.484,,0.329,,,,,,,,1.5,0.8,2.3,0.062,
4,1964-65,26.0,DET,NBA,PF,54.0,732.0,9.5,0.398,,0.351,,,,12.5,,,,-0.8,0.9,0.1,0.006,
5,1967-68,29.0,NOB,ABA,PF,76.0,2332.0,16.4,0.477,0.004,0.25,,,11.4,9.0,9.6,20.3,,2.1,3.2,5.3,0.108,
6,1968-69,30.0,NOB,ABA,PF,78.0,2714.0,13.5,0.465,0.007,0.282,,,10.2,10.5,12.1,19.3,,0.2,3.4,3.6,0.063,
7,1969-70,31.0,NOB,ABA,SF,80.0,2321.0,9.7,0.46,0.01,0.23,,,7.6,9.7,15.3,16.5,,-0.3,2.6,2.3,0.048,
8,Career,,,TOT,,582.0,13617.0,13.0,0.466,0.004,0.293,,,9.8,10.0,12.1,18.7,,5.1,14.0,19.1,0.067,
9,,,,NBA,,348.0,6250.0,12.7,0.464,,0.336,,,,12.5,,,,3.1,4.9,8.0,0.061,
10,,,,ABA,,234.0,7367.0,13.2,0.468,0.007,0.257,,,9.8,9.8,12.1,18.7,,2.0,9.1,11.1,0.072,
11,,,,,,,,,,,,,,,,,,,,,,,
12,5 seasons,,DET,NBA,,348.0,6250.0,12.7,0.464,,0.336,,,,12.5,,,,3.1,4.9,8.0,0.061,
13,3 seasons,,NOB,ABA,,234.0,7367.0,13.2,0.468,0.007,0.257,,,9.8,9.8,12.1,18.7,,2.0,9.1,11.1,0.072,
