,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1993-94,21.0,DAL,NBA,SF,79.0,2896.0,13.2,0.48,0.216,0.317,3.9,10.3,6.8,15.8,1.6,0.3,13.5,26.6,,-0.2,1.0,0.9,0.014,,-0.3,-2.2,-2.4,-0.3
1,1994-95,22.0,DAL,NBA,SF,80.0,2980.0,17.3,0.526,0.22,0.386,4.0,8.2,6.0,17.2,1.4,0.2,11.4,28.6,,5.0,1.3,6.3,0.102,,2.2,-1.5,0.7,2.0
2,1995-96,23.0,DAL,NBA,SF,18.0,669.0,14.4,0.478,0.266,0.347,5.3,10.3,7.6,13.2,1.1,0.3,11.1,30.9,,0.0,0.2,0.2,0.014,,1.0,-2.5,-1.5,0.1
3,1996-97,24.0,TOT,NBA,SF,69.0,2164.0,12.6,0.487,0.373,0.307,3.8,12.2,8.0,16.3,2.0,0.4,11.9,20.6,,1.0,2.6,3.6,0.081,,-1.0,0.2,-0.8,0.6
4,1996-97,24.0,DAL,NBA,SF,37.0,975.0,11.9,0.464,0.348,0.295,3.3,10.5,6.8,16.8,1.9,0.4,11.8,22.7,,-0.2,0.6,0.4,0.021,,-1.4,-1.0,-2.3,-0.1
5,1996-97,24.0,MIA,NBA,SF,32.0,1189.0,13.1,0.511,0.398,0.319,4.2,13.5,8.9,15.8,2.0,0.5,12.0,18.8,,1.2,2.0,3.2,0.13,,-0.8,1.2,0.4,0.7
6,1997-98,25.0,MIA,NBA,SF,48.0,1729.0,14.1,0.533,0.211,0.4,5.0,10.8,8.0,13.3,1.4,0.6,13.7,21.2,,2.2,1.8,4.1,0.113,,0.6,-0.5,0.1,0.9
7,1998-99,26.0,MIA,NBA,SF,24.0,855.0,15.1,0.519,0.101,0.35,3.7,16.1,10.3,17.0,1.3,0.3,14.9,23.3,,0.7,1.1,1.8,0.104,,0.2,-0.4,-0.2,0.4
8,1999-00,27.0,MIA,NBA,SF,76.0,2828.0,15.4,0.526,0.24,0.206,2.8,12.4,7.8,18.6,1.5,0.4,12.5,23.8,,3.1,3.2,6.4,0.109,,0.9,-0.4,0.5,1.8
9,2000-01,28.0,CHH,NBA,SF,76.0,2989.0,17.5,0.493,0.208,0.262,3.5,18.4,11.0,26.8,1.5,0.3,12.0,27.1,,3.1,4.2,7.3,0.118,,2.1,0.0,2.1,3.1
10,2001-02,29.0,CHH,NBA,SF,40.0,1601.0,16.9,0.505,0.151,0.324,2.2,15.0,8.6,19.7,1.5,0.3,11.5,27.4,,1.8,1.6,3.4,0.101,,1.7,-0.6,1.1,1.3
11,2002-03,30.0,NOH,NBA,SF,82.0,3321.0,18.0,0.507,0.193,0.233,2.3,15.3,8.7,26.2,1.3,0.4,11.6,27.1,,5.4,3.6,9.0,0.13,,2.6,-0.4,2.2,3.5
12,2003-04,31.0,NOH,NBA,SF,19.0,730.0,14.7,0.457,0.168,0.201,2.9,15.7,9.1,13.3,1.0,0.5,7.9,29.4,,0.1,0.6,0.7,0.048,,0.2,-1.7,-1.5,0.1
13,Career,,,NBA,,611.0,22762.0,15.7,0.504,0.218,0.297,3.4,13.0,8.2,19.3,1.5,0.3,12.1,25.8,,22.4,21.3,43.7,0.092,,1.1,-0.8,0.3,13.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,4 seasons,,DAL,NBA,,214.0,7520.0,14.8,0.498,0.236,0.347,4.0,9.5,6.6,16.3,1.5,0.3,12.2,27.3,,4.7,3.1,7.8,0.05,,0.7,-1.8,-1.1,1.7
16,4 seasons,,MIA,NBA,,180.0,6601.0,14.6,0.524,0.24,0.288,3.7,12.6,8.4,16.5,1.5,0.4,13.0,22.2,,7.3,8.2,15.5,0.113,,0.4,-0.1,0.3,3.8
17,2 seasons,,CHH,NBA,,116.0,4590.0,17.3,0.497,0.188,0.284,3.1,17.2,10.2,24.3,1.5,0.3,11.8,27.2,,4.9,5.8,10.7,0.112,,2.0,-0.2,1.8,4.3
18,2 seasons,,NOH,NBA,,101.0,4051.0,17.4,0.497,0.188,0.226,2.4,15.4,8.8,23.9,1.3,0.4,10.9,27.5,,5.5,4.2,9.7,0.115,,2.1,-0.6,1.5,3.6
