,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1993-94,23.0,POR,NBA,PG,58.0,673.0,10.0,0.439,0.256,0.235,5.3,7.4,6.3,14.5,2.2,1.4,14.2,22.2,,-0.5,0.7,0.2,0.015,,-2.2,0.1,-2.1,0.0
1,1994-95,24.0,POR,NBA,PG,71.0,1539.0,10.5,0.484,0.357,0.176,2.9,6.9,4.8,18.0,1.6,0.6,15.9,21.9,,-0.3,1.5,1.2,0.038,,-1.8,-0.6,-2.3,-0.1
2,1995-96,25.0,POR,NBA,PG,76.0,1627.0,10.6,0.512,0.495,0.235,3.1,7.9,5.5,14.7,1.1,0.7,14.9,20.0,,0.6,1.7,2.3,0.068,,-1.1,-0.3,-1.4,0.3
3,1996-97,26.0,MIN,NBA,PG,69.0,1309.0,12.7,0.537,0.554,0.237,2.2,7.9,5.1,16.2,1.2,0.5,11.5,21.0,,1.3,0.6,1.9,0.071,,0.3,-1.4,-1.1,0.3
4,1997-98,27.0,LAC,NBA,PG,70.0,1231.0,12.4,0.494,0.449,0.214,3.4,6.9,5.1,18.8,1.6,0.5,15.0,23.3,,0.3,-0.1,0.2,0.007,,-0.4,-2.6,-3.0,-0.3
5,1998-99,28.0,TOT,NBA,PG,31.0,506.0,10.7,0.451,0.4,0.222,3.8,10.7,7.0,18.0,2.3,1.2,17.8,21.8,,-0.3,0.3,-0.1,-0.006,,-1.8,-0.5,-2.4,0.0
6,1998-99,28.0,LAC,NBA,PG,14.0,280.0,12.7,0.482,0.306,0.276,4.0,7.6,5.7,11.4,2.7,0.8,12.7,20.4,,0.2,0.0,0.2,0.027,,-0.9,-0.6,-1.5,0.0
7,1998-99,28.0,MIN,NBA,PG,17.0,226.0,8.2,0.413,0.506,0.161,3.7,14.5,8.7,26.3,1.9,1.7,23.1,23.6,,-0.5,0.3,-0.2,-0.047,,-3.1,-0.3,-3.4,-0.1
8,2000-01,30.0,ORL,NBA,PG,6.0,50.0,5.1,0.455,0.455,0.0,0.0,18.2,8.9,0.0,4.1,1.5,26.7,13.3,,-0.1,0.1,0.0,-0.017,,-7.9,2.0,-5.9,-0.1
9,Career,,,NBA,,381.0,6935.0,11.2,0.494,0.432,0.216,3.2,7.7,5.4,16.6,1.5,0.7,14.7,21.5,,1.1,4.7,5.8,0.04,,-1.1,-0.9,-2.0,0.0
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,3 seasons,,POR,NBA,,205.0,3839.0,10.4,0.486,0.391,0.21,3.4,7.4,5.4,16.0,1.5,0.8,15.2,21.2,,-0.1,3.8,3.7,0.047,,-1.6,-0.3,-1.9,0.1
12,2 seasons,,MIN,NBA,,86.0,1535.0,12.0,0.519,0.547,0.225,2.4,8.9,5.6,17.7,1.3,0.6,13.4,21.4,,0.8,0.9,1.7,0.054,,-0.2,-1.3,-1.5,0.2
13,2 seasons,,LAC,NBA,,84.0,1511.0,12.4,0.492,0.426,0.224,3.5,7.0,5.2,17.4,1.8,0.6,14.7,22.7,,0.5,-0.1,0.3,0.011,,-0.5,-2.2,-2.7,-0.3
14,1 season,,ORL,NBA,,6.0,50.0,5.1,0.455,0.455,0.0,0.0,18.2,8.9,0.0,4.1,1.5,26.7,13.3,,-0.1,0.1,0.0,-0.017,,-7.9,2.0,-5.9,-0.1
