,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,1972-73,23.0,DLC,ABA,SG,78.0,2417.0,14.5,0.605,0.0,0.688,4.4,9.8,7.0,14.0,,,17.8,17.4,,6.0,1.4,7.4,0.147,,,,,
1,1973-74,24.0,SAA,ABA,PG,84.0,3096.0,14.6,0.55,0.001,0.413,2.9,9.2,6.0,15.5,1.5,0.2,15.5,19.7,,4.7,3.3,7.9,0.123,,0.1,0.3,0.3,1.8
2,1974-75,25.0,SAA,ABA,PG,82.0,3105.0,17.2,0.587,0.002,0.428,2.4,7.5,5.0,17.2,1.7,0.3,14.6,19.9,,7.8,2.0,9.8,0.152,,1.8,-0.1,1.7,2.9
3,1975-76,26.0,SAA,ABA,PG,84.0,3112.0,21.2,0.599,0.001,0.467,3.7,6.9,5.4,20.0,2.2,0.4,13.2,23.8,,10.5,2.7,13.1,0.202,,3.4,0.0,3.4,4.2
4,1976-77,27.0,SAS,NBA,PG,22.0,356.0,17.1,0.553,,0.754,2.0,7.2,4.6,18.3,1.6,0.4,,,,0.6,0.1,0.7,0.099,,-0.1,-1.6,-1.7,0.0
5,1977-78,28.0,SAS,NBA,PG,37.0,311.0,13.3,0.565,,0.753,1.4,6.1,3.9,14.9,1.6,0.2,18.9,19.8,,0.5,0.1,0.6,0.095,,-1.4,-1.2,-2.6,0.0
6,1978-79,29.0,SAS,NBA,PG,79.0,2171.0,16.0,0.576,,0.436,1.8,6.9,4.4,16.2,1.5,0.5,15.3,22.6,,4.0,1.7,5.7,0.126,,0.3,-0.9,-0.6,0.8
7,1979-80,30.0,SAS,NBA,PG,77.0,2293.0,16.7,0.585,0.004,0.382,2.1,5.6,3.9,20.1,1.2,0.3,14.1,22.4,,5.3,0.2,5.5,0.116,,1.4,-1.9,-0.5,0.9
8,1980-81,31.0,SAS,NBA,PG,75.0,2055.0,19.4,0.557,0.002,0.441,2.4,9.5,6.1,20.7,1.2,0.3,11.8,26.1,,5.7,1.3,7.0,0.164,,2.6,-1.6,1.0,1.6
9,1981-82,32.0,CLE,NBA,SG,67.0,1447.0,15.7,0.535,0.009,0.499,1.9,6.9,4.3,22.4,1.3,0.2,13.3,22.9,,2.2,0.2,2.4,0.078,,0.9,-1.6,-0.7,0.5
10,Career,,,TOT,,685.0,20363.0,17.0,0.576,0.002,0.467,2.8,7.8,5.3,17.9,1.6,0.3,14.4,21.6,,47.2,13.1,60.3,0.142,,1.5,-0.7,0.8,12.6
11,,,,NBA,,357.0,8633.0,16.9,0.566,0.003,0.453,2.0,7.2,4.6,19.4,1.3,0.3,13.8,23.4,,18.3,3.7,22.0,0.122,,1.2,-1.5,-0.3,3.7
12,,,,ABA,,328.0,11730.0,17.0,0.586,0.001,0.479,3.3,8.3,5.8,16.8,1.8,0.3,14.9,20.4,,28.9,9.4,38.3,0.157,,1.8,0.0,1.8,8.9
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,9 seasons,,"DLC,SAA,SAS",ABA,,618.0,18916.0,17.1,0.579,0.001,0.464,2.8,7.9,5.4,17.6,1.6,0.3,14.5,21.5,,45.0,12.9,57.9,0.147,,1.5,-0.6,0.9,12.1
15,1 season,,CLE,NBA,,67.0,1447.0,15.7,0.535,0.009,0.499,1.9,6.9,4.3,22.4,1.3,0.2,13.3,22.9,,2.2,0.2,2.4,0.078,,0.9,-1.6,-0.7,0.5
