,Season,Age,Tm,Lg,Pos,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP
0,2017-18,19.0,BRK,NBA,C,72.0,1441.0,17.5,0.636,0.038,0.37,10.5,18.1,14.3,5.4,0.9,4.6,15.1,16.3,,2.7,1.5,4.2,0.141,,-0.9,0.1,-0.8,0.5
1,2018-19,20.0,BRK,NBA,C,80.0,2096.0,18.5,0.632,0.079,0.489,9.6,24.0,16.8,7.9,1.0,4.5,13.0,15.9,,4.4,3.3,7.6,0.175,,0.2,1.4,1.6,1.9
2,2019-20,21.0,BRK,NBA,C,70.0,1852.0,20.7,0.664,0.013,0.581,12.3,24.9,18.7,8.9,1.0,4.2,11.7,14.9,,5.2,2.9,8.2,0.212,,1.4,1.0,2.3,2.0
3,2020-21,22.0,TOT,NBA,C,63.0,1864.0,20.1,0.661,0.039,0.602,11.6,26.3,18.9,8.7,0.8,4.3,14.1,16.6,,4.3,2.1,6.4,0.166,,1.3,-0.2,1.1,1.4
4,2020-21,22.0,BRK,NBA,C,12.0,320.0,21.5,0.73,0.0,0.938,13.8,28.6,21.6,8.3,1.1,5.2,19.3,15.5,,1.0,0.5,1.4,0.216,,1.7,0.9,2.6,0.4
5,2020-21,22.0,CLE,NBA,C,51.0,1544.0,19.8,0.649,0.046,0.549,11.2,25.9,18.3,8.8,0.8,4.1,13.1,16.8,,3.4,1.6,5.0,0.155,,1.2,-0.4,0.8,1.1
6,2021-22,23.0,CLE,NBA,C,56.0,1810.0,23.0,0.698,0.018,0.428,12.0,24.5,18.4,8.2,1.2,3.7,12.7,18.1,,5.4,3.0,8.5,0.224,,2.7,1.2,3.9,2.7
7,2022-23,24.0,CLE,NBA,C,68.0,2220.0,19.9,0.67,0.016,0.353,11.7,23.6,17.7,7.5,1.2,3.5,11.4,16.4,,5.5,4.0,9.5,0.205,,1.3,1.0,2.4,2.4
8,Career,,,NBA,,409.0,11283.0,20.0,0.661,0.034,0.467,11.3,23.8,17.6,7.8,1.0,4.1,12.9,16.4,,27.6,16.9,44.4,0.189,,1.1,0.8,1.9,11.0
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,4 seasons,,BRK,NBA,,234.0,5709.0,19.1,0.648,0.044,0.506,11.0,23.1,17.1,7.6,1.0,4.4,13.4,15.7,,13.3,8.2,21.5,0.181,,0.4,0.9,1.3,4.8
11,3 seasons,,CLE,NBA,,175.0,5574.0,20.9,0.674,0.025,0.43,11.7,24.5,18.1,8.1,1.1,3.7,12.3,17.1,,14.3,8.6,23.0,0.198,,1.7,0.7,2.4,6.2
